23.92.27.179     #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
85.11.167.72     #AS197170  85.11.167.0/24     BG   TECHTIES-AS - TechTies Inc., SC
85.11.167.154    #AS197170  85.11.167.0/24     BG   TECHTIES-AS - TechTies Inc., SC
85.11.167.239    #AS197170  85.11.167.0/24     BG   TECHTIES-AS - TechTies Inc., SC
85.217.149.55    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
91.92.40.76      #AS197170  91.92.40.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.40.206     #AS197170  91.92.40.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.42.72      #AS197170  91.92.42.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.42.140     #AS197170  91.92.42.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.42.178     #AS197170  91.92.42.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.42.187     #AS197170  91.92.42.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.92.42.200     #AS197170  91.92.42.0/24      BG   TECHTIES-AS - TechTies Inc., SC
93.152.221.37    #AS197170  93.152.221.0/24    BG   TECHTIES-AS - TechTies Inc., SC
93.152.221.50    #AS197170  93.152.221.0/24    BG   TECHTIES-AS - TechTies Inc., SC
93.152.221.108   #AS197170  93.152.221.0/24    BG   TECHTIES-AS - TechTies Inc., SC
93.152.221.206   #AS197170  93.152.221.0/24    BG   TECHTIES-AS - TechTies Inc., SC
93.152.221.210   #AS197170  93.152.221.0/24    BG   TECHTIES-AS - TechTies Inc., SC
94.26.106.13     #AS197170  94.26.106.0/24     BG   TECHTIES-AS - TechTies Inc., SC
94.26.106.19     #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.27     #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.31     #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.33     #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.53     #AS197170  94.26.106.0/24     BG   TECHTIES-AS - TechTies Inc., SC
94.26.106.74     #AS197170  94.26.106.0/24     BG   TECHTIES-AS - TechTies Inc., SC
94.26.106.103    #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.147    #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
94.26.106.199    #AS197170  94.26.106.0/24     BG   TECHTIES-AS - TechTies Inc., SC
94.26.106.252    #AS215607  94.26.106.0/24     BG   DF-Transit - dataforest GmbH, DE
