85.217.149.25    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
115.189.0.11     #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.3.32     #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.8.141    #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.8.158    #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.10.58    #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.10.82    #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.11.120   #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.12.136   #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.14.146   #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.14.204   #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.15.6     #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.15.216   #AS4771    115.189.0.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.18.102   #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.26.220   #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.27.16    #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.28.72    #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.28.109   #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.28.169   #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.29.28    #AS4771    115.189.16.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.35.74    #AS4771    115.189.32.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.36.123   #AS4771    115.189.32.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.38.69    #AS4771    115.189.32.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.41.66    #AS4771    115.189.32.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.48.175   #AS4771    115.189.48.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.55.81    #AS4771    115.189.48.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.59.111   #AS4771    115.189.48.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.165.127  #AS4771    115.189.160.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.169.115  #AS4771    115.189.160.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.176.199  #AS4771    115.189.176.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
