20.84.145.62     #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.98.128.111    #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.106.48.199    #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.118.217.181   #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.127.244.206   #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.150.196.142   #AS8075    20.150.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.2.42      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.2.80      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.3.234     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.15.207    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.33.221    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.34.47     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.6.14      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.120.151   #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.122.88    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.75.145    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.171.8.191     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.171.25.13     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
23.92.27.206     #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
23.94.204.22     #AS36352   23.94.204.0/23     US   #AS-COLOCROSSING - HostPapa, US
23.239.12.100    #AS63949   23.239.8.0/21      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
24.144.119.156   #AS14061   24.144.96.0/19     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
27.215.79.78     #AS4837    27.192.0.0/11      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
32.192.238.67    #AS14618   32.192.0.0/14      US   AMAZON-AES - Amazon.com, Inc., US
34.14.154.223    #AS396982  34.14.128.0/18     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.14.187.153    #AS396982  34.14.128.0/18     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.14.215.86     #AS396982  34.14.192.0/19     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.17.77.196     #AS396982  34.17.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.17.191.122    #AS396982  34.17.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.18.18.36      #AS396982  34.18.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.18.111.181    #AS396982  34.18.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.18.140.197    #AS396982  34.18.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.21.135.145    #AS396982  34.21.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.21.144.116    #AS396982  34.21.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.22.89.85      #AS396982  34.22.64.0/19      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.30.107.49     #AS396982  34.30.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.32.49.91      #AS396982  34.32.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.32.120.63     #AS396982  34.32.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.32.125.195    #AS396982  34.32.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.39.236.31     #AS396982  34.39.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.39.239.97     #AS396982  34.39.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.40.29.7       #AS396982  34.40.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.40.128.142    #AS396982  34.40.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.40.130.8      #AS396982  34.40.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.47.28.180     #AS396982  34.47.0.0/18       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.47.229.139    #AS396982  34.47.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.50.118.91     #AS396982  34.50.64.0/18      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.50.125.217    #AS396982  34.50.64.0/18      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.50.174.144    #AS396982  34.50.160.0/19     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.64.204.202    #AS396982  34.64.192.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.65.136.116    #AS396982  34.65.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.65.179.78     #AS396982  34.65.176.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.68.47.163     #AS396982  34.68.32.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.73.138.8      #AS396982  34.73.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.75.57.143     #AS396982  34.75.48.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.31.227     #AS396982  34.76.16.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.80.133.118    #AS396982  34.80.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.81.91.188     #AS396982  34.81.80.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.81.179.70     #AS396982  34.81.176.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.84.188.97     #AS396982  34.84.176.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.88.157.24     #AS396982  34.88.144.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.88.198.81     #AS396982  34.88.192.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.92.10.115     #AS396982  34.92.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.95.226.39     #AS396982  34.95.224.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.97.87.248     #AS396982  34.97.80.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.97.173.86     #AS396982  34.97.160.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.102.9.99      #AS396982  34.102.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.102.33.146    #AS396982  34.102.32.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.105.129.71    #AS396982  34.105.128.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.106.170.11    #AS396982  34.106.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.118.80.217    #AS396982  34.118.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.118.95.41     #AS396982  34.118.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.118.163.201   #AS396982  34.118.128.0/18    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.124.139.52    #AS396982  34.124.128.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.125.15.126    #AS396982  34.125.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.125.47.129    #AS396982  34.125.32.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.128.78.76     #AS396982  34.128.64.0/19     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.129.25.145    #AS396982  34.129.16.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.129.97.243    #AS396982  34.129.96.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.130.76.93     #AS396982  34.130.64.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.131.116.63    #AS396982  34.131.112.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.131.172.244   #AS396982  34.131.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.141.246.90    #AS396982  34.141.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.146.118.157   #AS396982  34.146.112.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.147.216.47    #AS396982  34.147.208.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.150.60.77     #AS396982  34.150.48.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.154.143.105   #AS396982  34.154.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.154.156.49    #AS396982  34.154.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.154.179.246   #AS396982  34.154.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.155.152.5     #AS396982  34.155.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.162.127.4     #AS396982  34.162.64.0/18     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.162.191.64    #AS396982  34.162.128.0/18    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.165.115.211   #AS396982  34.165.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.165.236.247   #AS396982  34.165.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.174.157.190   #AS396982  34.174.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.174.193.69    #AS396982  34.174.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.175.103.107   #AS396982  34.175.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.175.154.43    #AS396982  34.175.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.176.38.36     #AS396982  34.176.32.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.176.79.41     #AS396982  34.176.64.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.176.92.24     #AS396982  34.176.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.182.155.181   #AS396982  34.182.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.182.207.133   #AS396982  34.182.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.182.208.177   #AS396982  34.182.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.193.119.44    #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.201.116.207   #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.204.10.19     #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.207.209.130   #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.227.49.18     #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.228.104.231   #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.238.240.3     #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
35.171.3.209     #AS14618   35.168.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
35.198.174.127   #AS396982  35.198.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.201.15.69     #AS396982  35.201.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.216.234.82    #AS15169   35.216.128.0/17    US   GOOGLE - Google LLC, US
35.224.97.98     #AS396982  35.224.96.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.236.10.251    #AS396982  35.236.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.252.16.211    #AS396982  35.252.0.0/19      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.252.138.128   #AS396982  35.252.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
40.76.248.118    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.171.173   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.173.6     #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.173.157   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
