20.163.6.104     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.15.206    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.20.206    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.27.102    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.32.0      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.33.221    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.61.119    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.6.15      #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.121.46    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.127.99    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.104.180   #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.105.44    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.171.8.156     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.221.72.241    #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
23.239.4.211     #AS63949   23.239.0.0/21      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
31.57.184.232    #AS197769  31.57.184.0/24     AE   VPSDEDICATED-AS - VPS Dedicated LLC, US
32.185.130.195   #AS16509   32.184.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
34.39.194.101    #AS396982  34.39.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.50.10.225     #AS396982  34.50.0.0/18       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.63.144.162    #AS396982  34.63.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.68.34.65      #AS396982  34.68.32.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.84.197.231    #AS396982  34.84.192.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.89.227.132    #AS396982  34.89.224.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.97.19.60      #AS396982  34.97.16.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.104.173.161   #AS396982  34.104.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.125.109.138   #AS396982  34.125.96.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.129.105.238   #AS396982  34.129.96.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.129.169.18    #AS396982  34.129.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.151.112.237   #AS396982  34.151.112.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.193.119.44    #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.207.109.220   #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.227.14.187    #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.228.104.231   #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.233.122.45    #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
35.169.206.177   #AS14618   35.168.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
35.200.194.187   #AS396982  35.200.192.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.204.130.42    #AS396982  35.204.128.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.207.197.30    #AS19527   35.207.192.0/18    US   GOOGLE-2 - Google LLC, US
35.209.96.157    #AS15169   35.208.0.0/15      US   GOOGLE - Google LLC, US
35.220.254.23    #AS396982  35.220.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.224.123.236   #AS396982  35.224.112.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.234.243.242   #AS396982  35.234.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.244.15.102    #AS396982  35.244.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
40.67.161.44     #AS8075    40.67.0.0/16       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
