67.205.128.161   #AS14061   67.205.128.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
67.207.90.236    #AS14061   67.207.80.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
71.6.135.131     #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
71.6.232.28      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
74.235.162.254   #AS8075    74.234.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
78.128.114.106   #AS50360   78.128.114.0/24    BG   TAMATIYA-AS - Tamatiya EOOD, BG
80.94.92.16      #AS47890   80.94.92.0/24      RO   UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB
91.230.168.161   #AS213412  91.230.168.0/24    FR   ONYPHE - ONYPHE SAS, FR
91.231.89.42     #AS213412  91.231.89.0/24     FR   ONYPHE - ONYPHE SAS, FR
96.44.174.248    #AS36352   96.44.174.0/23     US   AS-COLOCROSSING - HostPapa, US
98.89.204.118    #AS14618   98.88.0.0/13       US   AMAZON-AES - Amazon.com, Inc., US
100.28.191.174   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
103.9.206.167    #AS135905  103.9.206.0/24     VN   VNPT-AS-VN - VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN
103.118.174.33   #AS139205  103.118.174.0/24   ID   IDNIC-JALABYTE-ID - PT Jala Informatika Nusantara, ID
104.248.230.130  #AS14061   104.248.224.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
106.75.166.187   #AS58466   106.75.160.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
115.231.78.10    #AS58461   115.231.78.0/24    CN   CT-HangZhou-IDC - No.288,Fu-chun Road, CN
123.232.135.249  #AS4837    123.232.0.0/14     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
135.237.123.254  #AS8075    135.236.0.0/15     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
135.237.126.6    #AS8075    135.236.0.0/15     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
135.237.126.154  #AS8075    135.236.0.0/15     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
142.93.250.210   #AS14061   142.93.240.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
147.182.149.209  #AS14061   147.182.144.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
147.185.132.40   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.60   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.84   #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
147.185.132.174  #AS396982  147.185.132.0/22   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
157.230.88.87    #AS14061   157.230.80.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
167.94.145.24    #AS398705  167.94.145.0/24    US   CENSYS-ARIN-02 - Censys, Inc., US
167.94.145.26    #AS398705  167.94.145.0/24    US   CENSYS-ARIN-02 - Censys, Inc., US
171.104.81.231   #AS4134    171.104.0.0/14     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
172.202.117.179  #AS8075    172.200.0.0/13     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.202.118.41   #AS8075    172.200.0.0/13     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.203.245.192  #AS8075    172.200.0.0/13     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
173.239.253.139  #AS63018   173.239.253.0/24   US   DEDICATED - Dedicated.com, US
182.119.228.249  #AS4837    182.112.0.0/12     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
182.119.229.234  #AS4837    182.112.0.0/12     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
184.105.139.83   #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
184.105.139.117  #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
185.218.7.77     #AS51089   185.218.7.0/24     AU   SNAPSTACK-AS - SnapStack Limited, HK
185.226.197.68   #AS21859   185.226.197.0/24   PT   ZEN-ECN - Zenlayer Inc, US
193.148.56.120   #AS209946  193.148.56.0/24    BG   ALINDA-AS - ALINDA LLC, UA
193.148.57.4     #AS209946  193.148.57.0/24    BG   ALINDA-AS - ALINDA LLC, UA
194.180.48.41    #AS201814  194.180.48.0/24    BG   Mevspace - MEVSPACE sp. z o.o., PL
198.235.24.8     #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.52    #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.97    #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.172   #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.174   #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.199   #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.229   #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.241   #AS396982  198.235.24.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
199.45.154.180   #AS398722  199.45.154.0/24    US   CENSYS-ARIN-03 - Censys, Inc., US
205.210.31.50    #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.64    #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.240   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.242   #AS396982  205.210.31.0/24    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.180.246.9    #AS396982  216.180.246.0/24   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
220.177.9.156    #AS4134    220.176.0.0/15     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
