AS6939     IP: 65.49.1.237       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.81       PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.102      PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.117      PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 65.49.20.122      PREFIX: 65.49.0.0/17         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 74.82.47.3        PREFIX: 74.82.0.0/18         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 74.82.47.26       PREFIX: 74.82.0.0/18         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 74.82.47.44       PREFIX: 74.82.0.0/18         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 74.82.47.52       PREFIX: 74.82.0.0/18         CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.139.85    PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.139.92    PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.139.102   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.139.117   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.139.120   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.247.208   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.247.216   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.247.219   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
