203.232.180.0/23 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.232.186.0/24 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.249.38.0/24 #AS55611 KYUNGMIN-AS kyungmin university, KR
128.10.0.0/16 #AS17 PURDUE Purdue University, US
128.46.0.0/16 #AS17 PURDUE Purdue University, US
128.210.0.0/15 #AS17 PURDUE Purdue University, US
192.5.40.0/24 #AS17 PURDUE Purdue University, US
192.12.63.0/24 #AS17 PURDUE Purdue University, US
192.31.0.0/24 #AS17 PURDUE Purdue University, US
147.64.0.0/16 #AS398564 EUP-SCOTS-NET Pennsylvania Western University, US
204.235.172.0/23 #AS398564 EUP-SCOTS-NET Pennsylvania Western University, US
170.210.222.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.14.116.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.124.176.0/21 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
195.114.28.0/23 #AS41346 QUDSU AL-Quds University, IL
189.90.64.0/20 #AS28193 UNIVERSIDADE-ESTADUAL-LONDRINA UNIVERSIDADE ESTADUAL DE LONDRINA, BR
191.52.64.0/18 #AS28193 UNIVERSIDADE-ESTADUAL-LONDRINA UNIVERSIDADE ESTADUAL DE LONDRINA, BR
80.94.16.0/20 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
212.14.48.0/20 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
213.155.160.0/19 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
140.78.0.0/16 #AS1205 JKU-LINZ-AS University Linz, AT
192.107.124.0/23 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.172.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.176.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
131.204.0.0/16 #AS6112 AUBURN Auburn University, US
94.184.84.0/22 #AS202571 KHARAZMI-AS Kharazmi University, IR
185.160.104.0/22 #AS202571 KHARAZMI-AS Kharazmi University, IR
204.108.188.0/23 #AS398774 CUP-3 Pennsylvania Western University, US
209.250.192.0/19 #AS398774 CUP-3 Pennsylvania Western University, US
112.137.128.0/20 #AS45542 VNU-AS-VN VietNam National University Ha Noi, VN
148.231.0.0/16 #AS16596 UNIVERSIDAD-AUTONOMA-BAJA Universidad Autonoma del Estado de Baja California, MX
102.223.254.0/24 #AS328663 CATHOLIC-UNIVERSITY-GHANA Catholic University of Ghana (Fiapre) (CUG), GH
170.210.72.0/22 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
207.248.74.0/23 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
103.140.98.0/23 #AS139251 JAHANGIRNAGAR-AS-AP Jahangirnagar University, BD
195.251.152.0/21 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
195.251.160.0/20 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
195.251.184.0/21 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
199.79.56.0/22 #AS32955 TAMUT-MAIN Texas A&M University-Texarkana, US
192.12.83.0/24 #AS1852 UCDC-NET University of California - Office of the President, US
143.111.0.0/16 #AS11773 UTMDACC The University Of Texas M.D. Anderson Cancer Center, US
192.108.242.0/24 #AS11773 UTMDACC The University Of Texas M.D. Anderson Cancer Center, US
103.10.233.0/24 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
103.196.108.0/23 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
198.174.0.0/24 #AS33455 NORTHWESTERN-COLLEGE-STPAUL-MN University of Northwestern, US
199.86.72.0/21 #AS33455 NORTHWESTERN-COLLEGE-STPAUL-MN University of Northwestern, US
192.107.38.0/24 #AS40149 UBNET1-AS University of Bridgeport, US
216.87.96.0/19 #AS40149 UBNET1-AS University of Bridgeport, US
72.35.208.0/20 #AS401965 SAU-AS Southern Arkansas University, US
192.231.213.0/24 #AS401965 SAU-AS Southern Arkansas University, US
70.164.115.0/24 #AS397149 SDSU-SNAPDRAGON San Diego State University, US
130.254.0.0/19 #AS18759 SAV-AS Georgia Southern University, US
130.254.128.0/17 #AS18759 SAV-AS Georgia Southern University, US
141.165.0.0/16 #AS18759 SAV-AS Georgia Southern University, US
181.224.197.0/24 #AS272067 UNIVERSIDAD-ESTATAL-BOLIVAR Universidad Estatal de Bolivar, EC
168.232.48.0/22 #AS264720 UNIVERSIDAD-EL-SALVADOR UNIVERSIDAD DE EL SALVADOR, SV
194.106.194.0/23 #AS9124 IKBFU Federal State Educational Institution of Higher Professional Education Russian State University of Immanuil Kant, RU
137.154.0.0/16 #AS10079 UNIWESTSYD-AS-AP University of Western Sydney, AU
202.244.32.0/21 #AS63783 CUC Chiba University of Commerce, JP
46.30.224.0/21 #AS51539 ASN-AUIS-NET The American University of Iraq-Sulaimani, IQ
62.93.32.0/19 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.196.0/22 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.200.0/21 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.208.0/21 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.216.0/22 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
157.242.0.0/16 #AS25789 LMU Loyola Marymount University, US
45.94.212.0/24 #AS49228 HUOM Hormozgan University Of Medical Sciences, IR
185.96.240.0/22 #AS204001 YAZDUNI Yazd University, IR
38.105.194.0/24 #AS18564 SJU149068 St. John's University New York, US
38.108.196.0/24 #AS18564 SJU149068 St. John's University New York, US
149.68.0.0/16 #AS18564 SJU149068 St. John's University New York, US
83.212.28.0/22 #AS12402 UOPIRAEUS University of Piraeus, GR
83.212.236.0/22 #AS12402 UOPIRAEUS University of Piraeus, GR
195.251.224.0/21 #AS12402 UOPIRAEUS University of Piraeus, GR
195.251.236.0/23 #AS12402 UOPIRAEUS University of Piraeus, GR
194.225.184.0/21 #AS47981 IUMS-AS Iran University of Medical Sciences, IR
114.70.170.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.70.172.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.64.0/20 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.80.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.82.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
202.30.48.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.243.41.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.243.42.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.255.216.0/22 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.66.236.0/22 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.66.240.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.157.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.158.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
