100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
186.86.160.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.16.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.164.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.168.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.172.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.176.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.180.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.184.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.188.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.192.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.197.0/24 #AS10620 Telmex Colombia S.A., CO
186.86.199.0/24 #AS10620 Telmex Colombia S.A., CO
186.86.200.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.208.0/20 #AS10620 Telmex Colombia S.A., CO
186.86.224.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.228.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.232.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.240.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.24.0/21 #AS14080 Telmex Colombia S.A., CO
186.86.244.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.250.0/23 #AS10620 Telmex Colombia S.A., CO
186.86.255.0/24 #AS10620 Telmex Colombia S.A., CO
186.86.32.0/20 #AS10620 Telmex Colombia S.A., CO
186.86.48.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.56.0/22 #AS14080 Telmex Colombia S.A., CO
186.86.60.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.64.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.72.0/23 #AS10620 Telmex Colombia S.A., CO
186.86.76.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.80.0/22 #AS10620 Telmex Colombia S.A., CO
186.86.84.0/24 #AS10620 Telmex Colombia S.A., CO
186.86.85.0/24 #AS14080 Telmex Colombia S.A., CO
186.86.86.0/23 #AS14080 Telmex Colombia S.A., CO
186.86.88.0/21 #AS10620 Telmex Colombia S.A., CO
186.86.96.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.100.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.104.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.108.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.112.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.116.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.118.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.120.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.128.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.136.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.140.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.144.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.152.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.156.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.158.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.164.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.168.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.176.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.180.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.184.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.192.0/20 #AS14080 Telmex Colombia S.A., CO
186.87.20.0/23 #AS14080 Telmex Colombia S.A., CO
186.87.208.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.212.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.216.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.22.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.226.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.228.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.232.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.240.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.24.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.242.0/23 #AS14080 Telmex Colombia S.A., CO
186.87.244.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.248.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.28.0/24 #AS14080 Telmex Colombia S.A., CO
186.87.29.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.30.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.32.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.40.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.4.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.43.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.44.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.47.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.48.0/20 #AS10620 Telmex Colombia S.A., CO
186.87.64.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.68.0/22 #AS14080 Telmex Colombia S.A., CO
186.87.72.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.76.0/23 #AS14080 Telmex Colombia S.A., CO
186.87.78.0/24 #AS14080 Telmex Colombia S.A., CO
186.87.80.0/23 #AS10620 Telmex Colombia S.A., CO
186.87.8.0/21 #AS10620 Telmex Colombia S.A., CO
186.87.82.0/24 #AS14080 Telmex Colombia S.A., CO
186.87.83.0/24 #AS10620 Telmex Colombia S.A., CO
186.87.84.0/22 #AS10620 Telmex Colombia S.A., CO
186.87.88.0/21 #AS10620 Telmex Colombia S.A., CO
186.88.0.0/16 #AS8048 CANTV Servicios, Venezuela, VE
186.89.0.0/17 #AS8048 CANTV Servicios, Venezuela, VE
186.89.160.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.89.224.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.90.0.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.90.192.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.90.64.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.91.0.0/17 #AS8048 CANTV Servicios, Venezuela, VE
186.91.128.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.91.192.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.92.0.0/16 #AS8048 CANTV Servicios, Venezuela, VE
186.93.0.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.93.128.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.93.192.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.93.64.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.94.128.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.94.224.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.94.32.0/19 #AS8048 CANTV Servicios, Venezuela, VE
186.94.64.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.95.0.0/18 #AS8048 CANTV Servicios, Venezuela, VE
186.95.128.0/17 #AS8048 CANTV Servicios, Venezuela, VE
186.95.96.0/19 #AS8048 CANTV Servicios, Venezuela, VE
187.0.192.0/19 #AS15830 EQUINIX, NL
187.12.0.0/16 #AS7738 V tal, BR
187.125.0.0/16 #AS7738 V tal, BR
187.126.48.0/20 #AS7738 V tal, BR
187.126.80.0/20 #AS7738 V tal, BR
187.126.96.0/20 #AS7738 V tal, BR
187.13.144.0/20 #AS7738 V tal, BR
187.13.160.0/20 #AS7738 V tal, BR
187.13.224.0/20 #AS7738 V tal, BR
187.13.48.0/20 #AS7738 V tal, BR
187.14.192.0/19 #AS7738 V tal, BR
187.14.32.0/20 #AS7738 V tal, BR
187.14.64.0/20 #AS7738 V tal, BR
187.15.176.0/20 #AS7738 V tal, BR
187.15.64.0/20 #AS7738 V tal, BR
187.162.0.0/15 #AS6503 Axtel, S.A.B. de C.V., MX
187.166.0.0/15 #AS6503 Axtel, S.A.B. de C.V., MX
187.176.0.0/14 #AS6503 Axtel, S.A.B. de C.V., MX
187.17.64.0/18 #AS7162 Universo Online S.A., BR
187.28.0.0/15 #AS4230 CLARO S.A., BR
187.30.0.0/16 #AS4230 CLARO S.A., BR
187.31.30.0/24 #AS14571 Oi S.A. - Em Recuperacao Judicial, BR
187.33.0.0/19 #AS15830 EQUINIX, NL
187.40.0.0/20 #AS7738 V tal, BR
187.4.0.0/17 #AS8167 V tal, BR
187.40.192.0/19 #AS7738 V tal, BR
187.40.64.0/20 #AS7738 V tal, BR
187.4.128.0/18 #AS8167 V tal, BR
187.41.64.0/20 #AS7738 V tal, BR
187.4.192.0/20 #AS8167 V tal, BR
187.4.224.0/19 #AS8167 V tal, BR
187.43.0.0/16 #AS4230 CLARO S.A., BR
187.5.128.0/19 #AS8167 V tal, BR
187.5.16.0/20 #AS8167 V tal, BR
187.5.176.0/20 #AS8167 V tal, BR
187.5.192.0/19 #AS8167 V tal, BR
187.52.0.0/19 #AS8167 V tal, BR
187.52.128.0/18 #AS8167 V tal, BR
187.52.208.0/20 #AS8167 V tal, BR
187.5.240.0/20 #AS8167 V tal, BR
187.52.48.0/20 #AS8167 V tal, BR
187.52.64.0/19 #AS8167 V tal, BR
187.52.96.0/20 #AS8167 V tal, BR
187.53.0.0/18 #AS8167 V tal, BR
187.53.144.0/20 #AS8167 V tal, BR
187.5.32.0/19 #AS8167 V tal, BR
187.53.208.0/20 #AS8167 V tal, BR
187.53.224.0/19 #AS8167 V tal, BR
187.53.64.0/20 #AS8167 V tal, BR
187.54.128.0/18 #AS8167 V tal, BR
187.54.16.0/20 #AS8167 V tal, BR
187.54.192.0/19 #AS8167 V tal, BR
187.54.32.0/20 #AS8167 V tal, BR
187.54.64.0/18 #AS8167 V tal, BR
187.55.176.0/20 #AS8167 V tal, BR
187.55.192.0/19 #AS8167 V tal, BR
187.55.240.0/20 #AS8167 V tal, BR
187.55.96.0/20 #AS8167 V tal, BR
187.5.64.0/18 #AS8167 V tal, BR
187.6.0.0/17 #AS8167 V tal, BR
187.6.128.0/19 #AS8167 V tal, BR
187.6.192.0/18 #AS8167 V tal, BR
187.7.0.0/20 #AS8167 V tal, BR
187.7.128.0/18 #AS8167 V tal, BR
187.7.208.0/20 #AS8167 V tal, BR
187.7.224.0/19 #AS8167 V tal, BR
187.76.0.0/16 #AS7738 V tal, BR
187.7.80.0/20 #AS8167 V tal, BR
187.78.160.0/20 #AS7738 V tal, BR
187.79.144.0/20 #AS7738 V tal, BR
187.7.96.0/19 #AS8167 V tal, BR
188.0.224.0/20 #AS15836 AXAUTSYS ARAX AS, MD
188.0.40.0/21 #AS13259 DELTA-TELESYSTEMS-AS, RU
188.0.68.0/22 #AS15785 AS3326-INFRA AS3326-INFRA, UA
188.0.72.0/22 #AS15785 AS3326-INFRA AS3326-INFRA, UA
188.0.76.0/24 #AS15785 AS3326-INFRA AS3326-INFRA, UA
188.1.0.0/16 #AS680 DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE
188.114.192.0/20 #AS6789 CRELCOM-NET, RU
188.115.0.0/18 #AS6661 EPT-LU Entreprise des P. et T. Luxembourg, LU
188.115.128.0/18 #AS6876 TENET-AS, UA
188.116.2.0/23 #AS9009 M247, RO
188.116.22.0/24 #AS9009 M247, RO
188.116.45.0/24 #AS12595 AS-XYNTA, NL
188.118.128.0/18 #AS9145 EWETEL, DE
188.118.192.0/18 #AS8437 UTA-AS, AT
188.119.0.0/23 #AS12735 ASTURKNET, TR
188.119.11.0/24 #AS12735 ASTURKNET, TR
188.119.12.0/22 #AS12735 ASTURKNET, TR
188.119.128.0/20 #AS9009 M247, RO
188.119.16.0/24 #AS12735 ASTURKNET, TR
188.119.168.0/21 #AS9009 M247, RO
188.119.18.0/23 #AS12735 ASTURKNET, TR
188.119.184.0/22 #AS9009 M247, RO
188.119.20.0/22 #AS12735 ASTURKNET, TR
188.119.24.0/22 #AS12735 ASTURKNET, TR
188.119.30.0/23 #AS12735 ASTURKNET, TR
188.119.3.0/24 #AS12735 ASTURKNET, TR
188.119.32.0/20 #AS12735 ASTURKNET, TR
188.119.4.0/22 #AS12735 ASTURKNET, TR
188.119.48.0/21 #AS12735 ASTURKNET, TR
188.119.56.0/22 #AS12735 ASTURKNET, TR
188.119.60.0/23 #AS12735 ASTURKNET, TR
188.119.62.0/24 #AS12735 ASTURKNET, TR
188.119.8.0/23 #AS12735 ASTURKNET, TR
188.119.92.0/22 #AS12379 PIN-NET-AS Meiereistrasse 8a, DE
188.120.127.0/24 #AS13004 SOX, RS
188.122.224.0/19 #AS8439 AIST JSC AIST, RU
188.123.224.0/19 #AS15582 AKADO-B2C-AS, RU
188.125.15.0/24 #AS13046 ASN-ISKON, HR
188.125.192.0/19 #AS15457 NOS_MADEIRA, PT
188.126.128.0/19 #AS12479 UNI2-AS, ES
188.126.160.0/19 #AS12759 SOCO-AS Nordstrasse 102, DE
188.128.128.0/17 #AS12824 HOMEPL-AS, PL
188.129.12.0/22 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.129.126.0/24 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.129.76.0/22 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.129.80.0/22 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.129.9.0/24 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.130.146.0/24 #AS15868 NALTEL-AS, RU
188.130.156.0/22 #AS8200 UPLINK-AS, KZ
188.130.200.0/22 #AS8342 RTCOMM-AS, RU
188.130.204.0/24 #AS8342 RTCOMM-AS, RU
188.130.247.0/24 #AS5505 VADAVO, ES
188.130.254.0/24 #AS5505 VADAVO, ES
188.134.128.0/17 #AS15425 COMA, CZ
188.136.0.0/17 #AS12355 HAMCOM-DE Hamm, Germany, DE
188.137.0.0/17 #AS13000 LEON-AS, PL
188.137.160.0/20 #AS8758 IWAY, CH
188.137.192.0/19 #AS6848 TELENET-AS, BE
188.142.0.0/17 #AS1136 KPN KPN National, NL
188.146.0.0/15 #AS12912 TM, PL
188.148.0.0/14 #AS1257 TELE2, EU
188.154.0.0/15 #AS6730 SUNRISE, CH
188.163.0.0/16 #AS15895 KSNET-AS, UA
188.165.0.0/16 #AS16276 OVH, FR
188.168.0.0/16 #AS15774 TTK-RTL Retail, RU
188.17.116.0/23 #AS12668 MIRALOGIC-AS, RU
188.172.197.0/24 #AS9096 , CH
188.174.0.0/16 #AS8767 MNET-AS Germany, DE
188.175.0.0/16 #AS16246 AS16246 NEJ.cz s.r.o, CZ
188.176.0.0/13 #AS3292 TDC TDC AS, DK
188.18.112.0/23 #AS12668 MIRALOGIC-AS, RU
188.18.116.0/24 #AS12668 MIRALOGIC-AS, RU
188.184.0.0/15 #AS513 CERN, CH
188.188.0.0/15 #AS6848 TELENET-AS, BE
188.190.0.0/24 #AS9009 M247, RO
188.190.13.0/24 #AS7195 EDGEUNO S.A.S, CO
188.190.2.0/24 #AS9009 M247, RO
188.190.4.0/24 #AS9009 M247, RO
188.191.136.0/21 #AS6758 AS6758, MC
188.191.240.0/21 #AS8359 MTS, RU
188.191.248.0/21 #AS9009 M247, RO
188.191.32.0/20 #AS3255 UARNET-AS UARNet-Eksintech, UA
188.191.86.0/23 #AS8359 MTS, RU
188.200.0.0/13 #AS1136 KPN KPN National, NL
188.208.0.0/20 #AS12479 UNI2-AS, ES
188.208.40.0/21 #AS12479 UNI2-AS, ES
188.209.156.0/22 #AS931 HYONIX - Hyonix, SG
188.210.236.0/24 #AS931 HYONIX - Hyonix, SG
188.213.19.0/24 #AS3223 VOXILITY, GB
188.213.22.0/24 #AS3223 VOXILITY, GB
188.213.242.0/24 #AS9009 M247, RO
188.213.34.0/24 #AS9009 M247, RO
188.214.106.0/24 #AS9009 M247, RO
188.214.122.0/24 #AS9009 M247, RO
188.214.125.0/24 #AS9009 M247, RO
188.214.141.0/24 #AS9050 RTD Bucharest, Romania, RO
188.214.143.0/24 #AS9009 M247, RO
188.214.152.0/24 #AS9009 M247, RO
188.214.158.0/24 #AS9009 M247, RO
188.215.112.0/21 #AS8751 MEDIASAT, RO
188.215.235.0/24 #AS9009 M247, RO
188.215.28.0/23 #AS15692 RAZORBLUE, GB
188.215.96.0/22 #AS9009 M247, RO
188.225.128.0/17 #AS12754 COOLNET, PS
188.226.0.0/17 #AS12668 MIRALOGIC-AS, RU
188.227.200.0/22 #AS6730 SUNRISE, CH
188.227.248.0/21 #AS12757 IPTRON, EE
188.239.128.0/19 #AS12479 UNI2-AS, ES
188.239.160.0/20 #AS15547 NETPLUS, CH
188.239.188.0/23 #AS15372 IBH-AS, DE
188.24.0.0/15 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
188.240.128.0/20 #AS12479 UNI2-AS, ES
188.240.210.0/24 #AS3223 VOXILITY, GB
188.240.220.0/24 #AS9009 M247, RO
188.240.73.0/24 #AS9009 M247, RO
188.240.8.0/22 #AS12310 INES Bucharest  ROMANIA, RO
188.241.176.0/22 #AS9009 M247, RO
188.241.194.0/24 #AS3164 ASTIMP-IT, RO
188.241.247.0/24 #AS12859 NL-BIT BIT BV, NL
188.241.48.0/23 #AS16192 ROM-ELECTRONIC-AS, RO
188.241.50.0/24 #AS16192 ROM-ELECTRONIC-AS, RO
188.241.80.0/22 #AS9009 M247, RO
188.244.128.0/17 #AS15774 TTK-RTL Retail, RU
188.246.0.0/19 #AS15987 PORTUNITY-AS, DE
188.246.160.0/19 #AS8595 WESTCALL-AS, RU
188.246.192.0/20 #AS8916 PORTFAST, GB
188.247.112.0/22 #AS3326 DATAGROUP Datagroup PJSC, UA
188.250.0.0/15 #AS3243 MEO-RESIDENCIAL, PT
188.252.196.0/22 #AS15994 A1HR A1 Hrvatska Zagreb, Croatia, HR
188.253.104.0/21 #AS931 HYONIX - Hyonix, SG
188.253.28.0/22 #AS931 HYONIX - Hyonix, SG
188.253.8.0/22 #AS931 HYONIX - Hyonix, SG
188.254.254.0/24 #AS8866 VIVACOM-AS BULGARIA, BG
188.255.193.0/24 #AS16276 OVH, FR
188.255.231.0/24 #AS8881 VERSATEL, DE
188.255.253.0/24 #AS8881 VERSATEL, DE
188.26.0.0/17 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
188.26.128.0/18 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
188.26.224.0/19 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
188.27.0.0/16 #AS8708 DIGI-ROMANIA 75 Dr. Staicovici, RO
188.3.0.0/20 #AS8386 KOCNET, TR
188.3.100.0/24 #AS8386 KOCNET, TR
188.3.102.0/24 #AS8386 KOCNET, TR
188.3.107.0/24 #AS8386 KOCNET, TR
188.3.111.0/24 #AS8386 KOCNET, TR
188.3.112.0/21 #AS8386 KOCNET, TR
188.3.120.0/22 #AS8386 KOCNET, TR
188.3.128.0/20 #AS8386 KOCNET, TR
188.3.144.0/22 #AS8386 KOCNET, TR
188.3.148.0/23 #AS8386 KOCNET, TR
188.3.152.0/22 #AS8386 KOCNET, TR
188.3.160.0/19 #AS8386 KOCNET, TR
188.3.16.0/21 #AS8386 KOCNET, TR
188.3.192.0/19 #AS8386 KOCNET, TR
188.3.224.0/20 #AS8386 KOCNET, TR
188.3.240.0/21 #AS8386 KOCNET, TR
188.3.248.0/23 #AS8386 KOCNET, TR
188.3.251.0/24 #AS8386 KOCNET, TR
188.3.252.0/22 #AS8386 KOCNET, TR
188.3.26.0/23 #AS8386 KOCNET, TR
188.3.28.0/22 #AS8386 KOCNET, TR
188.3.32.0/22 #AS8386 KOCNET, TR
188.3.36.0/23 #AS8386 KOCNET, TR
188.3.38.0/24 #AS8386 KOCNET, TR
188.3.40.0/21 #AS8386 KOCNET, TR
188.3.48.0/21 #AS8386 KOCNET, TR
188.3.57.0/24 #AS8386 KOCNET, TR
188.3.58.0/23 #AS8386 KOCNET, TR
188.3.60.0/23 #AS8386 KOCNET, TR
188.3.62.0/24 #AS8386 KOCNET, TR
188.3.64.0/20 #AS8386 KOCNET, TR
188.3.80.0/22 #AS8386 KOCNET, TR
188.3.85.0/24 #AS8386 KOCNET, TR
188.3.86.0/24 #AS8386 KOCNET, TR
188.3.89.0/24 #AS8386 KOCNET, TR
188.3.95.0/24 #AS8386 KOCNET, TR
188.3.96.0/22 #AS8386 KOCNET, TR
188.4.0.0/16 #AS1241 FORTHNET-GR Forthnet, GR
188.44.114.0/23 #AS15774 TTK-RTL Retail, RU
188.44.128.0/17 #AS8448 CETIN-HU Torokbalint, Hungary, HU
188.44.64.0/19 #AS6848 TELENET-AS, BE
188.44.99.0/24 #AS15774 TTK-RTL Retail, RU
188.45.192.0/18 #AS8562 LICPLUS-AS, AT
188.46.0.0/16 #AS6805 TDDE-ASN1, DE
188.47.0.0/16 #AS5617 TPNET, PL
188.56.0.0/18 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.56.192.0/18 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.57.0.0/17 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.57.128.0/19 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.57.160.0/20 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.57.176.0/22 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.57.240.0/22 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.58.0.0/17 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.58.128.0/19 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.58.192.0/19 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.0.0/17 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.128.0/18 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.192.0/20 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.213.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.215.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.219.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.220.0/23 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.223.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.227.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.228.0/22 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.233.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.248.0/23 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.250.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.59.255.0/24 #AS16135 TURKCELL-AS Turkcell A.S., TR
188.64.168.0/21 #AS12722 RECONN, RU
188.64.17.0/24 #AS15404 , GB
188.64.18.0/23 #AS15404 , GB
188.64.240.0/21 #AS12727 VIALIS Colmar, France, FR
188.64.34.0/23 #AS3170 VELOXSERV, GB
188.64.8.0/21 #AS15723 AZERONLINE, AZ
188.65.0.0/21 #AS12906 DELTATRE-AS, IT
188.65.104.0/21 #AS15886 REKKON-AS, RU
188.65.200.0/21 #AS8292 CAMDATA, DE
188.65.24.0/23 #AS15679 CIS, OM
188.65.241.0/24 #AS16345 BEE-AS Russia, RU
188.65.242.0/23 #AS16345 BEE-AS Russia, RU
188.65.244.0/22 #AS16345 BEE-AS Russia, RU
188.65.26.0/24 #AS15679 CIS, OM
188.65.29.0/24 #AS15679 CIS, OM
188.65.30.0/24 #AS15679 CIS, OM
188.66.32.0/22 #AS16345 BEE-AS Russia, RU
188.66.38.0/23 #AS3216 SOVAM-AS, RU
188.66.56.0/22 #AS16347 INHERENT, FR
188.67.0.0/16 #AS16086 DNA, FI
188.68.128.0/19 #AS16285 ASN-UMN Technicheskaya Str.18b, Yekaterinburg, Russia, RU
188.68.164.0/22 #AS16276 OVH, FR
188.73.131.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.136.0/23 #AS12668 MIRALOGIC-AS, RU
188.73.139.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.140.0/23 #AS12668 MIRALOGIC-AS, RU
188.73.142.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.144.0/21 #AS12668 MIRALOGIC-AS, RU
188.73.153.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.154.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.156.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.158.0/23 #AS12668 MIRALOGIC-AS, RU
188.73.162.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.165.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.168.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.170.0/23 #AS12668 MIRALOGIC-AS, RU
188.73.173.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.176.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.183.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.185.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.186.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.188.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.191.0/24 #AS12668 MIRALOGIC-AS, RU
188.73.192.0/18 #AS15617 WIND-HELLAS, GR
188.73.64.0/18 #AS6833 GVS-AS Am Wallgraben 135, DE
188.74.128.0/24 #AS9009 M247, RO
188.74.144.0/21 #AS9009 M247, RO
188.74.155.0/24 #AS9009 M247, RO
188.74.160.0/24 #AS9009 M247, RO
188.74.163.0/24 #AS9009 M247, RO
188.74.164.0/24 #AS9009 M247, RO
188.74.171.0/24 #AS9009 M247, RO
188.74.180.0/24 #AS9009 M247, RO
188.74.184.0/22 #AS9009 M247, RO
188.74.192.0/20 #AS9009 M247, RO
188.74.212.0/22 #AS9009 M247, RO
188.74.216.0/21 #AS9009 M247, RO
188.74.224.0/20 #AS9009 M247, RO
188.74.248.0/21 #AS9009 M247, RO
188.75.192.0/18 #AS8359 MTS, RU
188.76.0.0/14 #AS12479 UNI2-AS, ES
188.80.0.0/14 #AS3243 MEO-RESIDENCIAL, PT
188.8.0.0/13 #AS3269 ASN-IBSNAZ, IT
188.92.104.0/21 #AS8595 WESTCALL-AS, RU
188.92.119.0/24 #AS8222 NORIS Munich, Germany, DE
188.92.138.0/23 #AS3170 VELOXSERV, GB
188.92.216.0/21 #AS15454 ARBUZ-AS, RU
188.92.224.0/21 #AS15576 NTS, CH
188.92.244.0/22 #AS8595 WESTCALL-AS, RU
188.93.10.0/23 #AS8972 GD-EMEA-DC-SXB1, DE
188.93.104.0/23 #AS8409 IITP-AS, RU
188.93.107.0/24 #AS3267 NIKS, RU
188.93.15.0/24 #AS8972 GD-EMEA-DC-SXB1, DE
188.93.200.0/21 #AS12301 INVITECH, HU
188.93.224.0/21 #AS5533 CLARANET-, PT
188.93.72.0/21 #AS12338 EUSKALTEL, ES
188.93.8.0/24 #AS8972 GD-EMEA-DC-SXB1, DE
188.94.176.0/21 #AS9044 SOLNET, CH
188.94.184.0/22 #AS15447 AS-CM, NL
188.94.64.0/21 #AS16086 DNA, FI
188.94.96.0/21 #AS9022 TWL-KOM-AS Donnersbergweg 4, DE
188.95.128.0/21 #AS13009 VDATA, GB
188.95.146.0/23 #AS6848 TELENET-AS, BE
188.95.67.0/24 #AS15830 EQUINIX, NL
188.95.96.0/21 #AS15830 EQUINIX, NL
189.10.0.0/19 #AS8167 V tal, BR
189.10.128.0/20 #AS8167 V tal, BR
189.10.160.0/19 #AS8167 V tal, BR
189.10.192.0/20 #AS8167 V tal, BR
189.10.224.0/19 #AS8167 V tal, BR
189.10.32.0/20 #AS8167 V tal, BR
189.104.116.0/23 #AS9009 M247, RO
189.104.124.0/23 #AS9009 M247, RO
189.104.136.0/23 #AS9009 M247, RO
189.104.142.0/23 #AS9009 M247, RO
189.104.152.0/23 #AS9009 M247, RO
189.104.160.0/22 #AS9009 M247, RO
189.104.18.0/23 #AS9009 M247, RO
