100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
102.220.52.0/24 #AS5713 SAIX-NET, ZA
102.220.92.0/22 #AS15399 WANANCHI-, KE
102.221.20.0/22 #AS15399 WANANCHI-, KE
102.221.40.0/22 #AS5713 SAIX-NET, ZA
102.222.220.0/22 #AS15399 WANANCHI-, KE
102.222.70.0/23 #AS15399 WANANCHI-, KE
102.222.84.0/22 #AS15399 WANANCHI-, KE
102.240.0.0/24 #AS5438 ATI-, TN
102.240.10.0/24 #AS5438 ATI-, TN
102.240.128.0/23 #AS5438 ATI-, TN
102.240.131.0/24 #AS5438 ATI-, TN
102.240.132.0/22 #AS5438 ATI-, TN
102.240.15.0/24 #AS5438 ATI-, TN
102.240.16.0/24 #AS5438 ATI-, TN
102.240.20.0/23 #AS5438 ATI-, TN
102.240.6.0/24 #AS5438 ATI-, TN
102.240.9.0/24 #AS5438 ATI-, TN
102.241.0.0/22 #AS5438 ATI-, TN
102.241.10.0/23 #AS5438 ATI-, TN
102.241.12.0/22 #AS5438 ATI-, TN
102.241.4.0/23 #AS5438 ATI-, TN
102.241.63.0/24 #AS5438 ATI-, TN
102.241.7.0/24 #AS5438 ATI-, TN
102.241.8.0/24 #AS5438 ATI-, TN
102.248.0.0/13 #AS5713 SAIX-NET, ZA
102.36.218.0/24 #AS15399 WANANCHI-, KE
102.36.221.0/24 #AS15399 WANANCHI-, KE
102.36.222.0/24 #AS15399 WANANCHI-, KE
102.38.225.0/24 #AS9009 M247, RO
102.38.232.0/22 #AS9009 M247, RO
102.38.236.0/23 #AS9009 M247, RO
102.38.239.0/24 #AS9009 M247, RO
102.38.240.0/23 #AS9009 M247, RO
102.38.247.0/24 #AS9009 M247, RO
102.38.253.0/24 #AS9009 M247, RO
102.38.254.0/24 #AS9009 M247, RO
102.38.60.0/22 #AS5713 SAIX-NET, ZA
102.40.0.0/13 #AS8452 TE-AS TE-AS, EG
102.48.0.0/13 #AS6713 IAM-AS, MA
102.68.72.0/22 #AS5713 SAIX-NET, ZA
102.72.0.0/13 #AS6713 IAM-AS, MA
103.100.108.0/22 #AS15830 EQUINIX, NL
103.100.122.0/23 #AS9009 M247, RO
103.101.0.0/23 #AS6206 NETROUTING-AS, NL
103.101.164.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.101.166.0/23 #AS15830 EQUINIX, NL
103.101.40.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.102.124.0/22 #AS15830 EQUINIX, NL
103.102.48.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.102.54.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.103.140.0/23 #AS15830 EQUINIX, NL
103.103.164.0/22 #AS15830 EQUINIX, NL
103.103.216.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.103.4.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.104.220.0/24 #AS14969 JANE-STREET - JANE STREET, US
103.104.248.0/24 #AS931 HYONIX - Hyonix, SG
103.104.250.0/23 #AS931 HYONIX - Hyonix, SG
103.104.8.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.105.165.0/24 #AS6079 RCN-AS - RCN, US
103.106.12.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.106.140.0/22 #AS9973 BSITC-AS-KR BSITC, KR
103.108.80.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.108.84.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.109.152.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.160.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.188.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.192.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.200.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.252.0/22 #AS15830 EQUINIX, NL
103.110.208.0/22 #AS5631 ELEVATE, GB
103.1.104.0/22 #AS4788 TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY
103.111.112.0/22 #AS8849 MELBICOM-EU-AS Melbikomas UAB, LT
