134.171.64.0/20 #AS2117 EUROPEAN-SOUTHERN-OBSERVATORY European Southern Observatory, DE
185.11.199.0/24 #AS205567 GEMOTEST-AS Gemotest Laboratory LLC, RU
65.209.173.0/24 #AS22502 LABCORP-HOLDINGS Laboratory Corporation of America, US
208.66.165.0/24 #AS22502 LABCORP-HOLDINGS Laboratory Corporation of America, US
103.98.60.0/24 #AS136702 PRLCC-AS Physical Research Laboratory, IN
199.188.184.0/22 #AS14940 LIGO-HANFORD-OBSERVATORY LIGO Livingston Observatory, US
134.9.0.0/18 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.64.0/20 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.80.0/21 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
134.9.255.0/24 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.12.135.0/24 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.12.136.0/23 #AS44 S1-DOMAIN Lawrence Livermore National Laboratory, US
192.226.62.0/23 #AS62525 LIFELABS-INC LifeLabs Medical Laboratory Services, CA
192.226.45.0/24 #AS32245 BC-LIFELABS-CCB LifeLabs Medical Laboratory Services, CA
37.19.0.0/21 #AS198354 SISTELECOM-AS SIS Laboratory LLC, RU
185.214.160.0/22 #AS198354 SISTELECOM-AS SIS Laboratory LLC, RU
12.35.188.0/22 #AS53768 LABCORP Laboratory Corporation of America, US
12.39.198.0/23 #AS53768 LABCORP Laboratory Corporation of America, US
12.145.88.0/21 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.32.0/19 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.64.0/19 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.96.0/21 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.160.0/20 #AS53768 LABCORP Laboratory Corporation of America, US
162.134.250.0/24 #AS53768 LABCORP Laboratory Corporation of America, US
91.239.102.0/23 #AS58190 ASNETWORKLABORATORY Network Laboratory Ltd, RU
113.29.67.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
162.134.132.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
162.134.144.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.49.143.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.66.164.0/24 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
208.66.166.0/23 #AS18994 LABCORP-BLS Laboratory Corporation of America, US
195.26.160.0/21 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.168.0/24 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.170.0/23 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.172.0/22 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.176.0/23 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.179.0/24 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.180.0/22 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
195.26.184.0/21 #AS8507 JSC-LABORATORY-OF JSC Laboratory of New Information Technologies LANIT, RU
62.89.214.0/24 #AS200123 KGILC-AS Kola Geological Information Laboratory Centre OJSC, RU
93.170.9.0/24 #AS200123 KGILC-AS Kola Geological Information Laboratory Centre OJSC, RU
196.3.151.0/24 #AS11157 ELAB Electronic laboratory Services Pty Ltd, ZA
192.33.19.0/24 #AS16411 NREL-AS-NATIONAL-RENEWABLE-ENERGY-LABORATORY National Laboratory of the Rockies, US
192.48.125.0/24 #AS16411 NREL-AS-NATIONAL-RENEWABLE-ENERGY-LABORATORY National Laboratory of the Rockies, US
192.88.248.0/23 #AS16411 NREL-AS-NATIONAL-RENEWABLE-ENERGY-LABORATORY National Laboratory of the Rockies, US
192.174.32.0/19 #AS16411 NREL-AS-NATIONAL-RENEWABLE-ENERGY-LABORATORY National Laboratory of the Rockies, US
128.165.0.0/16 #AS68 LANL-NM Los Alamos National Laboratory, US
130.55.0.0/16 #AS68 LANL-NM Los Alamos National Laboratory, US
138.98.0.0/16 #AS68 LANL-NM Los Alamos National Laboratory, US
141.111.0.0/16 #AS68 LANL-NM Los Alamos National Laboratory, US
192.12.184.0/24 #AS68 LANL-NM Los Alamos National Laboratory, US
192.52.70.0/24 #AS68 LANL-NM Los Alamos National Laboratory, US
192.65.95.0/24 #AS68 LANL-NM Los Alamos National Laboratory, US
204.121.0.0/16 #AS68 LANL-NM Los Alamos National Laboratory, US
195.151.31.0/24 #AS210914 CITYLAB LLC Scientific and Methodological Center for Clinical Laboratory Diagnostics Citylab, RU
128.244.0.0/16 #AS77 JHUAPL-AS Johns Hopkins University Applied Physics Laboratory, US
204.9.128.0/24 #AS77 JHUAPL-AS Johns Hopkins University Applied Physics Laboratory, US
204.9.130.0/24 #AS77 JHUAPL-AS Johns Hopkins University Applied Physics Laboratory, US
151.159.224.0/20 #AS26498 SANFORD-LAB Sanford Underground Laboratory at Homestake, US
204.114.24.0/21 #AS26498 SANFORD-LAB Sanford Underground Laboratory at Homestake, US
139.60.102.0/23 #AS54430 CRL-CORP Clinical Reference Laboratory, US
198.245.42.0/23 #AS54430 CRL-CORP Clinical Reference Laboratory, US
205.159.255.0/24 #AS54430 CRL-CORP Clinical Reference Laboratory, US
192.12.208.0/24 #AS1829 LANL-NV Los Alamos National Laboratory, US
194.177.194.0/23 #AS15690 NOANET NATIONAL OBSERVATORY OF ATHENS, GR
195.251.202.0/23 #AS15690 NOANET NATIONAL OBSERVATORY OF ATHENS, GR
195.251.204.0/24 #AS15690 NOANET NATIONAL OBSERVATORY OF ATHENS, GR
208.69.128.0/22 #AS40189 LLO-CALTECH LIGO Livingston Observatory, US
64.234.112.0/24 #AS393677 HLS Hematogenix Laboratory Services LLC, US
165.99.116.0/24 #AS393677 HLS Hematogenix Laboratory Services LLC, US
195.225.56.0/23 #AS35257 MIFS-AS LLC LABORATORY OF MODERN FINANCIAL RESEARCH, RU
5.32.144.0/21 #AS43714 EPL-AS Production co-operative Economic-legal laboratory, RU
95.154.128.0/18 #AS43714 EPL-AS Production co-operative Economic-legal laboratory, RU
130.49.220.0/22 #AS43714 EPL-AS Production co-operative Economic-legal laboratory, RU
178.130.136.0/22 #AS43714 EPL-AS Production co-operative Economic-legal laboratory, RU
185.210.44.0/22 #AS43714 EPL-AS Production co-operative Economic-legal laboratory, RU
103.49.50.0/23 #AS150480 BURSANET-AS-ID PT Swara Logika Laboratory, ID
134.79.0.0/16 #AS3671 SLAC SLAC National Accelerator Laboratory, US
198.51.111.0/24 #AS3671 SLAC SLAC National Accelerator Laboratory, US
206.197.219.0/24 #AS3627 NRAO-AS National Radio Astronomy Observatory, US
103.174.94.0/23 #AS9818 IFLAB Internet Finance Laboratory, CN
185.94.217.0/24 #AS43880 LITECH-AS Laboratory of Information Technologies LLC, UA
185.94.218.0/24 #AS43880 LITECH-AS Laboratory of Information Technologies LLC, UA
192.55.106.0/24 #AS3380 PPPL-AS1 Princeton Plasma Physics Laboratory, US
192.188.106.0/24 #AS3380 PPPL-AS1 Princeton Plasma Physics Laboratory, US
198.35.0.0/20 #AS3380 PPPL-AS1 Princeton Plasma Physics Laboratory, US
146.80.0.0/16 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.5.28.0/23 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.5.30.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.35.94.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.67.43.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.107.178.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
192.149.120.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
194.32.69.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
194.32.218.0/23 #AS7 DSTL The Defence Science and Technology Laboratory, GB
194.34.138.0/24 #AS7 DSTL The Defence Science and Technology Laboratory, GB
194.61.92.0/23 #AS7 DSTL The Defence Science and Technology Laboratory, GB
130.199.0.0/16 #AS43 BNL-AS Brookhaven National Laboratory, US
192.12.15.0/24 #AS43 BNL-AS Brookhaven National Laboratory, US
192.33.128.0/24 #AS43 BNL-AS Brookhaven National Laboratory, US
192.153.161.0/24 #AS43 BNL-AS Brookhaven National Laboratory, US
192.203.218.0/24 #AS43 BNL-AS Brookhaven National Laboratory, US
133.40.0.0/16 #AS63777 STARCLUSTER National Institutes of Natural Sciences National Astronomical Observatory of JAPAN, JP
43.249.241.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
43.251.187.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
45.124.60.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
45.124.62.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
64.145.0.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
64.145.3.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
67.102.181.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.5.248.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.7.116.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.10.36.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.11.239.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.12.53.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.12.54.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.13.18.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.24.160.0/23 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.24.162.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.244.209.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.244.210.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.244.220.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
103.244.223.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
155.229.0.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
155.229.241.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
207.145.6.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
207.145.9.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
207.145.48.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
216.254.2.0/23 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
216.254.92.0/24 #AS142622 DIL-AS-AP Dream Information Laboratory LLC, JP
147.155.0.0/16 #AS2640 AMESLAB-AS Ames Laboratory, US
62.76.38.0/23 #AS9157 SAO-RAS Federal State Budget Institution The Special Astrophysical Observatory of Russia's Academy of Sciences, RU
194.85.27.0/24 #AS9157 SAO-RAS Federal State Budget Institution The Special Astrophysical Observatory of Russia's Academy of Sciences, RU
