67.232.160.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
67.235.48.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
67.237.96.0/20 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
67.237.132.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
67.237.136.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
67.237.224.0/19 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
69.34.216.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
69.68.252.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
69.69.94.0/23 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.0.48.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.1.128.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.2.216.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.48.176.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.50.0.0/20 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
71.53.64.0/20 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
74.4.176.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
76.2.0.0/19 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
138.210.78.0/23 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
138.210.82.0/24 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
138.210.120.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
138.210.128.0/22 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
138.210.168.0/21 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
205.162.192.0/20 #AS14921 CENTURYLINK-LEGACY-EMBARQ-HDRV CenturyLink Communications LLC, US
168.220.160.0/19 #AS398210 RIVERNET Lynches River Communications Inc, US
207.211.240.0/20 #AS398210 RIVERNET Lynches River Communications Inc, US
103.132.204.0/23 #AS151140 WAYARNET-AS-IN WAYAR NETWORK PRIVATE LIMITED, IN
103.132.207.0/24 #AS151140 WAYARNET-AS-IN WAYAR NETWORK PRIVATE LIMITED, IN
103.250.120.0/23 #AS151140 WAYARNET-AS-IN WAYAR NETWORK PRIVATE LIMITED, IN
162.27.150.0/24 #AS62868 DATA-COMMUNICATIONS-MANAGEMENT-CORP DATA Communications Management Corp., CA
162.27.153.0/24 #AS62868 DATA-COMMUNICATIONS-MANAGEMENT-CORP DATA Communications Management Corp., CA
162.27.154.0/24 #AS62868 DATA-COMMUNICATIONS-MANAGEMENT-CORP DATA Communications Management Corp., CA
185.15.14.0/23 #AS61212 TELEENA-AS Tata Communications (Netherlands) B.V., NL
102.214.13.0/24 #AS329168 ECL6-AS EXPERT COMMUNICATIONS LTD, SS
194.36.112.0/23 #AS49657 TNSI Transaction Network Services (UK) LTD, GB
194.36.114.0/24 #AS49657 TNSI Transaction Network Services (UK) LTD, GB
204.6.160.0/24 #AS49657 TNSI Transaction Network Services (UK) LTD, GB
204.6.162.0/24 #AS49657 TNSI Transaction Network Services (UK) LTD, GB
129.35.80.0/22 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
129.35.96.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
129.35.160.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
170.225.128.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
186.26.84.0/23 #AS270927 FUTURACONNECT-NETWORK FUTURACONNECT NETWORK LTDA, BR
186.26.87.0/24 #AS270927 FUTURACONNECT-NETWORK FUTURACONNECT NETWORK LTDA, BR
52.124.16.0/24 #AS36240 COMMUNICATIONS-UNLIMITED-INC Communications Unlimited Inc., US
147.185.213.0/24 #AS36240 COMMUNICATIONS-UNLIMITED-INC Communications Unlimited Inc., US
161.199.172.0/24 #AS36240 COMMUNICATIONS-UNLIMITED-INC Communications Unlimited Inc., US
199.36.200.0/22 #AS36645 STEADFAST-NETWORKS-GEN Genuity Networks LLC, US
208.65.172.0/22 #AS36645 STEADFAST-NETWORKS-GEN Genuity Networks LLC, US
208.82.132.0/22 #AS36645 STEADFAST-NETWORKS-GEN Genuity Networks LLC, US
23.141.96.0/24 #AS398032 CHEROKEE-COMMUNICATIONS Cherokee Communications LLC, US
209.151.127.0/24 #AS398032 CHEROKEE-COMMUNICATIONS Cherokee Communications LLC, US
103.82.208.0/22 #AS135780 AIRFIBER-AS AirFiber Networks Pvt Ltd, IN
103.122.15.0/24 #AS135780 AIRFIBER-AS AirFiber Networks Pvt Ltd, IN
103.141.167.0/24 #AS135780 AIRFIBER-AS AirFiber Networks Pvt Ltd, IN
103.176.166.0/23 #AS135780 AIRFIBER-AS AirFiber Networks Pvt Ltd, IN
38.117.73.0/24 #AS203177 PINNACA BCS Global Networks Limited, GB
91.244.117.0/24 #AS203177 PINNACA BCS Global Networks Limited, GB
185.135.208.0/22 #AS203177 PINNACA BCS Global Networks Limited, GB
67.159.192.0/24 #AS53925 CBWE-COMM-IMDCPHX1 CBWE Communications LLC, US
185.43.160.0/22 #AS202037 INGISP-AS ING Hubs B.V., NL
103.47.246.0/23 #AS63931 GNET-AU GNET Communications PTY LTD, AU
103.204.104.0/23 #AS63931 GNET-AU GNET Communications PTY LTD, AU
192.140.248.0/22 #AS63931 GNET-AU GNET Communications PTY LTD, AU
45.41.182.0/23 #AS33307 HOSPITALITY-WIRELESS Hospitality Integrated Services Inc, US
65.141.110.0/24 #AS33307 HOSPITALITY-WIRELESS Hospitality Integrated Services Inc, US
172.84.80.0/22 #AS33307 HOSPITALITY-WIRELESS Hospitality Integrated Services Inc, US
184.174.81.0/24 #AS33307 HOSPITALITY-WIRELESS Hospitality Integrated Services Inc, US
206.251.193.0/24 #AS33307 HOSPITALITY-WIRELESS Hospitality Integrated Services Inc, US
172.110.132.0/22 #AS399247 FASTLINK-01 Fastlink Communications LLC., US
204.225.126.0/23 #AS399247 FASTLINK-01 Fastlink Communications LLC., US
110.173.174.0/23 #AS24548 BAYCITY-AS-AP BayCity Communications, NZ
203.20.62.0/24 #AS18111 NETSPEED-AS-AP AAPT Limited, AU
203.30.98.0/23 #AS18111 NETSPEED-AS-AP AAPT Limited, AU
203.31.48.0/24 #AS18111 NETSPEED-AS-AP AAPT Limited, AU
203.33.171.0/24 #AS18111 NETSPEED-AS-AP AAPT Limited, AU
203.130.160.0/20 #AS18111 NETSPEED-AS-AP AAPT Limited, AU
23.139.140.0/24 #AS27172 3COM-NET-ROUTER-AS27172 3Com Net Router, US
157.66.146.0/23 #AS152499 SUNILBB-AS-IN INFINITYLINK COMMUNICATIONS PRIVATE LIMITED, IN
23.138.180.0/24 #AS46769 TELECAST-COMMUNICATIONS Telecast Communications, US
8.39.228.0/23 #AS399869 MTNBB Visionary Communications LLC, US
8.42.68.0/22 #AS399869 MTNBB Visionary Communications LLC, US
165.140.184.0/22 #AS399869 MTNBB Visionary Communications LLC, US
103.77.13.0/24 #AS135627 SNPL-AS-AP Silverlining Networks Pty Ltd, AU
91.210.154.0/24 #AS200137 AXNET AX Networks Ab, FI
185.84.30.0/23 #AS200137 AXNET AX Networks Ab, FI
192.121.243.0/24 #AS200137 AXNET AX Networks Ab, FI
202.12.0.0/24 #AS18021 UNINET-AS-AP Unisys New Zealand Ltd, NZ
202.86.96.0/20 #AS18021 UNINET-AS-AP Unisys New Zealand Ltd, NZ
198.105.14.0/23 #AS13978 WHBE-OLYMPIA Washington Health Benefit Exchange, US
194.61.32.0/23 #AS210166 YOUTEL-AS YouTel Communications Ltd., BG
23.152.64.0/24 #AS32998 MIMCOM Mimbres Communications LLC, US
102.210.40.0/22 #AS329387 SKYLINK Skylink Networks LTD, KE
205.153.48.0/22 #AS54355 MULTCO NETWORK SERVICES, US
205.173.216.0/21 #AS54355 MULTCO NETWORK SERVICES, US
31.177.70.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.72.0/23 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.75.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.93.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.95.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.111.135.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
103.174.206.0/23 #AS147315 ZTNL-AS-AP Zero Time Networks (Pvt.) Ltd, PK
204.182.232.0/21 #AS46536 VIASAT-CARLSBAD ViaSat Inc., US
103.152.218.0/24 #AS140879 CRESCENT-AS-AP Crescent Network Service, BD
185.208.40.0/22 #AS205746 COFIROUTE Cofiroute SA, FR
178.237.240.0/21 #AS197150 MCRBN-AS JSC Russian Broadcasting and Notification Networks, RU
