111.171.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
115.176.128.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
115.177.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
116.83.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
121.93.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
121.94.64.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
121.94.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
121.95.64.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
122.253.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
124.24.0.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
124.24.128.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
124.25.64.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.0.64.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.0.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.1.0.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.1.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.3.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
125.3.128.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
133.162.0.0/15 #AS2510 INFOWEB FUJITSU LIMITED, JP
163.59.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
164.69.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
164.70.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
164.71.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
175.179.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
175.179.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
175.184.0.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
192.51.43.0/24 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.208.32.0/19 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.216.192.0/20 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.216.208.0/21 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.219.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.233.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.237.114.0/24 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.248.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
202.250.232.0/24 #AS2510 INFOWEB FUJITSU LIMITED, JP
210.131.0.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
210.157.64.0/21 #AS2510 INFOWEB FUJITSU LIMITED, JP
210.157.72.0/22 #AS2510 INFOWEB FUJITSU LIMITED, JP
210.157.76.0/23 #AS2510 INFOWEB FUJITSU LIMITED, JP
211.125.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
211.128.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
211.133.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
218.217.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
218.229.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
219.97.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
219.97.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
219.116.0.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
220.145.192.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
220.209.0.0/16 #AS2510 INFOWEB FUJITSU LIMITED, JP
222.158.0.0/18 #AS2510 INFOWEB FUJITSU LIMITED, JP
222.158.128.0/17 #AS2510 INFOWEB FUJITSU LIMITED, JP
68.67.96.0/20 #AS2726 AS-WEBFORMIX - Webformix, US
130.51.208.0/22 #AS2726 AS-WEBFORMIX - Webformix, US
192.175.48.1/32 #AS2899 SPRO-NET - ARK Data Centers LLC, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
5.44.252.0/24 #AS3236 SERVER server.ua, UA
91.232.28.0/22 #AS3236 SERVER server.ua, UA
146.19.198.0/24 #AS3236 SERVER server.ua, UA
185.126.112.0/22 #AS3236 SERVER server.ua, UA
193.169.240.0/23 #AS3236 SERVER server.ua, UA
194.54.80.0/22 #AS3236 SERVER server.ua, UA
195.189.226.0/23 #AS3236 SERVER server.ua, UA
129.66.0.0/16 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
157.149.0.0/16 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.31.107.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.211.32.0/23 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.211.39.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.211.41.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.211.42.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
192.211.44.0/23 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
198.49.31.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
198.200.158.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
198.204.100.0/22 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.20.16.0/20 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.88.16.0/20 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.248.173.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.248.174.0/23 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.248.176.0/23 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
199.248.178.0/24 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
204.29.64.0/18 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
207.157.0.0/17 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
216.109.0.0/18 #AS3464 ASC-NET - Alabama Supercomputer Authority, US
68.170.0.0/23 #AS3503 WEBNET - WebNet LLC, US
80.81.39.0/24 #AS3503 WEBNET - WebNet LLC, US
139.177.148.0/24 #AS3503 WEBNET - WebNet LLC, US
139.177.155.0/24 #AS3503 WEBNET - WebNet LLC, US
155.103.8.0/22 #AS3503 WEBNET - WebNet LLC, US
162.33.160.0/23 #AS3503 WEBNET - WebNet LLC, US
162.244.210.0/24 #AS3503 WEBNET - WebNet LLC, US
167.94.253.0/24 #AS3503 WEBNET - WebNet LLC, US
192.225.208.0/22 #AS3503 WEBNET - WebNet LLC, US
200.229.16.0/24 #AS3503 WEBNET - WebNet LLC, US
216.24.216.0/24 #AS3503 WEBNET - WebNet LLC, US
216.24.220.0/24 #AS3503 WEBNET - WebNet LLC, US
217.20.240.0/24 #AS3503 WEBNET - WebNet LLC, US
198.180.140.0/24 #AS3736 AMERIWEB - American Webmasters Inc., US
199.5.156.0/23 #AS3736 AMERIWEB - American Webmasters Inc., US
204.138.71.0/24 #AS3736 AMERIWEB - American Webmasters Inc., US
192.175.48.1/32 #AS3753 NSCEE - National Supercomputing Center for Energy and the Environment, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
23.226.224.0/20 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.161.16.0/20 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.191.96.0/20 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.191.113.0/24 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.191.114.0/23 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.191.116.0/22 #AS3842 RAMNODE - InMotion Hosting, Inc., US
107.191.120.0/21 #AS3842 RAMNODE - InMotion Hosting, Inc., US
167.88.112.0/21 #AS3842 RAMNODE - InMotion Hosting, Inc., US
167.88.120.0/22 #AS3842 RAMNODE - InMotion Hosting, Inc., US
167.88.124.0/23 #AS3842 RAMNODE - InMotion Hosting, Inc., US
168.235.64.0/19 #AS3842 RAMNODE - InMotion Hosting, Inc., US
168.235.96.0/20 #AS3842 RAMNODE - InMotion Hosting, Inc., US
168.235.112.0/24 #AS3842 RAMNODE - InMotion Hosting, Inc., US
192.30.32.0/22 #AS3842 RAMNODE - InMotion Hosting, Inc., US
192.73.232.0/21 #AS3842 RAMNODE - InMotion Hosting, Inc., US
192.184.80.0/20 #AS3842 RAMNODE - InMotion Hosting, Inc., US
192.249.56.0/21 #AS3842 RAMNODE - InMotion Hosting, Inc., US
