STATISTICS OF INTERNET HONEYPOT - LAST 14 DAYS

UNIQUE SOURCE IP ACTIVITY

Total requests:          612777
Unique source IPs:       37494
Average requests per IP: 16.34


TOP 150 PORTS REQUESTED - TCP, UDP, ICMP 0

PORT  REQUEST %   REQUESTS   UNIQUE IP#  IP + ASN REPORT LINK
This honeypot has grown through direct data collection only via honeypots we operate.
IPs found in other blocklists showing below is expected due to bad actor trends to search for multiple internet hosts.
We recommend you combine blocklists to match your own security requirements.

Bad actor IPs looking at webserver appliance has logged IP information as webserver honeypot was triggered for requests of unknown files from the webhost. Examples aa.php filemanager.php etc.
Bad actor IPs looking at firewall appliance has logged IP information when firewall honeypot is accessed including port scans regardless if tcp or udp items.

External lists have their own overlap quantity but the lists can be used for different security requirements for any
administrative purposes. We use these external lists as measurement tools to evaluate the performance of the honeypot dataset.

Note: Any lists with CIDR will be flattened and private networks removed from the external lists so the qty of IP found are internet IPs and not millions of privately addressed IPs.
Many of these lists are sandwiched with the IP ingredients from other lists to try and simplify blocklist use. Examples: Firehol, Bitwire, Romainmarcoux lists.
The re-use of IP information across various blocklists is not providing good protection, the amount of energy spend on reporting and tracking for existing lists
appears to exceeds the energy used to collect new bad actor IP information based on honeypot dataset results.

HONEYPOT COUNT LAST 90 DAYS UNIQUE IPs: 114312
Honeypot has 5659 IPs that overlap in Firehol 1 blocklist 39627059 IPs. - https://iplists.firehol.org/?ipset=firehol_level1
Honeypot has 4484 IPs that overlap in Firehol 2 blocklist 34323 IPs. - https://iplists.firehol.org/?ipset=firehol_level2
Honeypot has 11607 IPs that overlap in Firehol 3 blocklist 35951 IPs. - https://iplists.firehol.org/?ipset=firehol_level3
Honeypot has 15602 IPs that overlap in Firehol 4 blocklist 9276930 IPs. - https://iplists.firehol.org/?ipset=firehol_level4
Honeypot has 6629 IPs that overlap in CinesArmy Badguys blocklist 15000 IPs. - https://cinsarmy.com/collective-intelligence-network-security
Honeypot has 1081 IPs that overlap in Blocklist.de all blocklist 25819 IPs. - https://www.blocklist.de/en/index.html
Honeypot has 27 IPs that overlap in emergingthreats.net blocklist 431 IPs.
Honeypot has 66251 IPs that overlap in Bitwire inbound blocklist with 23935397 IPs. - https://bitwire.it/blocklist-stats
Honeypot has 15508 IPs that overlap in Bitwire outbound blocklist with 199040 IPs. - https://bitwire.it/blocklist-stats
Honeypot has 1 IPs that overlap in Alienvault Reputation blocklist 609 IPs. - http://reputation.alienvault.com/reputation.data
Honeypot has 0 IPs that overlap in Botvrij blocklist 4 IPs. - http://www.botvrij.eu/data/ioclist.ip-dst.raw
Honeypot has 290 IPs that overlap in Threatfox blocklist 18709 IPs. - https://raw.githubusercontent.com/elliotwutingfeng/ThreatFox-IOC-IPs/refs/heads/main/ips.txt
Honeypot has 1903 IPs that overlap in Dshield blocklist 5080 IPs. - https://www.dshield.org/block.txt
Honeypot has 3877 IPs that overlap in Spamhaus Drop blocklist 14859226 IPs. - https://www.spamhaus.org/drop/drop.txt
Honeypot has 0 IPs that overlap in AbuseIPDB 7Day blocklist 78136 IPs.
Honeypot has 0 IPs that overlap in AbuseIPDB 30Day blocklist 151776 IPs.
Honeypot has 0 IPs that overlap in AbuseIPDB 90Day blocklist 250025 IPs.
Honeypot has 50 IPs that overlap in IdleAdmin Tor Exit blocklist 1344 IPs.
Honeypot has 7577 IPs that overlap in Opendbl ipsum blocklist 16601 IPs.
Honeypot has 3 IPs that overlap in Greynoise blocklist 13 IPs.
Honeypot has 48457 IPs that overlap in Romainmarcoux 300k aa blocklist 300000 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 7712 IPs that overlap in Romainmarcoux 300k ab blocklist 300000 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 7631 IPs that overlap in Romainmarcoux 300k ac blocklist 300000 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 859 IPs that overlap in Romainmarcoux 300k ad blocklist 59111 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 6574 IPs that overlap in Romainmarcoux 40k outbound blocklist 40000 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 12952 IPs that overlap in Romainmarcoux aa outbound blocklist 131072 IPs. - https://github.com/romainmarcoux/malicious-ip
Honeypot has 1842 IPs that overlap in Romainmarcoux ab outbound blocklist 52495 IPs. - https://github.com/romainmarcoux/malicious-ip


Created on: 20260916122056
