3.136.85.233 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.136.234.185 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.137.142.54 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.137.156.179 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.137.160.183 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.137.172.117 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.101.34 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.139.246 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.140.121 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.140.206 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.142.65 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.138.188.90 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.139.68.7 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.139.74.121 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.139.96.140 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.139.99.66 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.139.102.240 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.140.185.87 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.141.97.218 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.141.164.131 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.142.45.152 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.142.47.229 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
