# Last 14 days where more than 2 ports overlap per host.
# Common ports included in list if not already part of top 150 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP150 FOUND
# 0,21,22,23,25,53,68,80,81,82,83,84,85,88,90,110,111,123,135,137,139,143,161,162,389,427,443,444,445,465,500,502,541,554,587,623,636,990,993,995,1001,1024,1080,1194,1337,1433,1434,1521,1723,1900,2000,2082,2083,2086,2087,2096,2222,2323,2375,3000,3001,3128,3306,3333,3389,3478,3702,4000,4433,4443,4444,4500,5000,5001,5021,5060,5061,5122,5353,5432,5555,5678,5683,5900,5901,5985,6000,6001,6021,6080,6379,6443,6502,6590,6881,7000,7001,7443,7547,7777,8000,8001,8006,8008,8020,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,8181,8443,8728,8800,8880,8888,8900,9000,9001,9002,9080,9090,9200,9443,9999,10000,10001,10443,11211,18789,20000,20256,22222,25565,27015,27017,44423,44675,44818,44912,45361,45654,54321,54322,54443,60000,60001
#
#
115.231.78.10    #AS58461   128 ports   10000,10001,102,1024,10443,1080,110,111,11211,1194,123,143,1433,1434,1521,161,162,1723,1900,2000,20000,2082,2083,2086,2087,2095,2096,21,22,2222,23,2375,25,25565,27015,27017,3000,3001,3128,3306,3389,3702,389,4000,427,443,4433,444,4443,4444,44818,4500,4567,465,47808,500,5000,50000,5001,502,5060,5061,53,5353,5432,554,5555,5678,5683,587,5984,5985,5986,6000,60000,6001,61616,623,636,6379,6443,6881,7000,7001,7443,7547,7777,80,8000,8001,8006,8008,8020,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,88,8800,888,8880,8888,89,9000,9001,9002,9080,9200,9443,990,993,995,9999 CT-HangZhou-IDC - No.288,Fu-chun Road, CN
45.205.1.240     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.241     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.242     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.243     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.244     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.246     #AS215925   53 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
100.50.17.159    #AS14618    52 ports   10001,1024,123,1337,143,1521,162,18789,2000,2082,22,23,27017,3000,3001,3333,443,4443,445,4500,5000,50000,5060,53,5353,554,587,60000,6379,7000,8001,8008,8080,8082,8084,8085,8089,8090,81,83,85,8728,888,8880,89,90,9000,9002,9080,9090,9200,9443 AMAZON-AES - Amazon.com, Inc., US
151.243.11.236   #AS209630   52 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8880,8888,89,90,9000,9080,91,9443,9999 KREDIT-AS - LLC VASH KREDIT BANK, UA
45.194.67.27     #AS215925   52 ports   10000,1024,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.247     #AS215925   52 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
79.124.59.10     #AS50360    52 ports   10000,10001,10443,5000,5060,5061,5122,5353,5432,5555,5678,5683,5900,5901,5985,6000,6443,6502,6590,6881,7000,7001,7443,7547,7777,8000,8001,8006,8020,8080,8081,8082,8083,8084,8086,8087,8088,8089,8090,8181,8443,8728,8880,8888,8900,9000,9001,9002,9080,9090,9200,9443 TAMATIYA-AS - Tamatiya EOOD, BG
172.105.177.106  #AS63949    51 ports   1080,111,11211,1194,137,17000,20000,20256,2087,2095,2222,25,27017,389,443,4433,444,4443,4500,4567,47808,5060,53,5432,5555,5900,6000,6036,6080,6379,6590,7777,8001,8020,8080,8084,8085,8086,8087,8089,82,84,8443,87,888,9001,9200,9443,993,995,9999 AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
204.76.203.7     #AS51396    51 ports   1024,1080,111,1194,123,1337,137,1433,1521,161,1723,21,22,23,25,3128,443,444,445,465,53,554,587,80,8000,8001,8008,8080,8081,8082,8083,8084,8085,8088,8089,8090,81,82,83,84,8443,85,88,8880,8888,90,9000,9001,9090,993,995 PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
35.169.206.177   #AS14618    51 ports   10001,1024,10443,1194,1337,143,162,18789,1900,2000,2087,21,3000,3333,3702,389,4433,445,4500,465,500,5000,50000,5001,5060,541,5678,587,7547,8000,8001,8080,8082,8083,8085,8086,8087,8089,81,82,83,84,8800,888,8880,8888,90,9000,9080,91,9200 AMAZON-AES - Amazon.com, Inc., US
45.194.67.29     #AS215925   51 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,91,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
52.20.198.190    #AS14618    51 ports   1024,10443,1194,123,1433,1521,1723,18789,1900,2082,2087,21,22,23,25,3001,3702,389,4000,443,4433,4443,4444,465,500,5001,502,5060,5353,5432,554,5901,7547,80,8000,8001,8008,8082,8085,8087,8088,8089,81,85,88,8800,8880,9000,91,9443,993 AMAZON-AES - Amazon.com, Inc., US
151.243.11.234   #AS209630   50 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5001,5555,60000,60001,7001,7547,7777,80,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8089,8090,81,8181,82,83,84,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 KREDIT-AS - LLC VASH KREDIT BANK, UA
100.28.153.226   #AS14618    49 ports   1024,10443,123,143,1521,162,22,25,3000,3306,3333,3389,4443,4500,465,5000,50000,502,5060,53,541,587,5901,6379,7777,8000,8001,8080,8083,8085,8086,8087,8088,8089,8090,81,83,84,8443,88,8880,89,90,9000,9001,9002,9090,91,9443 AMAZON-AES - Amazon.com, Inc., US
45.194.67.30     #AS215925   49 ports   10000,1024,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7777,80,8000,8001,8080,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
151.243.11.232   #AS209630   48 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8082,8083,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,91,9443,9999 KREDIT-AS - LLC VASH KREDIT BANK, UA
45.194.67.26     #AS215925   48 ports   10000,1024,10443,20000,2222,3000,3333,3389,443,4444,5000,5001,5555,60000,60001,7001,7547,7777,80,8000,8080,8081,8082,8084,8085,8086,8087,8088,8089,8090,81,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.245     #AS215925   47 ports   10000,1024,10443,20000,2222,3000,3333,3389,4443,4444,5000,5001,5555,60000,60001,7001,7547,7777,8000,8001,8080,8081,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,82,83,84,85,87,8800,8880,8888,89,90,9000,9080,91,9443,9999 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
151.243.11.235   #AS209630   46 ports   10000,1024,10443,20000,2222,3000,3389,443,4443,4444,5000,5001,60000,7547,7777,8001,8080,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,90,9000,9080,91,9443,9999 KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.230   #AS209630   44 ports   10000,1024,20000,2222,3000,3389,443,4443,4444,5000,5001,5555,7001,7547,80,8000,8001,8080,8081,8083,8084,8085,8087,8088,8089,8090,81,8181,82,83,84,8443,85,86,87,88,8800,8880,8888,89,9000,9080,91,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
13.211.217.77    #AS16509    42 ports   10000,11211,11434,1433,21,22,2222,23,27017,3000,3306,3389,443,4443,445,500,5000,5432,5985,5986,6379,6443,7000,7001,7443,80,8000,8001,8008,8080,8081,8082,8088,8443,8800,8880,8888,9000,9090,9200,9443,990 AMAZON-02 - Amazon.com, Inc., US
151.243.11.233   #AS209630   42 ports   10443,2222,3000,3333,3389,443,4443,5000,5001,5555,60000,60001,7001,7777,80,8001,8080,8082,8083,8084,8085,8086,8087,8088,8089,8090,81,8181,82,83,84,8443,85,87,88,8800,8880,8888,90,9000,9080,9999 KREDIT-AS - LLC VASH KREDIT BANK, UA
195.182.16.52    #AS206264   42 ports   10000,2082,2083,2086,2087,2096,3000,3001,3128,4000,443,4443,4444,4567,5000,5001,5555,5984,5985,5986,6080,6443,7001,7443,7547,7777,80,8000,8006,8008,8080,8081,8082,8086,8181,8443,8800,8888,9000,9090,9200,9443 AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
