105.158.0.0/16 #AS36903 MT-MPLS, MA
105.159.0.0/17 #AS36903 MT-MPLS, MA
105.159.128.0/18 #AS36903 MT-MPLS, MA
105.159.192.0/19 #AS36903 MT-MPLS, MA
105.159.224.0/20 #AS36903 MT-MPLS, MA
105.159.240.0/21 #AS36903 MT-MPLS, MA
105.188.0.0/14 #AS36925 ASMedi, MA
105.64.0.0/12 #AS36884 MAROCCONNECT, MA
105.73.96.0/22 #AS30983 MARWAN-AS, MA
149.18.76.0/24 #AS328867 CBS-AS, MA
149.18.99.0/24 #AS328867 CBS-AS, MA
149.57.44.0/22 #AS328867 CBS-AS, MA
149.57.9.0/24 #AS328867 CBS-AS, MA
154.144.0.0/13 #AS6713 IAM-AS, MA
154.6.144.0/24 #AS328867 CBS-AS, MA
154.6.168.0/22 #AS328867 CBS-AS, MA
154.70.200.0/21 #AS37738 HOSTOWEB, MA
155.91.75.0/24 #AS6713 IAM-AS, MA
160.105.0.0/16 #AS6713 IAM-AS, MA
160.160.0.0/12 #AS6713 IAM-AS, MA
160.160.128.0/17 #AS36903 MT-MPLS, MA
160.162.128.0/19 #AS36903 MT-MPLS, MA
160.162.160.0/20 #AS36903 MT-MPLS, MA
160.162.176.0/21 #AS36903 MT-MPLS, MA
160.164.128.0/17 #AS36903 MT-MPLS, MA
160.176.0.0/14 #AS36903 MT-MPLS, MA
160.77.0.0/16 #AS6713 IAM-AS, MA
160.89.0.0/16 #AS6713 IAM-AS, MA
160.90.0.0/16 #AS6713 IAM-AS, MA
169.255.176.0/22 #AS328055 N-PLUS-ONE-AS, MA
185.243.7.0/24 #AS328867 CBS-AS, MA
185.245.0.0/24 #AS328867 CBS-AS, MA
192.12.117.0/24 #AS328268 INPT-AS, MA
192.175.48.1/32 #AS329213 CDN-Network, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329337 Cas-ix-mgmnt, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329463 INWI-ASN-Multihomed, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329691 AFRIQUIA-SMDC, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37787 CAS-IX, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37801 Morocco-IXP, MA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.188.7.0/24 #AS6713 IAM-AS, MA
193.194.50.0/24 #AS6713 IAM-AS, MA
194.204.192.0/18 #AS6713 IAM-AS, MA
194.204.217.0/24 #AS36956 MT-MPLS, MA
194.62.214.0/23 #AS328867 CBS-AS, MA
196.11.103.0/24 #AS328272 CRNA1-AS, MA
196.112.0.0/12 #AS36925 ASMedi, MA
196.12.192.0/18 #AS36884 MAROCCONNECT, MA
196.12.203.0/24 #AS30983 MARWAN-AS, MA
196.13.108.0/24 #AS327917 DGSSI, MA
196.200.128.0/18 #AS30983 MARWAN-AS, MA
196.206.0.0/16 #AS6713 IAM-AS, MA
196.206.0.0/17 #AS36903 MT-MPLS, MA
196.206.128.0/18 #AS36903 MT-MPLS, MA
196.206.192.0/19 #AS36903 MT-MPLS, MA
196.217.0.0/16 #AS6713 IAM-AS, MA
196.217.0.0/17 #AS36903 MT-MPLS, MA
196.217.128.0/18 #AS36903 MT-MPLS, MA
196.217.192.0/19 #AS36903 MT-MPLS, MA
196.217.224.0/20 #AS36903 MT-MPLS, MA
196.223.176.0/20 #AS36941 MTDS-AS, MA
196.2.80.0/20 #AS36941 MTDS-AS, MA
196.32.216.0/21 #AS327989 GeniousMorocco, MA
196.49.104.0/24 #AS329442 Morocco-IXP, MA
196.61.232.0/21 #AS328066 MEDASYS-AS, MA
196.64.0.0/15 #AS36903 MT-MPLS, MA
196.66.0.0/15 #AS6713 IAM-AS, MA
196.68.0.0/15 #AS6713 IAM-AS, MA
196.70.0.0/17 #AS36903 MT-MPLS, MA
196.70.128.0/18 #AS36903 MT-MPLS, MA
196.70.192.0/19 #AS36903 MT-MPLS, MA
196.70.224.0/20 #AS36903 MT-MPLS, MA
196.70.240.0/21 #AS36903 MT-MPLS, MA
196.70.248.0/21 #AS6713 IAM-AS, MA
196.71.0.0/16 #AS6713 IAM-AS, MA
196.72.0.0/15 #AS6713 IAM-AS, MA
196.74.0.0/15 #AS36903 MT-MPLS, MA
196.76.0.0/16 #AS6713 IAM-AS, MA
196.77.0.0/16 #AS36903 MT-MPLS, MA
196.78.0.0/15 #AS6713 IAM-AS, MA
196.80.0.0/13 #AS6713 IAM-AS, MA
196.81.0.0/18 #AS36903 MT-MPLS, MA
196.81.128.0/17 #AS36903 MT-MPLS, MA
196.81.64.0/19 #AS36903 MT-MPLS, MA
196.81.96.0/20 #AS36903 MT-MPLS, MA
196.83.0.0/17 #AS36903 MT-MPLS, MA
196.84.0.0/17 #AS36903 MT-MPLS, MA
196.88.0.0/16 #AS6713 IAM-AS, MA
196.89.0.0/16 #AS36903 MT-MPLS, MA
196.90.0.0/15 #AS6713 IAM-AS, MA
196.92.0.0/21 #AS6713 IAM-AS, MA
196.92.128.0/17 #AS36903 MT-MPLS, MA
196.92.16.0/20 #AS36903 MT-MPLS, MA
196.92.32.0/19 #AS36903 MT-MPLS, MA
196.92.64.0/18 #AS36903 MT-MPLS, MA
196.92.8.0/21 #AS36903 MT-MPLS, MA
196.93.0.0/16 #AS6713 IAM-AS, MA
196.94.0.0/15 #AS6713 IAM-AS, MA
197.128.0.0/14 #AS6713 IAM-AS, MA
197.129.144.0/20 #AS36903 MT-MPLS, MA
197.144.0.0/14 #AS36884 MAROCCONNECT, MA
197.153.0.0/16 #AS36925 ASMedi, MA
197.230.0.0/16 #AS36925 ASMedi, MA
197.247.0.0/16 #AS36925 ASMedi, MA
197.253.128.0/17 #AS36925 ASMedi, MA
204.167.189.0/24 #AS328867 CBS-AS, MA
205.227.174.0/24 #AS328867 CBS-AS, MA
205.243.61.0/24 #AS328867 CBS-AS, MA
206.159.100.0/24 #AS328867 CBS-AS, MA
207.120.120.0/24 #AS328867 CBS-AS, MA
208.50.200.0/24 #AS328867 CBS-AS, MA
212.217.0.0/17 #AS6713 IAM-AS, MA
216.22.79.0/24 #AS328867 CBS-AS, MA
41.137.0.0/16 #AS36884 MAROCCONNECT, MA
41.140.0.0/14 #AS6713 IAM-AS, MA
41.140.0.0/17 #AS36903 MT-MPLS, MA
41.140.128.0/18 #AS36903 MT-MPLS, MA
41.140.192.0/19 #AS36903 MT-MPLS, MA
41.140.224.0/20 #AS36903 MT-MPLS, MA
41.141.0.0/17 #AS36903 MT-MPLS, MA
41.141.128.0/18 #AS36903 MT-MPLS, MA
41.141.192.0/19 #AS36903 MT-MPLS, MA
41.141.224.0/20 #AS36903 MT-MPLS, MA
41.141.240.0/21 #AS36903 MT-MPLS, MA
41.142.0.0/17 #AS36903 MT-MPLS, MA
41.142.128.0/18 #AS36903 MT-MPLS, MA
41.142.192.0/19 #AS36903 MT-MPLS, MA
41.142.224.0/20 #AS36903 MT-MPLS, MA
41.143.0.0/17 #AS36903 MT-MPLS, MA
41.143.128.0/18 #AS36903 MT-MPLS, MA
41.143.192.0/19 #AS36903 MT-MPLS, MA
41.143.224.0/20 #AS36903 MT-MPLS, MA
41.143.240.0/21 #AS36903 MT-MPLS, MA
41.205.192.0/19 #AS36925 ASMedi, MA
41.214.128.0/17 #AS36925 ASMedi, MA
41.216.224.0/22 #AS36941 MTDS-AS, MA
41.248.0.0/14 #AS6713 IAM-AS, MA
41.248.0.0/17 #AS36903 MT-MPLS, MA
41.248.128.0/18 #AS36903 MT-MPLS, MA
41.248.192.0/19 #AS36903 MT-MPLS, MA
41.248.224.0/20 #AS36903 MT-MPLS, MA
41.249.0.0/17 #AS36903 MT-MPLS, MA
41.249.128.0/18 #AS36903 MT-MPLS, MA
41.249.192.0/19 #AS36903 MT-MPLS, MA
41.249.224.0/20 #AS36903 MT-MPLS, MA
41.250.0.0/17 #AS36903 MT-MPLS, MA
41.250.128.0/18 #AS36903 MT-MPLS, MA
41.250.192.0/19 #AS36903 MT-MPLS, MA
41.250.224.0/20 #AS36903 MT-MPLS, MA
41.250.240.0/21 #AS36903 MT-MPLS, MA
41.251.0.0/17 #AS36903 MT-MPLS, MA
41.251.128.0/18 #AS36903 MT-MPLS, MA
41.251.192.0/19 #AS36903 MT-MPLS, MA
41.251.224.0/20 #AS36903 MT-MPLS, MA
41.251.240.0/21 #AS36903 MT-MPLS, MA
41.87.128.0/19 #AS36925 ASMedi, MA
41.92.0.0/17 #AS36925 ASMedi, MA
45.158.254.0/24 #AS328867 CBS-AS, MA
45.216.0.0/14 #AS36925 ASMedi, MA
62.251.128.0/17 #AS6713 IAM-AS, MA
63.172.226.0/24 #AS328867 CBS-AS, MA
81.192.0.0/16 #AS6713 IAM-AS, MA
82.115.1.0/24 #AS328867 CBS-AS, MA
82.115.12.0/24 #AS328867 CBS-AS, MA
84.75.24.0/24 #AS201129 LINCERIS, MA
85.92.112.0/24 #AS328867 CBS-AS, MA
