102.164.248.0/22 #AS37529 GITGE, GQ
102.164.252.0/22 #AS328311 Conexxia-AS, GQ
102.213.52.0/23 #AS37529 GITGE, GQ
102.223.24.0/22 #AS37337 MUNI-EG, GQ
105.235.224.0/20 #AS37487 GUINEANET, GQ
164.160.84.0/22 #AS329219 Fenix-EG, GQ
169.239.112.0/22 #AS37529 GITGE, GQ
196.251.240.0/22 #AS328207 OFFICE-TECH, GQ
197.214.64.0/20 #AS37529 GITGE, GQ
41.79.48.0/22 #AS37337 MUNI-EG, GQ
