139.181.35.0/24 #AS34778 SIEMENS-INDUSTRY-SOFTWARE-EGYPT Cairo EG - NCJ FE, IE
139.181.38.0/24 #AS34778 SIEMENS-INDUSTRY-SOFTWARE-EGYPT Cairo EG - NCJ FE, IE
139.181.44.0/22 #AS43484 SIEMENS-INDUSTRY-SOFTWARE-LIMITED-EUROPE Shannon IE - SNN P, IE
139.28.173.0/24 #AS211439 LOCOTORPI, IE
139.28.175.0/24 #AS211439 LOCOTORPI, IE
140.150.153.0/24 #AS211439 LOCOTORPI, IE
140.19.65.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
140.203.0.0/16 #AS1213 HEANET, IE
140.233.185.0/24 #AS211439 LOCOTORPI, IE
141.105.118.0/24 #AS62168 BROIGHTER, IE
141.11.253.0/24 #AS2110 AS-BTIRE BT Ireland was previously known as Esat Net, EUnet Ireland & IEUnet., IE
141.98.58.0/24 #AS211439 LOCOTORPI, IE
143.127.145.0/24 #AS35289 SYMANTEC-CORP Symantec Corp AS 35289, IE
143.127.146.0/23 #AS35289 SYMANTEC-CORP Symantec Corp AS 35289, IE
143.20.212.0/24 #AS211439 LOCOTORPI, IE
143.239.0.0/16 #AS1213 HEANET, IE
144.2.240.0/21 #AS56410 HOST-IRELAND-AS, IE
146.0.48.0/21 #AS51677 HETG-AS, IE
146.214.64.0/23 #AS42213 MPIL-AS-1, IE
146.255.116.0/22 #AS200562 WELLTEL-IE Welltel Ireland Limited, IE
146.71.94.0/23 #AS60924 ORIXCOM, IE
147.252.0.0/16 #AS1213 HEANET, IE
148.222.248.0/22 #AS211535 ASILKARI, IE
148.252.8.0/21 #AS29644 AIRSPEED-AS, IE
149.153.0.0/16 #AS1213 HEANET, IE
149.157.0.0/16 #AS1213 HEANET, IE
149.24.120.0/24 #AS31122 DIGIWEB-AS, IE
149.5.32.0/24 #AS206723 CARNSOREBROADBAND, IE
149.5.32.0/24 #AS60110 MODELTELECOM, IE
149.5.36.0/22 #AS206723 CARNSOREBROADBAND, IE
149.5.36.0/22 #AS60110 MODELTELECOM, IE
149.64.10.0/24 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
149.64.184.0/22 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
150.148.192.0/22 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
150.241.231.0/24 #AS211439 LOCOTORPI, IE
151.242.138.0/24 #AS211439 LOCOTORPI, IE
151.244.77.0/24 #AS211439 LOCOTORPI, IE
151.244.84.0/24 #AS211439 LOCOTORPI, IE
151.245.79.0/24 #AS211439 LOCOTORPI, IE
151.245.84.0/24 #AS211439 LOCOTORPI, IE
15.200.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
15.205.0.0/16 #AS8987 AWS-GOVCLOUD AWS-GOVCLOUD, IE
152.65.210.0/24 #AS43515 YOUTUBE YOUTUBE, IE
