195.150.0.0/17 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
195.150.128.0/18 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
46.239.128.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
82.146.224.0/19 #AS8326 PL-BYDMAN-EDU Educational Users, PL
89.191.128.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
212.122.192.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
212.122.208.0/21 #AS8326 PL-BYDMAN-EDU Educational Users, PL
195.216.96.0/19 #AS8364 POZMAN-COM POZMAN-COM, PL
212.126.0.0/19 #AS8364 POZMAN-COM POZMAN-COM, PL
5.172.224.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
31.0.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
31.6.246.0/24 #AS8374 PLUSNET Plus network operator in Poland, PL
37.98.208.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
37.109.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
37.152.16.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
37.247.128.0/17 #AS8374 PLUSNET Plus network operator in Poland, PL
37.248.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
46.76.0.0/15 #AS8374 PLUSNET Plus network operator in Poland, PL
78.30.64.0/18 #AS8374 PLUSNET Plus network operator in Poland, PL
87.251.224.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
92.60.128.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
185.4.212.0/22 #AS8374 PLUSNET Plus network operator in Poland, PL
188.125.32.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
193.41.112.0/23 #AS8374 PLUSNET Plus network operator in Poland, PL
212.2.96.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
91.213.88.0/24 #AS8380 TU-EUROPA-PL-AS1, PL
193.93.156.0/22 #AS8458 BLUENET-AS, PL
