151.95.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
176.206.0.0/15 #AS1267 ASN-WINDTRE IUNET, IT
185.27.74.0/24 #AS1267 ASN-WINDTRE IUNET, IT
185.54.32.0/22 #AS1267 ASN-WINDTRE IUNET, IT
185.145.101.0/24 #AS1267 ASN-WINDTRE IUNET, IT
185.145.103.0/24 #AS1267 ASN-WINDTRE IUNET, IT
185.215.172.0/22 #AS1267 ASN-WINDTRE IUNET, IT
185.215.240.0/22 #AS1267 ASN-WINDTRE IUNET, IT
192.5.97.0/24 #AS1267 ASN-WINDTRE IUNET, IT
192.92.126.0/24 #AS1267 ASN-WINDTRE IUNET, IT
192.94.212.0/24 #AS1267 ASN-WINDTRE IUNET, IT
192.104.23.0/24 #AS1267 ASN-WINDTRE IUNET, IT
192.106.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
193.70.128.0/17 #AS1267 ASN-WINDTRE IUNET, IT
193.76.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
193.109.90.0/24 #AS1267 ASN-WINDTRE IUNET, IT
194.20.24.0/24 #AS1267 ASN-WINDTRE IUNET, IT
195.45.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
195.210.64.0/19 #AS1267 ASN-WINDTRE IUNET, IT
212.52.64.0/18 #AS1267 ASN-WINDTRE IUNET, IT
212.141.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
212.245.0.0/16 #AS1267 ASN-WINDTRE IUNET, IT
217.20.0.0/20 #AS1267 ASN-WINDTRE IUNET, IT
217.171.64.0/20 #AS1267 ASN-WINDTRE IUNET, IT
192.175.48.1/32 #AS1269 IUNET2-AS, IT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2038 HEPNET, IT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2039 INFN-AS2 v.le Ercolani 8, IT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2040 INFN-AS3 v.le Ercolani 8, IT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
95.140.128.0/21 #AS2593 ASN-VSIX Galleria Spagna, 28 - 35127 Padova, IT
185.213.112.0/23 #AS2593 ASN-VSIX Galleria Spagna, 28 - 35127 Padova, IT
84.240.128.0/18 #AS2594 ASN-CSI, IT
158.102.0.0/16 #AS2594 ASN-CSI, IT
185.244.184.0/22 #AS2594 ASN-CSI, IT
192.175.48.1/32 #AS2596 TOP-IX_PROJECTS, IT - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.12.192.0/23 #AS2597 CCTLD-IT Via Moruzzi,1, IT
192.12.194.0/24 #AS2597 CCTLD-IT Via Moruzzi,1, IT
192.65.131.0/24 #AS2598 CNR, IT
5.134.120.0/21 #AS3242 ASN-ITNET, IT
91.207.150.0/23 #AS3242 ASN-ITNET, IT
151.1.0.0/18 #AS3242 ASN-ITNET, IT
151.1.66.0/23 #AS3242 ASN-ITNET, IT
151.1.68.0/22 #AS3242 ASN-ITNET, IT
151.1.72.0/24 #AS3242 ASN-ITNET, IT
151.1.74.0/23 #AS3242 ASN-ITNET, IT
151.1.76.0/22 #AS3242 ASN-ITNET, IT
151.1.80.0/20 #AS3242 ASN-ITNET, IT
151.1.96.0/22 #AS3242 ASN-ITNET, IT
151.1.104.0/21 #AS3242 ASN-ITNET, IT
151.1.112.0/20 #AS3242 ASN-ITNET, IT
151.1.128.0/17 #AS3242 ASN-ITNET, IT
151.2.0.0/20 #AS3242 ASN-ITNET, IT
151.2.32.0/19 #AS3242 ASN-ITNET, IT
151.2.96.0/20 #AS3242 ASN-ITNET, IT
185.56.168.0/22 #AS3242 ASN-ITNET, IT
185.153.108.0/22 #AS3242 ASN-ITNET, IT
185.241.92.0/22 #AS3242 ASN-ITNET, IT
193.43.132.0/23 #AS3242 ASN-ITNET, IT
212.115.96.0/22 #AS3242 ASN-ITNET, IT
217.73.216.0/22 #AS3242 ASN-ITNET, IT
217.73.220.0/24 #AS3242 ASN-ITNET, IT
2.112.0.0/13 #AS3269 ASN-IBSNAZ, IT
5.11.112.0/20 #AS3269 ASN-IBSNAZ, IT
5.96.0.0/14 #AS3269 ASN-IBSNAZ, IT
5.252.84.0/23 #AS3269 ASN-IBSNAZ, IT
31.194.0.0/15 #AS3269 ASN-IBSNAZ, IT
31.196.0.0/14 #AS3269 ASN-IBSNAZ, IT
37.32.80.0/21 #AS3269 ASN-IBSNAZ, IT
37.205.128.0/17 #AS3269 ASN-IBSNAZ, IT
37.206.0.0/15 #AS3269 ASN-IBSNAZ, IT
62.86.0.0/16 #AS3269 ASN-IBSNAZ, IT
62.100.90.0/24 #AS3269 ASN-IBSNAZ, IT
62.110.0.0/16 #AS3269 ASN-IBSNAZ, IT
62.211.0.0/16 #AS3269 ASN-IBSNAZ, IT
79.0.0.0/10 #AS3269 ASN-IBSNAZ, IT
80.16.0.0/13 #AS3269 ASN-IBSNAZ, IT
80.71.234.0/24 #AS3269 ASN-IBSNAZ, IT
80.104.0.0/15 #AS3269 ASN-IBSNAZ, IT
80.116.0.0/15 #AS3269 ASN-IBSNAZ, IT
80.180.0.0/14 #AS3269 ASN-IBSNAZ, IT
80.204.0.0/14 #AS3269 ASN-IBSNAZ, IT
81.72.0.0/14 #AS3269 ASN-IBSNAZ, IT
81.112.0.0/13 #AS3269 ASN-IBSNAZ, IT
81.120.0.0/14 #AS3269 ASN-IBSNAZ, IT
81.124.0.0/15 #AS3269 ASN-IBSNAZ, IT
81.126.0.0/16 #AS3269 ASN-IBSNAZ, IT
82.48.0.0/12 #AS3269 ASN-IBSNAZ, IT
82.88.0.0/14 #AS3269 ASN-IBSNAZ, IT
82.104.0.0/14 #AS3269 ASN-IBSNAZ, IT
82.184.0.0/13 #AS3269 ASN-IBSNAZ, IT
85.32.0.0/12 #AS3269 ASN-IBSNAZ, IT
87.0.0.0/11 #AS3269 ASN-IBSNAZ, IT
88.32.0.0/11 #AS3269 ASN-IBSNAZ, IT
91.230.217.0/24 #AS3269 ASN-IBSNAZ, IT
94.80.0.0/12 #AS3269 ASN-IBSNAZ, IT
94.199.8.0/21 #AS3269 ASN-IBSNAZ, IT
95.224.0.0/11 #AS3269 ASN-IBSNAZ, IT
131.1.0.0/16 #AS3269 ASN-IBSNAZ, IT
151.99.0.0/16 #AS3269 ASN-IBSNAZ, IT
156.54.64.0/18 #AS3269 ASN-IBSNAZ, IT
156.54.201.0/24 #AS3269 ASN-IBSNAZ, IT
156.54.251.0/24 #AS3269 ASN-IBSNAZ, IT
176.62.152.0/21 #AS3269 ASN-IBSNAZ, IT
185.97.12.0/24 #AS3269 ASN-IBSNAZ, IT
185.97.14.0/24 #AS3269 ASN-IBSNAZ, IT
188.8.0.0/13 #AS3269 ASN-IBSNAZ, IT
193.43.44.0/22 #AS3269 ASN-IBSNAZ, IT
193.104.86.0/24 #AS3269 ASN-IBSNAZ, IT
193.110.151.0/24 #AS3269 ASN-IBSNAZ, IT
193.207.192.0/19 #AS3269 ASN-IBSNAZ, IT
193.207.224.0/20 #AS3269 ASN-IBSNAZ, IT
193.207.240.0/21 #AS3269 ASN-IBSNAZ, IT
194.184.0.0/16 #AS3269 ASN-IBSNAZ, IT
