192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
197.86.50.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.52.0/24 #AS3741 NTT-DATA-Inc, ZA
197.86.251.0/24 #AS3741 NTT-DATA-Inc, ZA
197.96.0.0/13 #AS3741 NTT-DATA-Inc, ZA
198.54.20.0/22 #AS3741 NTT-DATA-Inc, ZA
198.54.24.0/21 #AS3741 NTT-DATA-Inc, ZA
198.54.32.0/21 #AS3741 NTT-DATA-Inc, ZA
198.54.40.0/23 #AS3741 NTT-DATA-Inc, ZA
198.54.42.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.64.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.71.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.72.0/22 #AS3741 NTT-DATA-Inc, ZA
198.54.84.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.149.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.154.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.156.0/22 #AS3741 NTT-DATA-Inc, ZA
198.54.160.0/23 #AS3741 NTT-DATA-Inc, ZA
198.54.163.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.165.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.170.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.184.0/22 #AS3741 NTT-DATA-Inc, ZA
198.54.188.0/23 #AS3741 NTT-DATA-Inc, ZA
198.54.192.0/22 #AS3741 NTT-DATA-Inc, ZA
198.54.196.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.219.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.228.0/24 #AS3741 NTT-DATA-Inc, ZA
198.54.253.0/24 #AS3741 NTT-DATA-Inc, ZA
200.16.8.0/21 #AS3741 NTT-DATA-Inc, ZA
204.235.32.0/21 #AS3741 NTT-DATA-Inc, ZA
204.235.40.0/22 #AS3741 NTT-DATA-Inc, ZA
192.175.48.1/32 #AS4178 AZTEC, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS4571 UUNET-SA, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.144.0.0/13 #AS5713 SAIX-NET, ZA
41.246.0.0/15 #AS5713 SAIX-NET, ZA
102.38.60.0/22 #AS5713 SAIX-NET, ZA
102.68.72.0/22 #AS5713 SAIX-NET, ZA
102.220.52.0/24 #AS5713 SAIX-NET, ZA
102.221.40.0/22 #AS5713 SAIX-NET, ZA
102.248.0.0/13 #AS5713 SAIX-NET, ZA
154.73.156.0/23 #AS5713 SAIX-NET, ZA
155.239.0.0/16 #AS5713 SAIX-NET, ZA
165.8.0.0/14 #AS5713 SAIX-NET, ZA
165.143.124.0/23 #AS5713 SAIX-NET, ZA
165.143.146.0/23 #AS5713 SAIX-NET, ZA
165.143.224.0/23 #AS5713 SAIX-NET, ZA
165.144.0.0/14 #AS5713 SAIX-NET, ZA
165.148.0.0/15 #AS5713 SAIX-NET, ZA
165.165.0.0/16 #AS5713 SAIX-NET, ZA
196.3.113.0/24 #AS5713 SAIX-NET, ZA
196.3.114.0/23 #AS5713 SAIX-NET, ZA
196.3.155.0/24 #AS5713 SAIX-NET, ZA
196.3.161.0/24 #AS5713 SAIX-NET, ZA
196.4.175.0/24 #AS5713 SAIX-NET, ZA
196.4.176.0/24 #AS5713 SAIX-NET, ZA
196.10.224.0/24 #AS5713 SAIX-NET, ZA
196.11.1.0/24 #AS5713 SAIX-NET, ZA
196.11.2.0/23 #AS5713 SAIX-NET, ZA
196.11.4.0/22 #AS5713 SAIX-NET, ZA
196.11.8.0/21 #AS5713 SAIX-NET, ZA
196.11.16.0/21 #AS5713 SAIX-NET, ZA
196.11.24.0/23 #AS5713 SAIX-NET, ZA
196.11.26.0/24 #AS5713 SAIX-NET, ZA
196.11.28.0/24 #AS5713 SAIX-NET, ZA
196.11.30.0/24 #AS5713 SAIX-NET, ZA
196.13.70.0/24 #AS5713 SAIX-NET, ZA
196.13.79.0/24 #AS5713 SAIX-NET, ZA
196.15.128.0/17 #AS5713 SAIX-NET, ZA
196.25.0.0/16 #AS5713 SAIX-NET, ZA
196.43.0.0/18 #AS5713 SAIX-NET, ZA
197.236.0.0/16 #AS5713 SAIX-NET, ZA
198.54.202.0/24 #AS5713 SAIX-NET, ZA
165.143.0.0/18 #AS5734 TIENET, ZA
165.143.64.0/19 #AS5734 TIENET, ZA
165.143.100.0/22 #AS5734 TIENET, ZA
165.143.104.0/22 #AS5734 TIENET, ZA
165.143.108.0/24 #AS5734 TIENET, ZA
165.143.111.0/24 #AS5734 TIENET, ZA
165.143.112.0/20 #AS5734 TIENET, ZA
165.143.128.0/17 #AS5734 TIENET, ZA
165.148.30.0/24 #AS5734 TIENET, ZA
165.148.128.0/17 #AS5734 TIENET, ZA
198.54.204.0/22 #AS5734 TIENET, ZA
192.94.246.0/24 #AS6083 POSIX-AFRICA, ZA
192.96.24.0/21 #AS6083 POSIX-AFRICA, ZA
192.96.177.0/24 #AS6083 POSIX-AFRICA, ZA
192.175.48.1/32 #AS6089 NTT-DATA-Inc, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
154.115.0.0/24 #AS6149 TENET-2, ZA
192.175.48.1/32 #AS6180 NIS-CT, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS6187 SPRINT-, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS6351 NTT-DATA-Inc, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS6529 PLAN-B, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS6560 GEM, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.29.56.0/21 #AS6968 ZACR, ZA
196.216.170.0/24 #AS6968 ZACR, ZA
196.216.230.0/23 #AS6968 ZACR, ZA
206.223.136.0/24 #AS6968 ZACR, ZA
165.233.0.0/16 #AS7020 QDATA-AS, ZA
196.4.250.0/23 #AS7020 QDATA-AS, ZA
196.10.1.0/24 #AS7020 QDATA-AS, ZA
196.10.2.0/23 #AS7020 QDATA-AS, ZA
196.10.4.0/22 #AS7020 QDATA-AS, ZA
196.10.8.0/21 #AS7020 QDATA-AS, ZA
196.10.16.0/20 #AS7020 QDATA-AS, ZA
196.10.32.0/20 #AS7020 QDATA-AS, ZA
196.10.48.0/23 #AS7020 QDATA-AS, ZA
196.10.50.0/24 #AS7020 QDATA-AS, ZA
196.29.128.0/19 #AS7020 QDATA-AS, ZA
196.45.168.0/21 #AS7020 QDATA-AS, ZA
192.175.48.1/32 #AS7154 FDDNET-ASN, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7231 ISP-, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7390 NLSLAN, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7460 LIA-NET, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7971 IWEBTT, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7972 GPG, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
143.160.0.0/19 #AS8094 PUKNET, ZA
143.160.32.0/20 #AS8094 PUKNET, ZA
143.160.48.0/21 #AS8094 PUKNET, ZA
143.160.56.0/22 #AS8094 PUKNET, ZA
143.160.64.0/19 #AS8094 PUKNET, ZA
143.160.96.0/20 #AS8094 PUKNET, ZA
143.160.112.0/21 #AS8094 PUKNET, ZA
143.160.120.0/22 #AS8094 PUKNET, ZA
143.160.124.0/23 #AS8094 PUKNET, ZA
143.160.126.0/24 #AS8094 PUKNET, ZA
143.160.128.0/19 #AS8094 PUKNET, ZA
143.160.160.0/20 #AS8094 PUKNET, ZA
143.160.176.0/21 #AS8094 PUKNET, ZA
143.160.188.0/22 #AS8094 PUKNET, ZA
143.160.192.0/20 #AS8094 PUKNET, ZA
143.160.212.0/22 #AS8094 PUKNET, ZA
143.160.216.0/21 #AS8094 PUKNET, ZA
143.160.224.0/19 #AS8094 PUKNET, ZA
196.6.221.0/24 #AS8094 PUKNET, ZA
196.21.164.0/22 #AS8094 PUKNET, ZA
196.252.0.0/15 #AS8094 PUKNET, ZA
41.209.3.0/24 #AS9129 KE-NET2000, ZA
41.209.5.0/24 #AS9129 KE-NET2000, ZA
41.209.8.0/21 #AS9129 KE-NET2000, ZA
41.209.16.0/20 #AS9129 KE-NET2000, ZA
41.209.32.0/19 #AS9129 KE-NET2000, ZA
195.202.64.0/19 #AS9129 KE-NET2000, ZA
217.199.144.0/20 #AS9129 KE-NET2000, ZA
192.175.48.1/32 #AS10247 NETLINE, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10262 IMPROTECH, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10331 MHG, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.86.109.0/24 #AS10474 NTT-DATA-Inc, ZA
41.132.0.0/14 #AS10474 NTT-DATA-Inc, ZA
152.111.0.0/16 #AS10474 NTT-DATA-Inc, ZA
176.67.176.0/21 #AS10474 NTT-DATA-Inc, ZA
196.22.160.0/24 #AS10474 NTT-DATA-Inc, ZA
196.28.26.0/24 #AS10474 NTT-DATA-Inc, ZA
196.28.84.0/24 #AS10474 NTT-DATA-Inc, ZA
196.28.180.0/24 #AS10474 NTT-DATA-Inc, ZA
197.80.0.0/12 #AS10474 NTT-DATA-Inc, ZA
192.175.48.1/32 #AS10505 DOCKSIDE, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
58.145.176.0/23 #AS10540 INFODOOR, ZA
58.145.180.0/22 #AS10540 INFODOOR, ZA
202.6.8.0/22 #AS10540 INFODOOR, ZA
202.6.14.0/23 #AS10540 INFODOOR, ZA
202.47.8.0/22 #AS10540 INFODOOR, ZA
202.47.14.0/23 #AS10540 INFODOOR, ZA
192.175.48.1/32 #AS10575 CISP-AS, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
166.85.5.0/24 #AS10798 SBICSA, ZA
166.85.16.0/23 #AS10798 SBICSA, ZA
166.85.18.0/24 #AS10798 SBICSA, ZA
196.8.6.0/24 #AS10798 SBICSA, ZA
196.8.11.0/24 #AS10798 SBICSA, ZA
196.8.12.0/24 #AS10798 SBICSA, ZA
196.8.26.0/24 #AS10798 SBICSA, ZA
196.8.37.0/24 #AS10798 SBICSA, ZA
196.8.38.0/24 #AS10798 SBICSA, ZA
196.8.85.0/24 #AS10798 SBICSA, ZA
196.8.86.0/23 #AS10798 SBICSA, ZA
196.8.88.0/23 #AS10798 SBICSA, ZA
196.8.90.0/24 #AS10798 SBICSA, ZA
196.8.94.0/23 #AS10798 SBICSA, ZA
196.8.97.0/24 #AS10798 SBICSA, ZA
196.8.99.0/24 #AS10798 SBICSA, ZA
196.8.100.0/22 #AS10798 SBICSA, ZA
196.8.104.0/22 #AS10798 SBICSA, ZA
196.8.108.0/23 #AS10798 SBICSA, ZA
196.8.110.0/24 #AS10798 SBICSA, ZA
196.8.112.0/24 #AS10798 SBICSA, ZA
196.8.114.0/23 #AS10798 SBICSA, ZA
196.8.119.0/24 #AS10798 SBICSA, ZA
196.8.123.0/24 #AS10798 SBICSA, ZA
196.8.124.0/23 #AS10798 SBICSA, ZA
196.8.126.0/24 #AS10798 SBICSA, ZA
196.8.128.0/22 #AS10798 SBICSA, ZA
196.8.132.0/24 #AS10798 SBICSA, ZA
196.8.136.0/24 #AS10798 SBICSA, ZA
196.8.141.0/24 #AS10798 SBICSA, ZA
196.8.142.0/23 #AS10798 SBICSA, ZA
196.8.145.0/24 #AS10798 SBICSA, ZA
196.8.147.0/24 #AS10798 SBICSA, ZA
196.8.152.0/24 #AS10798 SBICSA, ZA
196.8.154.0/24 #AS10798 SBICSA, ZA
196.8.161.0/24 #AS10798 SBICSA, ZA
196.8.168.0/23 #AS10798 SBICSA, ZA
196.8.178.0/23 #AS10798 SBICSA, ZA
196.8.202.0/23 #AS10798 SBICSA, ZA
196.8.204.0/24 #AS10798 SBICSA, ZA
196.8.206.0/23 #AS10798 SBICSA, ZA
196.8.208.0/24 #AS10798 SBICSA, ZA
196.8.210.0/23 #AS10798 SBICSA, ZA
196.8.212.0/22 #AS10798 SBICSA, ZA
196.8.216.0/22 #AS10798 SBICSA, ZA
196.8.221.0/24 #AS10798 SBICSA, ZA
196.8.222.0/24 #AS10798 SBICSA, ZA
196.8.226.0/23 #AS10798 SBICSA, ZA
196.8.229.0/24 #AS10798 SBICSA, ZA
196.8.231.0/24 #AS10798 SBICSA, ZA
196.8.233.0/24 #AS10798 SBICSA, ZA
196.8.237.0/24 #AS10798 SBICSA, ZA
196.8.238.0/24 #AS10798 SBICSA, ZA
196.8.245.0/24 #AS10798 SBICSA, ZA
192.175.48.1/32 #AS10898 BI-NET-SA, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS11125 EBIZ, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.3.151.0/24 #AS11157 ELAB, ZA
192.175.48.1/32 #AS11569 TICSA-ASN, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS11645 NASPERS, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.4.0.0/23 #AS11744 INVESTEC, ZA
196.4.5.0/24 #AS11744 INVESTEC, ZA
196.4.9.0/24 #AS11744 INVESTEC, ZA
196.4.11.0/24 #AS11744 INVESTEC, ZA
41.193.0.0/16 #AS11845 Vox-Telecom, ZA
102.39.0.0/16 #AS11845 Vox-Telecom, ZA
102.217.196.0/22 #AS11845 Vox-Telecom, ZA
102.219.24.0/22 #AS11845 Vox-Telecom, ZA
102.219.93.0/24 #AS11845 Vox-Telecom, ZA
102.220.208.0/22 #AS11845 Vox-Telecom, ZA
196.3.105.0/24 #AS11845 Vox-Telecom, ZA
196.3.164.0/22 #AS11845 Vox-Telecom, ZA
196.3.168.0/21 #AS11845 Vox-Telecom, ZA
196.3.176.0/22 #AS11845 Vox-Telecom, ZA
196.22.192.0/19 #AS11845 Vox-Telecom, ZA
196.22.224.0/20 #AS11845 Vox-Telecom, ZA
196.41.0.0/19 #AS11845 Vox-Telecom, ZA
196.41.192.0/19 #AS11845 Vox-Telecom, ZA
197.245.0.0/16 #AS11845 Vox-Telecom, ZA
209.203.0.0/18 #AS11845 Vox-Telecom, ZA
41.112.0.0/19 #AS12091 MTNNS-1, ZA
41.112.32.0/20 #AS12091 MTNNS-1, ZA
41.112.64.0/19 #AS12091 MTNNS-1, ZA
41.112.144.0/20 #AS12091 MTNNS-1, ZA
41.112.160.0/20 #AS12091 MTNNS-1, ZA
41.112.224.0/19 #AS12091 MTNNS-1, ZA
41.113.0.0/16 #AS12091 MTNNS-1, ZA
41.114.0.0/15 #AS12091 MTNNS-1, ZA
41.116.0.0/15 #AS12091 MTNNS-1, ZA
41.119.0.0/16 #AS12091 MTNNS-1, ZA
41.120.0.0/19 #AS12091 MTNNS-1, ZA
41.120.128.0/17 #AS12091 MTNNS-1, ZA
41.121.0.0/16 #AS12091 MTNNS-1, ZA
41.122.0.0/15 #AS12091 MTNNS-1, ZA
41.124.0.0/16 #AS12091 MTNNS-1, ZA
41.127.255.0/24 #AS12091 MTNNS-1, ZA
66.8.3.0/24 #AS12091 MTNNS-1, ZA
66.8.4.0/23 #AS12091 MTNNS-1, ZA
66.8.8.0/23 #AS12091 MTNNS-1, ZA
66.8.10.0/24 #AS12091 MTNNS-1, ZA
105.209.64.0/19 #AS12091 MTNNS-1, ZA
105.209.255.0/24 #AS12091 MTNNS-1, ZA
196.10.101.0/24 #AS12091 MTNNS-1, ZA
196.11.239.0/24 #AS12091 MTNNS-1, ZA
196.11.240.0/22 #AS12091 MTNNS-1, ZA
196.11.244.0/23 #AS12091 MTNNS-1, ZA
196.13.230.0/23 #AS12091 MTNNS-1, ZA
196.31.56.0/24 #AS12091 MTNNS-1, ZA
197.64.0.0/15 #AS12091 MTNNS-1, ZA
197.66.0.0/16 #AS12091 MTNNS-1, ZA
197.68.0.0/15 #AS12091 MTNNS-1, ZA
197.70.0.0/17 #AS12091 MTNNS-1, ZA
197.78.128.0/17 #AS12091 MTNNS-1, ZA
196.216.154.0/23 #AS13854 JSE, ZA
169.202.5.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.6.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.9.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.13.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.39.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.40.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.43.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.45.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.85.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.86.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.117.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.118.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.135.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.136.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.139.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.140.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.176.0/21 #AS14115 AMALGAMATED-BSA, ZA
169.202.184.0/22 #AS14115 AMALGAMATED-BSA, ZA
169.202.188.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.190.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.194.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.196.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.207.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.208.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.211.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.212.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.214.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.216.0/22 #AS14115 AMALGAMATED-BSA, ZA
169.202.220.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.222.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.224.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.231.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.232.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.235.0/24 #AS14115 AMALGAMATED-BSA, ZA
169.202.236.0/23 #AS14115 AMALGAMATED-BSA, ZA
169.202.241.0/24 #AS14115 AMALGAMATED-BSA, ZA
192.175.48.1/32 #AS14331 TCM-NETWORKS-0098, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.197.52.0/23 #AS14516 INVESTEC-2, ZA
185.197.54.0/24 #AS14516 INVESTEC-2, ZA
196.4.18.0/24 #AS14516 INVESTEC-2, ZA
196.44.32.0/20 #AS15022 ADEPT-, ZA
196.223.64.0/19 #AS15022 ADEPT-, ZA
197.255.144.0/20 #AS15022 ADEPT-, ZA
41.112.0.0/12 #AS16637 MTNNS-AS, ZA
41.181.0.0/16 #AS16637 MTNNS-AS, ZA
41.195.0.0/16 #AS16637 MTNNS-AS, ZA
41.208.0.0/18 #AS16637 MTNNS-AS, ZA
66.8.0.0/17 #AS16637 MTNNS-AS, ZA
102.213.140.0/23 #AS16637 MTNNS-AS, ZA
105.177.0.0/22 #AS16637 MTNNS-AS, ZA
105.177.10.0/23 #AS16637 MTNNS-AS, ZA
105.177.12.0/23 #AS16637 MTNNS-AS, ZA
105.177.22.0/23 #AS16637 MTNNS-AS, ZA
105.177.32.0/23 #AS16637 MTNNS-AS, ZA
105.208.0.0/12 #AS16637 MTNNS-AS, ZA
105.236.0.0/15 #AS16637 MTNNS-AS, ZA
155.235.64.0/18 #AS16637 MTNNS-AS, ZA
155.235.224.0/22 #AS16637 MTNNS-AS, ZA
155.235.232.0/21 #AS16637 MTNNS-AS, ZA
155.235.240.0/22 #AS16637 MTNNS-AS, ZA
165.125.179.0/24 #AS16637 MTNNS-AS, ZA
196.3.110.0/24 #AS16637 MTNNS-AS, ZA
196.4.87.0/24 #AS16637 MTNNS-AS, ZA
196.4.88.0/22 #AS16637 MTNNS-AS, ZA
196.4.92.0/23 #AS16637 MTNNS-AS, ZA
196.7.0.0/16 #AS16637 MTNNS-AS, ZA
196.11.56.0/23 #AS16637 MTNNS-AS, ZA
196.11.232.0/21 #AS16637 MTNNS-AS, ZA
196.13.228.0/22 #AS16637 MTNNS-AS, ZA
196.22.64.0/18 #AS16637 MTNNS-AS, ZA
196.30.0.0/15 #AS16637 MTNNS-AS, ZA
196.41.160.0/19 #AS16637 MTNNS-AS, ZA
196.44.0.0/19 #AS16637 MTNNS-AS, ZA
196.47.0.0/18 #AS16637 MTNNS-AS, ZA
196.61.208.0/21 #AS16637 MTNNS-AS, ZA
197.64.0.0/12 #AS16637 MTNNS-AS, ZA
209.212.96.0/19 #AS16637 MTNNS-AS, ZA
213.193.40.0/21 #AS16637 MTNNS-AS, ZA
213.193.48.0/20 #AS16637 MTNNS-AS, ZA
163.199.7.0/24 #AS16800 NBS90, ZA
163.199.8.0/24 #AS16800 NBS90, ZA
163.199.76.0/24 #AS16800 NBS90, ZA
163.199.126.0/24 #AS16800 NBS90, ZA
163.199.128.0/23 #AS16800 NBS90, ZA
163.199.131.0/24 #AS16800 NBS90, ZA
163.199.150.0/24 #AS16800 NBS90, ZA
163.199.160.0/24 #AS16800 NBS90, ZA
163.199.223.0/24 #AS16800 NBS90, ZA
163.201.1.0/24 #AS16800 NBS90, ZA
163.201.8.0/24 #AS16800 NBS90, ZA
163.201.92.0/23 #AS16800 NBS90, ZA
163.201.94.0/24 #AS16800 NBS90, ZA
163.201.100.0/24 #AS16800 NBS90, ZA
163.201.128.0/23 #AS16800 NBS90, ZA
163.201.131.0/24 #AS16800 NBS90, ZA
163.201.139.0/24 #AS16800 NBS90, ZA
163.201.150.0/24 #AS16800 NBS90, ZA
163.201.223.0/24 #AS16800 NBS90, ZA
192.175.48.1/32 #AS17148 FIRST-NATIONAL, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.216.128.0/20 #AS18931 SEACOM-AS, ZA
192.175.48.1/32 #AS19832 FTB, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.132.0.0/18 #AS20011 NTT-DATA-Inc, ZA
41.132.64.0/21 #AS20011 NTT-DATA-Inc, ZA
41.132.72.0/22 #AS20011 NTT-DATA-Inc, ZA
41.132.78.0/23 #AS20011 NTT-DATA-Inc, ZA
41.133.64.0/20 #AS20011 NTT-DATA-Inc, ZA
41.133.80.0/21 #AS20011 NTT-DATA-Inc, ZA
41.133.88.0/22 #AS20011 NTT-DATA-Inc, ZA
41.133.92.0/23 #AS20011 NTT-DATA-Inc, ZA
41.133.96.0/21 #AS20011 NTT-DATA-Inc, ZA
41.133.112.0/22 #AS20011 NTT-DATA-Inc, ZA
41.133.116.0/23 #AS20011 NTT-DATA-Inc, ZA
41.133.122.0/23 #AS20011 NTT-DATA-Inc, ZA
41.133.142.0/23 #AS20011 NTT-DATA-Inc, ZA
41.133.192.0/18 #AS20011 NTT-DATA-Inc, ZA
41.134.49.0/24 #AS20011 NTT-DATA-Inc, ZA
41.134.63.0/24 #AS20011 NTT-DATA-Inc, ZA
41.134.105.0/24 #AS20011 NTT-DATA-Inc, ZA
41.134.140.0/24 #AS20011 NTT-DATA-Inc, ZA
41.134.220.0/24 #AS20011 NTT-DATA-Inc, ZA
41.134.230.0/24 #AS20011 NTT-DATA-Inc, ZA
41.135.0.0/18 #AS20011 NTT-DATA-Inc, ZA
41.135.64.0/19 #AS20011 NTT-DATA-Inc, ZA
41.135.115.0/24 #AS20011 NTT-DATA-Inc, ZA
41.135.120.0/23 #AS20011 NTT-DATA-Inc, ZA
41.135.122.0/24 #AS20011 NTT-DATA-Inc, ZA
41.135.192.0/19 #AS20011 NTT-DATA-Inc, ZA
152.110.0.0/16 #AS20011 NTT-DATA-Inc, ZA
168.210.0.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.3.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.4.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.8.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.20.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.26.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.28.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.32.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.40.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.42.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.44.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.48.0/20 #AS20011 NTT-DATA-Inc, ZA
168.210.64.0/20 #AS20011 NTT-DATA-Inc, ZA
168.210.82.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.84.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.88.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.96.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.101.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.102.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.104.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.113.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.115.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.116.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.120.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.128.0/18 #AS20011 NTT-DATA-Inc, ZA
168.210.192.0/20 #AS20011 NTT-DATA-Inc, ZA
168.210.209.0/24 #AS20011 NTT-DATA-Inc, ZA
168.210.210.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.212.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.216.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.224.0/21 #AS20011 NTT-DATA-Inc, ZA
168.210.234.0/23 #AS20011 NTT-DATA-Inc, ZA
168.210.236.0/22 #AS20011 NTT-DATA-Inc, ZA
168.210.240.0/20 #AS20011 NTT-DATA-Inc, ZA
196.2.16.0/23 #AS20011 NTT-DATA-Inc, ZA
196.2.24.0/22 #AS20011 NTT-DATA-Inc, ZA
196.2.28.0/23 #AS20011 NTT-DATA-Inc, ZA
196.2.31.0/24 #AS20011 NTT-DATA-Inc, ZA
