192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
196.5.195.0/24 #AS3067 DENINF-IPLAN, ZA
196.5.196.0/22 #AS3067 DENINF-IPLAN, ZA
196.5.207.0/24 #AS3067 DENINF-IPLAN, ZA
196.5.208.0/23 #AS3067 DENINF-IPLAN, ZA
196.5.227.0/24 #AS3067 DENINF-IPLAN, ZA
196.5.231.0/24 #AS3067 DENINF-IPLAN, ZA
196.5.255.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.8.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.24.0/21 #AS3067 DENINF-IPLAN, ZA
196.9.32.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.88.0/23 #AS3067 DENINF-IPLAN, ZA
196.9.108.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.110.0/23 #AS3067 DENINF-IPLAN, ZA
196.9.112.0/23 #AS3067 DENINF-IPLAN, ZA
196.9.114.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.119.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.124.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.141.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.161.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.163.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.164.0/23 #AS3067 DENINF-IPLAN, ZA
196.9.209.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.236.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.239.0/24 #AS3067 DENINF-IPLAN, ZA
196.9.244.0/24 #AS3067 DENINF-IPLAN, ZA
196.13.138.0/23 #AS3067 DENINF-IPLAN, ZA
196.13.140.0/22 #AS3067 DENINF-IPLAN, ZA
196.13.144.0/22 #AS3067 DENINF-IPLAN, ZA
196.13.151.0/24 #AS3067 DENINF-IPLAN, ZA
196.13.152.0/21 #AS3067 DENINF-IPLAN, ZA
196.13.160.0/24 #AS3067 DENINF-IPLAN, ZA
192.175.48.1/32 #AS3068 DENINF-IVAN, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.77.104.0/21 #AS3741 NTT-DATA-Inc, ZA
41.86.100.0/22 #AS3741 NTT-DATA-Inc, ZA
41.86.110.0/23 #AS3741 NTT-DATA-Inc, ZA
41.86.116.0/22 #AS3741 NTT-DATA-Inc, ZA
45.149.227.0/24 #AS3741 NTT-DATA-Inc, ZA
85.118.154.0/24 #AS3741 NTT-DATA-Inc, ZA
102.65.32.0/22 #AS3741 NTT-DATA-Inc, ZA
139.53.0.0/16 #AS3741 NTT-DATA-Inc, ZA
152.111.1.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.2.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.4.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.6.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.8.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.12.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.14.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.16.0/20 #AS3741 NTT-DATA-Inc, ZA
152.111.32.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.36.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.41.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.43.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.44.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.50.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.53.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.54.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.56.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.59.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.60.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.63.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.64.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.66.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.68.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.70.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.72.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.74.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.77.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.78.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.82.0/23 #AS3741 NTT-DATA-Inc, ZA
