192.175.48.1/32 #AS3460 IHEP Institute of High Energy Physics, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS3717 ERX-BUCT-NET Beijing University of Chemical Technology, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
1.48.0.0/15 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.50.0.0/16 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.68.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.80.0.0/13 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.180.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.192.0.0/13 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
1.204.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.16.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.104.0.0/13 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.112.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.134.0.0/15 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.144.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
14.208.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.16.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.128.0.0/15 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.148.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.152.0.0/13 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.184.0.0/13 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
27.224.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
36.1.0.0/16 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
36.4.0.0/14 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
36.16.0.0/12 #AS4134 CHINANET-BACKBONE No.31,Jin-rong Street, CN
