192.175.48.1/32 #AS24814 SCS-AS ISP based in Damascus, Syria, SY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
178.171.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.218.252.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.253.64.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.253.96.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.253.112.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.4.84.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.19.124.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.23.76.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.23.184.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.52.232.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.54.132.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.84.48.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.84.236.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.90.248.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.92.28.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.92.88.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.99.100.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.109.212.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.110.104.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.114.240.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.121.184.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.128.180.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.134.132.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.135.48.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.136.144.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.145.236.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.146.136.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.148.192.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.150.140.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.151.80.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.151.148.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.154.248.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.155.160.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.158.92.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.162.164.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.164.132.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.164.200.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.164.248.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.169.160.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.171.72.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.172.236.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.173.172.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.174.228.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.174.236.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.175.52.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.178.148.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.184.104.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.185.72.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.185.220.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.187.192.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.194.72.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.194.124.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.196.140.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.196.144.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.197.20.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.198.172.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.199.244.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.203.68.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.204.80.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.204.88.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.209.32.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.216.132.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.216.196.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.217.172.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.220.168.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.224.124.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.225.40.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.227.140.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.228.12.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.231.44.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.235.16.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.235.24.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.236.100.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.244.204.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.246.76.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
185.254.180.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.133.16.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.133.32.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.133.64.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.160.0.0/16 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.229.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
188.247.0.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.17.188.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.43.140.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.43.145.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.43.149.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.43.159.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.10.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.12.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.26.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.28.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.38.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.52.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.62.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.68.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.86.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.160.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
193.124.208.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
194.5.160.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
194.58.0.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
194.61.124.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
195.238.104.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
212.11.192.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
212.107.20.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
213.178.224.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
213.217.32.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
217.20.208.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
192.175.48.1/32 #AS29386 EXT-PDN-STE-AS, SY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
46.57.128.0/17 #AS48065 SYRIATEL-AS, SY
46.213.0.0/20 #AS48065 SYRIATEL-AS, SY
46.213.16.0/21 #AS48065 SYRIATEL-AS, SY
46.213.32.0/19 #AS48065 SYRIATEL-AS, SY
46.213.64.0/20 #AS48065 SYRIATEL-AS, SY
46.213.80.0/21 #AS48065 SYRIATEL-AS, SY
46.213.96.0/19 #AS48065 SYRIATEL-AS, SY
46.213.128.0/20 #AS48065 SYRIATEL-AS, SY
46.213.160.0/19 #AS48065 SYRIATEL-AS, SY
46.213.192.0/19 #AS48065 SYRIATEL-AS, SY
46.213.224.0/20 #AS48065 SYRIATEL-AS, SY
94.252.192.0/18 #AS48065 SYRIATEL-AS, SY
178.52.0.0/16 #AS48065 SYRIATEL-AS, SY
188.139.128.0/17 #AS48065 SYRIATEL-AS, SY
192.175.48.1/32 #AS197842 MIJAD, SY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
