72.52.56.0/23 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
72.52.60.0/24 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
103.41.68.0/22 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
114.141.72.0/24 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
199.46.32.0/19 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
209.200.128.0/24 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
209.200.132.0/23 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
209.200.134.0/24 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
209.200.136.0/23 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
209.200.152.0/22 #AS213120 PROLEXIC-IP-PROTECT Akamai International B.V., NL
185.54.161.0/24 #AS12459 NETOPS-CEE NETOPS B.V., NL
45.154.33.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
86.105.224.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
89.106.79.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
146.19.172.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
185.234.13.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
193.29.182.0/24 #AS214783 DEDICATEDNODES-AS Danny Nieuwenhuis trading as DedicatedNodes, NL
147.181.4.0/22 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.8.0/21 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.16.0/23 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.32.0/21 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.44.0/22 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.48.0/21 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.128.0/22 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
147.181.133.0/24 #AS202553 ODCN-NL-AS Dienst Uitvoering Onderwijs, NL
193.177.168.0/21 #AS8694 RET-AS Rotterdamse Electrische Tram N.V., NL
193.177.192.0/20 #AS8694 RET-AS Rotterdamse Electrische Tram N.V., NL
91.233.22.0/23 #AS41038 MEDIACASTER-AS Mediacaster B.V., NL
157.97.96.0/24 #AS41038 MEDIACASTER-AS Mediacaster B.V., NL
185.187.124.0/22 #AS41038 MEDIACASTER-AS Mediacaster B.V., NL
194.30.182.0/24 #AS41038 MEDIACASTER-AS Mediacaster B.V., NL
195.95.175.0/24 #AS41038 MEDIACASTER-AS Mediacaster B.V., NL
193.0.0.0/21 #AS3333 RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
193.0.10.0/23 #AS3333 RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
193.0.12.0/23 #AS3333 RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
193.0.18.0/23 #AS3333 RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
193.0.20.0/22 #AS3333 RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
62.140.160.0/20 #AS28995 ANTHOS-AS Cofra Amsterdam C.V., NL
