37.29.76.0/22 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
78.41.100.0/22 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
178.176.154.0/23 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
91.228.30.0/23 #AS197831 DISKUS-AS Telekom Ltd, RU
91.234.80.0/22 #AS197831 DISKUS-AS Telekom Ltd, RU
91.244.80.0/20 #AS197831 DISKUS-AS Telekom Ltd, RU
176.104.120.0/21 #AS197831 DISKUS-AS Telekom Ltd, RU
78.40.222.0/24 #AS210989 VAC Private institution of culture Museum Victoria - the Art of Being Contemporary, RU
78.140.251.0/24 #AS211542 RKS-ENERGO RKS-ENERGO LLC, RU
84.244.0.0/19 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
91.185.40.0/23 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
94.137.192.0/19 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
91.216.126.0/24 #AS51081 TETRON-AS LLC TETRON, RU
62.89.193.0/24 #AS204271 SHOWJET-AS ShowJet OOO, RU
194.190.13.0/24 #AS49668 ASPECT-AS LLC Aspect, RU
45.85.65.0/24 #AS48995 NOVLINE-AS IE Gilaskhanov Said Visirpashaevich, RU
5.189.0.0/24 #AS201844 RU-KORUS-AS LLC Korus, RU
5.189.8.0/24 #AS201844 RU-KORUS-AS LLC Korus, RU
91.195.128.0/23 #AS43712 OPENSYSTEMS-AS Open Systems Ltd., RU
91.204.104.0/22 #AS43712 OPENSYSTEMS-AS Open Systems Ltd., RU
193.233.152.0/24 #AS200697 KUZSTU-AS T.F.Gorbachev Kuzbass State Technical University, RU
91.233.44.0/22 #AS57583 ASVASHNET IP Shefer Vitaliy Vyacheslavovich, RU
91.247.148.0/22 #AS57583 ASVASHNET IP Shefer Vitaliy Vyacheslavovich, RU
91.203.188.0/22 #AS47133 PROSERVIS-AS ProServis Ltd., RU
31.44.80.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
79.171.172.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
81.94.36.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
81.94.38.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
81.94.41.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
81.94.43.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
83.69.192.0/19 #AS29226 MASTERTEL-AS JSC Mastertel, RU
83.217.24.0/23 #AS29226 MASTERTEL-AS JSC Mastertel, RU
89.106.168.0/21 #AS29226 MASTERTEL-AS JSC Mastertel, RU
89.107.200.0/21 #AS29226 MASTERTEL-AS JSC Mastertel, RU
89.169.56.0/21 #AS29226 MASTERTEL-AS JSC Mastertel, RU
91.223.108.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
91.226.186.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
91.229.117.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
94.141.104.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
109.73.32.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
130.49.156.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
