102.23.118.0/23 #AS328566 Elite-Networks-AS, CD
102.36.144.0/24 #AS328569 Banque-Central-Congo, CD
192.145.188.0/22 #AS328601 Compagnie-Financiere-du-Congo-AS, CD
102.223.208.0/23 #AS328618 OLIVERSOFT, CD
102.223.210.0/24 #AS328618 OLIVERSOFT, CD
196.49.76.0/23 #AS328796 GOMIX-MGT, CD
196.1.137.0/24 #AS328928 CEDESURK, CD
102.217.142.0/24 #AS328981 Signal-HD, CD
164.160.48.0/22 #AS329017 RAGA-NET, CD
192.175.48.1/32 #AS329096 ccTLD-CD-Registry, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.212.212.0/24 #AS329269 SLTS1-AS, CD
102.210.253.0/24 #AS329342 DIRECTION-GENERALE-DES-DOUANES-ET-ACCISES, CD
192.175.48.1/32 #AS329362 Ministere-du-Numerique, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329364 GECAMINES, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS329430 GVA_RDC, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.207.248.0/23 #AS329489 Castor-Networks, CD
102.207.144.0/23 #AS329500 OPTIMIZED-NETWORKS-SARL, CD
102.206.8.0/24 #AS329526 ADRD5-AS, CD
102.205.208.0/22 #AS329542 MAGE, CD
192.175.48.1/32 #AS329634 Plantations_et_Huileries_du_Congo, CD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
