62.220.96.0/21 #AS21341 SINET-AS Access Service Provider, IR
62.220.104.0/22 #AS21341 SINET-AS Access Service Provider, IR
81.12.8.0/21 #AS21341 SINET-AS Access Service Provider, IR
81.12.16.0/21 #AS21341 SINET-AS Access Service Provider, IR
81.12.48.0/23 #AS21341 SINET-AS Access Service Provider, IR
81.12.59.0/24 #AS21341 SINET-AS Access Service Provider, IR
87.107.14.0/23 #AS21341 SINET-AS Access Service Provider, IR
87.107.24.0/22 #AS21341 SINET-AS Access Service Provider, IR
87.107.34.0/23 #AS21341 SINET-AS Access Service Provider, IR
87.107.42.0/23 #AS21341 SINET-AS Access Service Provider, IR
87.107.51.0/24 #AS21341 SINET-AS Access Service Provider, IR
87.107.52.0/23 #AS21341 SINET-AS Access Service Provider, IR
87.107.68.0/22 #AS21341 SINET-AS Access Service Provider, IR
87.107.88.0/22 #AS21341 SINET-AS Access Service Provider, IR
87.107.96.0/22 #AS21341 SINET-AS Access Service Provider, IR
87.107.116.0/23 #AS21341 SINET-AS Access Service Provider, IR
87.107.120.0/21 #AS21341 SINET-AS Access Service Provider, IR
87.107.132.0/23 #AS21341 SINET-AS Access Service Provider, IR
185.60.136.0/23 #AS21341 SINET-AS Access Service Provider, IR
185.60.139.0/24 #AS21341 SINET-AS Access Service Provider, IR
178.21.162.0/23 #AS21419 PISHTAZEJADIDINFOMRATION, IR
178.21.164.0/24 #AS21419 PISHTAZEJADIDINFOMRATION, IR
185.4.1.0/24 #AS21419 PISHTAZEJADIDINFOMRATION, IR
185.4.2.0/23 #AS21419 PISHTAZEJADIDINFOMRATION, IR
5.200.64.0/19 #AS24631 FANAPTELECOM-FCP, IR
31.24.200.0/21 #AS24631 FANAPTELECOM-FCP, IR
37.191.76.0/22 #AS24631 FANAPTELECOM-FCP, IR
37.191.92.0/22 #AS24631 FANAPTELECOM-FCP, IR
46.32.0.0/22 #AS24631 FANAPTELECOM-FCP, IR
46.32.4.0/24 #AS24631 FANAPTELECOM-FCP, IR
46.32.6.0/23 #AS24631 FANAPTELECOM-FCP, IR
46.32.10.0/23 #AS24631 FANAPTELECOM-FCP, IR
46.32.12.0/23 #AS24631 FANAPTELECOM-FCP, IR
46.32.15.0/24 #AS24631 FANAPTELECOM-FCP, IR
46.32.16.0/20 #AS24631 FANAPTELECOM-FCP, IR
46.34.176.0/23 #AS24631 FANAPTELECOM-FCP, IR
62.220.102.0/24 #AS24631 FANAPTELECOM-FCP, IR
78.111.8.0/21 #AS24631 FANAPTELECOM-FCP, IR
78.158.160.0/20 #AS24631 FANAPTELECOM-FCP, IR
78.158.176.0/22 #AS24631 FANAPTELECOM-FCP, IR
78.158.180.0/23 #AS24631 FANAPTELECOM-FCP, IR
78.158.184.0/21 #AS24631 FANAPTELECOM-FCP, IR
79.132.204.0/22 #AS24631 FANAPTELECOM-FCP, IR
79.132.208.0/22 #AS24631 FANAPTELECOM-FCP, IR
79.132.212.0/24 #AS24631 FANAPTELECOM-FCP, IR
79.132.214.0/23 #AS24631 FANAPTELECOM-FCP, IR
79.132.222.0/23 #AS24631 FANAPTELECOM-FCP, IR
79.174.160.0/21 #AS24631 FANAPTELECOM-FCP, IR
80.71.112.0/24 #AS24631 FANAPTELECOM-FCP, IR
80.71.114.0/23 #AS24631 FANAPTELECOM-FCP, IR
80.71.116.0/22 #AS24631 FANAPTELECOM-FCP, IR
80.71.120.0/23 #AS24631 FANAPTELECOM-FCP, IR
80.71.126.0/24 #AS24631 FANAPTELECOM-FCP, IR
80.253.128.0/19 #AS24631 FANAPTELECOM-FCP, IR
81.29.240.0/23 #AS24631 FANAPTELECOM-FCP, IR
81.29.242.0/24 #AS24631 FANAPTELECOM-FCP, IR
81.29.244.0/22 #AS24631 FANAPTELECOM-FCP, IR
86.109.34.0/23 #AS24631 FANAPTELECOM-FCP, IR
86.109.40.0/24 #AS24631 FANAPTELECOM-FCP, IR
86.109.42.0/23 #AS24631 FANAPTELECOM-FCP, IR
86.109.44.0/23 #AS24631 FANAPTELECOM-FCP, IR
86.109.48.0/22 #AS24631 FANAPTELECOM-FCP, IR
86.109.52.0/24 #AS24631 FANAPTELECOM-FCP, IR
86.109.54.0/23 #AS24631 FANAPTELECOM-FCP, IR
86.109.60.0/23 #AS24631 FANAPTELECOM-FCP, IR
87.247.179.0/24 #AS24631 FANAPTELECOM-FCP, IR
87.247.182.0/23 #AS24631 FANAPTELECOM-FCP, IR
89.235.68.0/22 #AS24631 FANAPTELECOM-FCP, IR
89.235.72.0/22 #AS24631 FANAPTELECOM-FCP, IR
89.235.76.0/23 #AS24631 FANAPTELECOM-FCP, IR
109.201.0.0/19 #AS24631 FANAPTELECOM-FCP, IR
109.230.72.0/21 #AS24631 FANAPTELECOM-FCP, IR
176.221.64.0/24 #AS24631 FANAPTELECOM-FCP, IR
176.221.66.0/23 #AS24631 FANAPTELECOM-FCP, IR
176.221.68.0/22 #AS24631 FANAPTELECOM-FCP, IR
178.248.40.0/21 #AS24631 FANAPTELECOM-FCP, IR
185.4.16.0/22 #AS24631 FANAPTELECOM-FCP, IR
185.12.60.0/23 #AS24631 FANAPTELECOM-FCP, IR
185.12.63.0/24 #AS24631 FANAPTELECOM-FCP, IR
185.21.68.0/22 #AS24631 FANAPTELECOM-FCP, IR
185.101.228.0/22 #AS24631 FANAPTELECOM-FCP, IR
