192.175.48.1/32 #AS10130 AS10130 FSM Telecommunications Corporation, FM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.248.156.0/23 #AS38875 AS38875 FSM Telecommunications Corporation, FM
119.252.120.0/23 #AS38875 AS38875 FSM Telecommunications Corporation, FM
124.109.12.0/22 #AS38875 AS38875 FSM Telecommunications Corporation, FM
103.39.252.0/22 #AS45193 AS45193 FSM Telecommunications Corporation, FM
119.252.123.0/24 #AS45193 AS45193 FSM Telecommunications Corporation, FM
119.252.124.0/23 #AS45193 AS45193 FSM Telecommunications Corporation, FM
43.248.158.0/23 #AS58524 AS58524 FSM Telecom, FM
119.252.126.0/23 #AS58524 AS58524 FSM Telecom, FM
119.252.112.0/20 #AS139759 FMTELECOM-AS-AP FSM Telecommunications Corporation, FM
124.109.8.0/22 #AS139759 FMTELECOM-AS-AP FSM Telecommunications Corporation, FM
103.166.208.0/23 #AS142139 BOOMINC-AS-AP Boom! Inc., FM
