87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
192.49.119.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.120.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.124.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.126.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.128.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.133.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.134.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.136.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.139.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.140.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.142.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.144.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.146.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.148.0/22 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.152.0/21 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.160.0/21 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.168.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.170.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.173.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.174.0/23 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.176.0/20 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.49.192.0/18 #AS375 TIETOTIE-AS Tieto Oyj, FI
192.163.145.0/24 #AS375 TIETOTIE-AS Tieto Oyj, FI
212.66.192.0/19 #AS199480 JAPO-AS Alajarven Puhelinosuuskunta JAPO, FI
2.58.220.0/22 #AS201006 KUUSKAISTAP Kuuskaistan Palvelut Oy, FI
185.89.52.0/22 #AS201006 KUUSKAISTAP Kuuskaistan Palvelut Oy, FI
79.141.144.0/20 #AS34263 MPYNET-AS MPY Telecom Oy, FI
82.197.0.0/19 #AS34263 MPYNET-AS MPY Telecom Oy, FI
88.85.128.0/19 #AS34263 MPYNET-AS MPY Telecom Oy, FI
95.130.24.0/21 #AS34263 MPYNET-AS MPY Telecom Oy, FI
178.16.176.0/20 #AS34263 MPYNET-AS MPY Telecom Oy, FI
185.146.12.0/22 #AS34263 MPYNET-AS MPY Telecom Oy, FI
188.65.136.0/21 #AS34263 MPYNET-AS MPY Telecom Oy, FI
85.194.238.0/23 #AS60414 NETINCH Baytems Holdings Oy, FI
89.44.211.0/24 #AS60414 NETINCH Baytems Holdings Oy, FI
185.31.136.0/22 #AS60414 NETINCH Baytems Holdings Oy, FI
79.133.0.0/19 #AS3238 ALCOM Alands Telekommunikation Ab, FI
82.199.160.0/19 #AS3238 ALCOM Alands Telekommunikation Ab, FI
194.110.176.0/20 #AS3238 ALCOM Alands Telekommunikation Ab, FI
194.112.0.0/20 #AS3238 ALCOM Alands Telekommunikation Ab, FI
212.17.160.0/20 #AS3238 ALCOM Alands Telekommunikation Ab, FI
212.17.176.0/21 #AS3238 ALCOM Alands Telekommunikation Ab, FI
212.17.184.0/22 #AS3238 ALCOM Alands Telekommunikation Ab, FI
213.204.32.0/19 #AS3238 ALCOM Alands Telekommunikation Ab, FI
178.251.152.0/21 #AS51311 ASNS Noisy Stream Oy, FI
188.123.0.0/19 #AS44506 LAITILANPUHELIN LP Vahvavirta Osk, FI
31.217.192.0/21 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
37.233.88.0/21 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
79.171.232.0/21 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
84.234.64.0/20 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
91.223.27.0/24 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
91.224.88.0/23 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
94.199.56.0/21 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
185.28.244.0/22 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
185.163.152.0/22 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
185.179.116.0/22 #AS58003 PLANEETTA-AS Planeetta Internet Oy, FI
5.61.94.0/24 #AS20904 NETPLAZA-AS Cinia Oy, FI
37.35.80.0/21 #AS20904 NETPLAZA-AS Cinia Oy, FI
46.254.208.0/24 #AS20904 NETPLAZA-AS Cinia Oy, FI
46.254.210.0/23 #AS20904 NETPLAZA-AS Cinia Oy, FI
77.95.242.0/24 #AS20904 NETPLAZA-AS Cinia Oy, FI
77.95.245.0/24 #AS20904 NETPLAZA-AS Cinia Oy, FI
77.95.246.0/23 #AS20904 NETPLAZA-AS Cinia Oy, FI
80.75.96.0/20 #AS20904 NETPLAZA-AS Cinia Oy, FI
93.174.192.0/21 #AS20904 NETPLAZA-AS Cinia Oy, FI
149.126.176.0/21 #AS20904 NETPLAZA-AS Cinia Oy, FI
164.5.160.0/19 #AS20904 NETPLAZA-AS Cinia Oy, FI
164.5.208.0/21 #AS20904 NETPLAZA-AS Cinia Oy, FI
185.16.168.0/22 #AS20904 NETPLAZA-AS Cinia Oy, FI
185.25.76.0/22 #AS20904 NETPLAZA-AS Cinia Oy, FI
185.67.80.0/22 #AS20904 NETPLAZA-AS Cinia Oy, FI
188.64.0.0/21 #AS20904 NETPLAZA-AS Cinia Oy, FI
212.6.54.0/24 #AS20904 NETPLAZA-AS Cinia Oy, FI
91.207.79.0/24 #AS12659 BBNWKSCORE Backbone Networks Europe Inc, FI
212.16.96.0/20 #AS12659 BBNWKSCORE Backbone Networks Europe Inc, FI
157.124.0.0/23 #AS1738 OKOBANK-AS OP Osuuskunta, FI
157.124.4.0/22 #AS1738 OKOBANK-AS OP Osuuskunta, FI
157.124.17.0/24 #AS1738 OKOBANK-AS OP Osuuskunta, FI
157.124.19.0/24 #AS1738 OKOBANK-AS OP Osuuskunta, FI
157.124.23.0/24 #AS1738 OKOBANK-AS OP Osuuskunta, FI
157.124.32.0/23 #AS1738 OKOBANK-AS OP Osuuskunta, FI
84.240.96.0/21 #AS42343 KTAB-AS Karjaan Puhelin Oy, FI
91.150.0.0/18 #AS42343 KTAB-AS Karjaan Puhelin Oy, FI
93.91.188.0/22 #AS42343 KTAB-AS Karjaan Puhelin Oy, FI
185.141.96.0/22 #AS42343 KTAB-AS Karjaan Puhelin Oy, FI
185.122.108.0/22 #AS203817 NOSTE-AS Kuhmon kylaverkko-osuuskunta, FI
91.197.208.0/22 #AS43692 ZD-AS ZD Communications Oy, FI
185.45.253.0/24 #AS211368 CUITUNET Cuitunet Oy, FI
185.239.156.0/22 #AS211368 CUITUNET Cuitunet Oy, FI
103.204.195.0/24 #AS215605 INFORMATIQ Shams Hanna trading as InformatiQ, FI
199.58.91.0/24 #AS215605 INFORMATIQ Shams Hanna trading as InformatiQ, FI
185.15.139.0/24 #AS207729 OITIS Oitis Com Oy, FI
5.22.208.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
5.253.32.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
77.81.0.0/24 #AS202053 UPCLOUD UpCloud Ltd, FI
80.69.172.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
81.27.96.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
83.136.248.0/21 #AS202053 UPCLOUD UpCloud Ltd, FI
85.9.200.0/21 #AS202053 UPCLOUD UpCloud Ltd, FI
85.9.208.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
87.58.144.0/21 #AS202053 UPCLOUD UpCloud Ltd, FI
87.58.152.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
87.58.156.0/23 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.0.0/18 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.64.0/19 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.96.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.112.0/21 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.120.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.124.0/23 #AS202053 UPCLOUD UpCloud Ltd, FI
94.237.126.0/24 #AS202053 UPCLOUD UpCloud Ltd, FI
95.111.192.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
95.111.208.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
95.111.216.0/21 #AS202053 UPCLOUD UpCloud Ltd, FI
109.71.54.0/23 #AS202053 UPCLOUD UpCloud Ltd, FI
185.20.136.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
185.26.48.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
185.70.196.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
194.39.109.0/24 #AS202053 UPCLOUD UpCloud Ltd, FI
194.62.96.0/22 #AS202053 UPCLOUD UpCloud Ltd, FI
194.107.180.0/24 #AS202053 UPCLOUD UpCloud Ltd, FI
212.147.224.0/19 #AS202053 UPCLOUD UpCloud Ltd, FI
213.163.192.0/20 #AS202053 UPCLOUD UpCloud Ltd, FI
91.213.161.0/24 #AS49670 INSTADEF-AS Insta DefSec Oy, FI
77.246.192.0/20 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
79.134.96.0/19 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
80.248.240.0/20 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
83.142.72.0/21 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
185.9.8.0/22 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
185.163.14.0/23 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
188.127.192.0/19 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
193.105.96.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
193.138.126.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
193.142.251.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
193.161.205.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
194.110.23.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
194.116.231.0/24 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
217.119.32.0/20 #AS16302 SUOMICOMMUNICATIONS Suomi Communications Oy, FI
185.22.132.0/22 #AS60970 HERMANIT-AS Herman IT Oy, FI
185.40.107.0/24 #AS212881 JWFIN-AS Jehovan Todistajat, FI
95.214.64.0/22 #AS209682 FINAVIA Finavia Oyj, FI
45.81.180.0/22 #AS49397 SAVA-GROUP-AS Sava-Group Oy, FI
62.122.28.0/24 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
77.86.128.0/17 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
77.91.212.0/22 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
80.69.160.0/21 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
80.69.168.0/22 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
81.17.192.0/21 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
83.145.192.0/18 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
83.150.64.0/18 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
84.20.128.0/19 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
84.239.128.0/17 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
94.101.0.0/20 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
109.75.224.0/21 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
185.123.116.0/22 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
188.117.0.0/18 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
193.104.38.0/24 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
194.29.192.0/21 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
194.79.16.0/22 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
213.157.64.0/19 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
217.30.176.0/20 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
217.149.48.0/20 #AS29422 NBLNETWORKS-AS Telia Cygate Oy, FI
46.183.72.0/22 #AS51941 BASEN-EU BaseN Oy, FI
46.183.76.0/23 #AS51941 BASEN-EU BaseN Oy, FI
46.183.78.0/24 #AS51941 BASEN-EU BaseN Oy, FI
185.128.255.0/24 #AS51941 BASEN-EU BaseN Oy, FI
192.40.72.0/22 #AS5420 KEMNET Kemira Oyj, FI
139.123.224.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
141.172.0.0/16 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.130.31.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.130.157.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.194.132.0/22 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.194.136.0/21 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.194.144.0/20 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
192.194.160.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
193.24.64.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
193.24.67.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
193.24.70.0/23 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
194.252.225.0/24 #AS29601 UPM-KYMMENE-AS UPM-Kymmene Oyj, FI
45.14.40.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
46.132.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
62.71.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
62.73.32.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
77.247.196.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
80.74.192.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
80.220.0.0/14 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
81.16.64.0/20 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
82.195.192.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
84.34.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
84.248.0.0/14 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
86.114.0.0/15 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
88.86.128.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
88.192.0.0/14 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
89.200.198.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.214.164.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.216.136.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.217.116.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.217.248.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.217.252.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
91.222.188.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
93.91.176.0/21 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
93.91.184.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
93.106.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
109.240.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
131.177.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
139.74.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
139.157.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
139.181.9.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
140.151.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
141.208.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
144.4.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
147.44.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
160.71.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
176.72.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
185.31.70.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
185.81.91.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
188.238.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.42.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.44.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.48.0/20 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.64.0/20 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.80.0/21 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.58.88.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.83.0.0/18 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.83.64.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.83.96.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.83.100.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.89.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.103.112.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.126.63.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.126.64.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.130.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.136.9.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
192.194.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.111.93.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.111.118.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.142.2.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.142.26.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.142.122.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.142.150.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.4.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.99.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.100.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.104.0/21 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.112.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.116.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.118.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.143.232.0/21 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.208.0.0/14 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
193.238.4.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.42.56.0/22 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.42.60.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.42.63.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.50.168.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.89.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.110.62.0/23 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.111.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.126.212.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.137.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.142.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.188.145.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.197.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.215.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.251.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
194.252.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
195.156.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
195.165.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
195.248.86.0/24 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
212.83.96.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
212.94.64.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
212.149.64.0/18 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
212.182.192.0/18 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
212.213.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
213.28.0.0/16 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
213.140.160.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
213.173.128.0/19 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
217.140.128.0/17 #AS1759 TSF-IP-CORE Telia Finland Oyj, FI
178.239.207.0/24 #AS33801 UKKO-AS Boldyn Networks Finland Holdings Oy, FI
195.94.96.0/21 #AS12330 MPYNET-AS MPY Telecom Oy, FI
195.94.104.0/22 #AS12330 MPYNET-AS MPY Telecom Oy, FI
31.25.144.0/21 #AS48299 DIGITA Digita Oy, FI
94.126.160.0/21 #AS48299 DIGITA Digita Oy, FI
185.36.97.0/24 #AS48299 DIGITA Digita Oy, FI
185.36.99.0/24 #AS48299 DIGITA Digita Oy, FI
185.37.132.0/22 #AS200087 ONNISYS-AS Onnisys Oy, FI
217.169.64.0/22 #AS20571 EXOMI Exomi Oy, FI
217.169.70.0/24 #AS20571 EXOMI Exomi Oy, FI
217.169.76.0/22 #AS20571 EXOMI Exomi Oy, FI
185.207.84.0/22 #AS12630 OVERKKOAS Otaverkko Oy, FI
212.68.0.0/19 #AS12630 OVERKKOAS Otaverkko Oy, FI
77.95.144.0/21 #AS29282 ENFO-FI-AS Enfo Oy, FI
158.90.128.0/17 #AS29282 ENFO-FI-AS Enfo Oy, FI
217.69.48.0/20 #AS29282 ENFO-FI-AS Enfo Oy, FI
91.105.248.0/21 #AS198936 TIETOTUNKKI-OY Tietotunkki oy, FI
45.135.144.0/22 #AS61074 AS-CUUMA Cuuma Communications Oy, FI
185.252.116.0/22 #AS201750 CONTRASEC Contrasec Oy, FI
185.224.72.0/22 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.86.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.91.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.92.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.105.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.106.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.110.0/23 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
192.103.116.0/24 #AS205250 TURUNKAUPUNKI Turun Kaupunki, FI
89.106.32.0/19 #AS39484 POAS-AS Pirkan Opiskelija-asunnot Oy, FI
185.239.192.0/22 #AS39484 POAS-AS Pirkan Opiskelija-asunnot Oy, FI
157.94.0.0/16 #AS51164 KNOWIT-FI Knowit Solutions Oy, FI
178.217.128.0/21 #AS51164 KNOWIT-FI Knowit Solutions Oy, FI
185.93.48.0/22 #AS51164 KNOWIT-FI Knowit Solutions Oy, FI
192.26.111.0/24 #AS51164 KNOWIT-FI Knowit Solutions Oy, FI
46.182.160.0/21 #AS49283 SETERA-AS Setera Oy, FI
89.18.224.0/19 #AS49283 SETERA-AS Setera Oy, FI
109.68.248.0/21 #AS49283 SETERA-AS Setera Oy, FI
178.21.192.0/21 #AS49283 SETERA-AS Setera Oy, FI
91.209.29.0/24 #AS48618 OULUDC Oulun DataCenter Oy, FI
31.22.104.0/24 #AS198020 DATACRUNCH Verda Cloud Oy, FI
31.56.108.0/23 #AS198020 DATACRUNCH Verda Cloud Oy, FI
86.38.182.0/24 #AS198020 DATACRUNCH Verda Cloud Oy, FI
86.38.238.0/24 #AS198020 DATACRUNCH Verda Cloud Oy, FI
95.133.252.0/22 #AS198020 DATACRUNCH Verda Cloud Oy, FI
217.177.40.0/24 #AS198020 DATACRUNCH Verda Cloud Oy, FI
2.26.147.0/24 #AS213468 TIETOKETTU HD-decor Oy, FI
2.26.149.0/24 #AS213468 TIETOKETTU HD-decor Oy, FI
5.61.88.0/22 #AS213468 TIETOKETTU HD-decor Oy, FI
87.76.209.0/24 #AS213468 TIETOKETTU HD-decor Oy, FI
185.218.194.0/23 #AS213468 TIETOKETTU HD-decor Oy, FI
146.119.0.0/16 #AS201991 METSAGROUP-AS Metsaliitto Osuuskunta, FI
193.163.185.0/24 #AS210722 TURKUENERGIA Oy Turku Energia Abo Energi AB, FI
45.8.53.0/24 #AS213547 HB-SERVICE-AS Hindersby-Backby Service Ab, FI
45.8.54.0/23 #AS213547 HB-SERVICE-AS Hindersby-Backby Service Ab, FI
77.105.64.0/18 #AS42621 LPOK-AS LPOnet Osk Anl, FI
185.138.48.0/22 #AS42621 LPOK-AS LPOnet Osk Anl, FI
130.188.0.0/16 #AS565 VTT-AS VTT Technical Research Centre of Finland Ltd, FI
45.13.60.0/22 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
45.85.232.0/22 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
45.156.92.0/22 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
109.204.160.0/21 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
185.83.116.0/22 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
185.247.132.0/22 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
193.104.188.0/24 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
194.8.226.0/23 #AS201172 SUNET-IP-RUNKO Suupohjan Seutuverkko Oy, FI
37.33.0.0/16 #AS16086 DNA DNA Oyj, FI
37.130.160.0/19 #AS16086 DNA DNA Oyj, FI
37.136.0.0/16 #AS16086 DNA DNA Oyj, FI
37.219.0.0/16 #AS16086 DNA DNA Oyj, FI
62.44.192.0/18 #AS16086 DNA DNA Oyj, FI
62.78.96.0/19 #AS16086 DNA DNA Oyj, FI
62.78.128.0/17 #AS16086 DNA DNA Oyj, FI
62.113.160.0/19 #AS16086 DNA DNA Oyj, FI
62.165.128.0/18 #AS16086 DNA DNA Oyj, FI
62.183.128.0/17 #AS16086 DNA DNA Oyj, FI
62.197.160.0/19 #AS16086 DNA DNA Oyj, FI
62.236.0.0/15 #AS16086 DNA DNA Oyj, FI
62.241.192.0/18 #AS16086 DNA DNA Oyj, FI
78.27.64.0/18 #AS16086 DNA DNA Oyj, FI
80.64.0.0/20 #AS16086 DNA DNA Oyj, FI
81.175.128.0/17 #AS16086 DNA DNA Oyj, FI
82.128.128.0/17 #AS16086 DNA DNA Oyj, FI
