86.107.120.0/22 #AS6696 VERIXI, BE
86.107.124.0/23 #AS6696 VERIXI, BE
86.107.126.0/24 #AS6696 VERIXI, BE
87.238.225.0/24 #AS6696 VERIXI, BE
87.238.228.0/24 #AS6696 VERIXI, BE
87.238.231.0/24 #AS6696 VERIXI, BE
91.216.145.0/24 #AS6696 VERIXI, BE
91.220.102.0/24 #AS6696 VERIXI, BE
91.220.111.0/24 #AS6696 VERIXI, BE
94.139.36.0/24 #AS6696 VERIXI, BE
94.139.39.0/24 #AS6696 VERIXI, BE
109.69.216.0/22 #AS6696 VERIXI, BE
109.69.220.0/23 #AS6696 VERIXI, BE
109.69.222.0/24 #AS6696 VERIXI, BE
128.127.180.0/24 #AS6696 VERIXI, BE
157.164.0.0/16 #AS6696 VERIXI, BE
185.64.64.0/22 #AS6696 VERIXI, BE
185.99.48.0/23 #AS6696 VERIXI, BE
185.99.50.0/24 #AS6696 VERIXI, BE
185.185.228.0/23 #AS6696 VERIXI, BE
185.192.44.0/23 #AS6696 VERIXI, BE
193.105.73.0/24 #AS6696 VERIXI, BE
193.105.133.0/24 #AS6696 VERIXI, BE
193.138.101.0/24 #AS6696 VERIXI, BE
194.1.205.0/24 #AS6696 VERIXI, BE
194.6.227.0/24 #AS6696 VERIXI, BE
192.175.48.1/32 #AS6716 TUNZ, BE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
80.84.16.0/20 #AS6774 ASN-BICS, BE
80.231.53.0/24 #AS6774 ASN-BICS, BE
94.102.160.0/20 #AS6774 ASN-BICS, BE
102.176.128.0/19 #AS6774 ASN-BICS, BE
195.234.24.0/24 #AS6774 ASN-BICS, BE
213.137.128.0/21 #AS6774 ASN-BICS, BE
213.137.136.0/22 #AS6774 ASN-BICS, BE
213.137.158.0/24 #AS6774 ASN-BICS, BE
5.23.128.0/17 #AS6848 TELENET-AS, BE
37.230.120.0/21 #AS6848 TELENET-AS, BE
