170.0.180.0/22 #AS10269 Belize Telemedia Limited, BZ
179.42.192.0/18 #AS10269 Belize Telemedia Limited, BZ
190.197.0.0/17 #AS10269 Belize Telemedia Limited, BZ
200.32.192.0/18 #AS10269 Belize Telemedia Limited, BZ
192.175.48.1/32 #AS18466 Geminicommunications Limited, BZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS28078 PrimeTel Services Inc., BZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
131.161.148.0/22 #AS28094 Southern Cable Network, BZ
176.53.184.0/23 #AS28094 Southern Cable Network, BZ
190.242.32.0/22 #AS28094 Southern Cable Network, BZ
200.123.208.0/21 #AS28094 Southern Cable Network, BZ
138.97.156.0/22 #AS52449 My Tech, BZ
167.249.200.0/22 #AS52449 My Tech, BZ
168.195.76.0/22 #AS52449 My Tech, BZ
170.247.220.0/22 #AS52449 My Tech, BZ
185.156.200.0/22 #AS56388 AMBER-AS ---CLIENTS---, BZ
45.87.220.0/22 #AS60387 FATCAT-AS 5dccc929caccef65490e696fccc6492804eb6b0c, BZ
77.247.110.0/24 #AS60528 MYWEBLTD, BZ
194.126.227.0/24 #AS60528 MYWEBLTD, BZ
5.175.238.0/24 #AS64160 NimblyNet Limited, BZ
87.232.109.0/24 #AS64160 NimblyNet Limited, BZ
88.151.198.0/24 #AS64160 NimblyNet Limited, BZ
148.224.24.0/22 #AS64160 NimblyNet Limited, BZ
149.18.3.0/24 #AS64160 NimblyNet Limited, BZ
149.18.104.0/24 #AS64160 NimblyNet Limited, BZ
149.57.93.0/24 #AS64160 NimblyNet Limited, BZ
181.233.124.0/22 #AS64160 NimblyNet Limited, BZ
195.128.24.0/24 #AS64160 NimblyNet Limited, BZ
192.175.48.1/32 #AS140507 CLARSTON-AS-AP Clarston Limited, BZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
91.215.87.0/24 #AS200966 PROMETON-AS, BZ
