79.133.124.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.93.209.0/24 #AS202422 GHOST G-Core Labs S.A., LU
80.93.218.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.93.222.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.240.96.0/24 #AS202422 GHOST G-Core Labs S.A., LU
80.240.115.0/24 #AS202422 GHOST G-Core Labs S.A., LU
82.97.203.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.4.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.6.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.32.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.205.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.207.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.217.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.234.85.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.234.89.0/24 #AS202422 GHOST G-Core Labs S.A., LU
86.106.169.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.120.237.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.53.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.55.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.99.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.35.162.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.36.229.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.40.75.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.41.172.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.42.178.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.105.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.107.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.108.0/23 #AS202422 GHOST G-Core Labs S.A., LU
89.43.111.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.193.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.194.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.196.0/22 #AS202422 GHOST G-Core Labs S.A., LU
89.223.88.0/23 #AS202422 GHOST G-Core Labs S.A., LU
89.223.91.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.223.92.0/22 #AS202422 GHOST G-Core Labs S.A., LU
91.239.65.0/24 #AS202422 GHOST G-Core Labs S.A., LU
91.243.85.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.132.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.135.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.148.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.154.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.160.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.163.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.166.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.171.0/24 #AS202422 GHOST G-Core Labs S.A., LU
