64.68.223.0/24 #AS265531 LUMENET-COMUNICACIONES LUMENET COMUNICACIONES S. DE R.L. DE C.V., MX
187.251.33.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
187.251.34.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
200.23.60.0/24 #AS18592 CORPORACION-UNIVERSITARIA-PARA Corporacion Universitaria para el Desarrollo de Internet A.C., MX
67.16.192.0/21 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
129.192.192.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
187.248.16.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
200.66.100.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
200.66.104.0/23 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
200.66.106.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
200.66.111.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.157.9.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.157.40.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.157.50.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.157.68.0/23 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.157.124.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.6.0/23 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.8.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.12.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.42.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.51.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.55.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
201.161.56.0/24 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
208.50.208.0/21 #AS22566 IP-MATRIX IP Matrix S.A. de C.V., MX
45.185.248.0/22 #AS265599 MANUEL-GARCIA-RAMIREZ MANUEL GARCIA RAMIREZ, MX
38.158.202.0/23 #AS28447 ONFIBER ONFIBER SA DE CV, MX
38.226.104.0/24 #AS28447 ONFIBER ONFIBER SA DE CV, MX
200.76.118.0/24 #AS28447 ONFIBER ONFIBER SA DE CV, MX
203.142.5.0/24 #AS28447 ONFIBER ONFIBER SA DE CV, MX
201.131.14.0/24 #AS263158 CREATIVE-MULTILINGUAL-STRATEGIES CREATIVE MULTILINGUAL STRATEGIES S. DE R.L. DE C.V., MX
209.61.32.0/24 #AS272299 WOLKIT-SOLUCIONES-TI Wolkit Soluciones de TI S.A. de C.V., MX
200.33.0.0/24 #AS28497 NETWORK-INFORMATION-CENTER Network Information Center México, MX
45.188.108.0/22 #AS265607 CONECTARED CONECTARED SA DE CV, MX
186.26.72.0/23 #AS265607 CONECTARED CONECTARED SA DE CV, MX
189.36.240.0/22 #AS272377 JOSE-GUADALUPE-CANDELAS-ORTIZ Jose Guadalupe Candelas Ortiz, MX
216.28.148.0/22 #AS273276 AKASH-TELECOM AKASH TELECOM SA DE CV, MX
138.186.100.0/22 #AS262927 ELARA-COMUNICACIONES ELARA COMUNICACIONES SAPI DE CV, MX
201.131.60.0/22 #AS262927 ELARA-COMUNICACIONES ELARA COMUNICACIONES SAPI DE CV, MX
200.12.125.0/24 #AS7080 ELECTRONICA-COMUNICACIONES-S-A Electronica y Comunicaciones S. A., MX
38.56.248.0/22 #AS28451 ASESPRI-ETHERNET ASESPRI ETHERNET, MX
185.240.166.0/24 #AS28451 ASESPRI-ETHERNET ASESPRI ETHERNET, MX
138.185.2.0/23 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.224.0.0/13 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.240.1.0/24 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.240.3.0/24 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.240.10.0/23 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.240.14.0/24 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
177.240.16.0/24 #AS13999 MEGA-CABLE Mega Cable S.A. de C.V., MX
