181.94.248.0/23 #AS27895 Nucleo S.A., PY
181.94.250.0/24 #AS27895 Nucleo S.A., PY
181.103.0.0/22 #AS27895 Nucleo S.A., PY
181.103.4.0/23 #AS27895 Nucleo S.A., PY
181.103.12.0/22 #AS27895 Nucleo S.A., PY
190.104.128.0/18 #AS27895 Nucleo S.A., PY
200.3.248.0/21 #AS27895 Nucleo S.A., PY
200.7.14.0/24 #AS28033 Banco Familiar SAECA, PY
131.161.252.0/22 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
138.186.60.0/22 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
179.189.218.0/23 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
190.110.226.0/23 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
190.110.230.0/23 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
190.110.246.0/23 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
190.211.240.0/22 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
200.123.36.0/23 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
200.123.59.0/24 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
200.123.61.0/24 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
201.222.48.0/21 #AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA T.E.I.S.A, PY
200.12.146.0/24 #AS52227 Banco Itau Paraguay S.A., PY
200.115.16.0/24 #AS52418 NETEL S.A., PY
