192.175.48.1/32 #AS58 SSC-299-Z-58 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
204.19.42.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
204.19.48.0/20 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
204.19.64.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
204.19.72.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
204.19.80.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
204.28.99.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.1.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.2.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.4.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.45.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.70.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.72.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.112.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.250.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.252.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.151.254.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.189.10.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.2.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.4.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.7.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.8.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.12.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.31.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.35.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.44.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.73.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.76.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.93.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.94.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.236.144.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.8.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.16.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.22.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.24.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.27.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.30.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.32.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.34.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.72.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.76.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.78.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.80.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.210.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.212.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
