191.98.236.0/23 #AS19447 ALFANUMERIC ALFANUMERIC, NI
191.98.238.0/24 #AS19447 ALFANUMERIC ALFANUMERIC, NI
191.98.240.0/20 #AS19447 ALFANUMERIC ALFANUMERIC, NI
165.98.38.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
165.98.122.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
165.98.238.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
170.246.152.0/22 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.1.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.2.0/23 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.4.0/22 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.8.0/21 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.16.0/20 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.32.0/20 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.48.0/21 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.56.0/22 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.60.0/23 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
186.1.63.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
200.6.55.0/24 #AS18840 EQUIPOS-SISTEMAS EQUIPOS Y SISTEMAS S.A., NI
200.106.247.0/24 #AS262185 BANCO-LAFISE-BANCENTRO BANCO LAFISE BANCENTRO S.A, NI
