195.246.33.0/24 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.35.0/24 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.39.0/24 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.40.0/21 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.48.0/22 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.52.0/23 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.54.0/24 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.56.0/22 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
195.246.63.0/24 #AS2561 FRCU-EUN Egyptian Universities Network (EUN), EG
84.205.96.0/21 #AS31619 CITYSTARS-AS City Stars - Egypt, EG
84.205.104.0/22 #AS31619 CITYSTARS-AS City Stars - Egypt, EG
84.205.110.0/24 #AS31619 CITYSTARS-AS City Stars - Egypt, EG
196.216.206.0/24 #AS327846 WDI-AS Wadi-Degla-Investments-WDI-AS, EG
41.79.209.0/24 #AS37437 CICH CI Capital Egypt, EG
102.218.20.0/22 #AS328972 GEIDEA-TECHNOLOGY-AS Geidea Technology, EG
194.61.1.0/24 #AS328972 GEIDEA-TECHNOLOGY-AS Geidea Technology, EG
41.206.128.0/19 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
41.223.20.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
62.68.247.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
62.240.101.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
62.240.102.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
62.240.104.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
62.240.115.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
