112.78.52.0/22 #AS131164 SINOTECH-TW-AP Sinotech Int, TW
113.197.74.0/23 #AS131164 SINOTECH-TW-AP Sinotech Int, TW
113.212.176.0/23 #AS131164 SINOTECH-TW-AP Sinotech Int, TW
123.108.126.0/24 #AS131164 SINOTECH-TW-AP Sinotech Int, TW
39.1.96.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
61.60.192.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
103.130.92.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
103.130.96.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
103.234.204.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
103.234.228.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
106.105.24.0/21 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
106.105.184.0/21 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
118.150.0.0/16 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
124.109.112.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
150.117.16.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
150.117.32.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
150.117.48.0/21 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
150.129.72.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
150.129.228.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
180.214.176.0/20 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
203.121.224.0/19 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
210.244.84.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
210.244.88.0/22 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
210.244.97.0/24 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
218.34.96.0/21 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
218.34.104.0/23 #AS18419 DADA-AS-TW DaDa Broadband LTD., TW
103.126.164.0/22 #AS131143 CHINATRUST-AS-TW Chinatrust Commercial Bank, TW
175.184.240.0/21 #AS131143 CHINATRUST-AS-TW Chinatrust Commercial Bank, TW
43.240.104.0/22 #AS17709 APT Asia Pacific Telecom, TW
60.244.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
101.136.0.0/14 #AS17709 APT Asia Pacific Telecom, TW
103.36.116.0/22 #AS17709 APT Asia Pacific Telecom, TW
124.219.6.0/24 #AS17709 APT Asia Pacific Telecom, TW
202.178.128.0/17 #AS17709 APT Asia Pacific Telecom, TW
203.79.212.0/24 #AS17709 APT Asia Pacific Telecom, TW
203.79.250.0/24 #AS17709 APT Asia Pacific Telecom, TW
203.79.252.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.58.88.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.58.112.0/20 #AS17709 APT Asia Pacific Telecom, TW
210.63.208.0/21 #AS17709 APT Asia Pacific Telecom, TW
210.63.216.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.63.232.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.85.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
210.200.0.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.200.2.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.200.129.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.200.130.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.201.31.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.201.32.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.201.72.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.201.78.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.201.93.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.202.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
210.203.0.0/24 #AS17709 APT Asia Pacific Telecom, TW
210.203.8.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.203.20.0/22 #AS17709 APT Asia Pacific Telecom, TW
210.203.48.0/20 #AS17709 APT Asia Pacific Telecom, TW
211.76.96.0/20 #AS17709 APT Asia Pacific Telecom, TW
218.34.0.0/15 #AS17709 APT Asia Pacific Telecom, TW
218.184.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
222.157.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
222.250.0.0/16 #AS17709 APT Asia Pacific Telecom, TW
222.251.0.0/17 #AS17709 APT Asia Pacific Telecom, TW
223.22.0.0/15 #AS17709 APT Asia Pacific Telecom, TW
43.226.232.0/22 #AS38851 TNET-NET TNET Communication Inc. 10F. No.78 Sec. 2 Chongxin Rd. Sanchong Dist. New Taipei City Taiwan (R.O.C Taiwan 241), TW
43.227.24.0/22 #AS38851 TNET-NET TNET Communication Inc. 10F. No.78 Sec. 2 Chongxin Rd. Sanchong Dist. New Taipei City Taiwan (R.O.C Taiwan 241), TW
43.250.44.0/22 #AS38851 TNET-NET TNET Communication Inc. 10F. No.78 Sec. 2 Chongxin Rd. Sanchong Dist. New Taipei City Taiwan (R.O.C Taiwan 241), TW
