192.175.48.1/32 #AS54299 MUSCAT - Muscat Solutions Inc, VG - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.94.84.0/23 #AS56647 FUSIONMEDIA, VG
185.168.112.0/23 #AS56647 FUSIONMEDIA, VG
193.37.232.0/24 #AS56647 FUSIONMEDIA, VG
5.35.168.0/22 #AS58143 MEDIABRIDGE-AS Web Hosting Rent, VG
5.35.172.0/23 #AS58143 MEDIABRIDGE-AS Web Hosting Rent, VG
5.35.174.0/24 #AS58143 MEDIABRIDGE-AS Web Hosting Rent, VG
91.108.12.0/22 #AS59930 TELEGRAM_MESSENGER, VG
149.154.172.0/22 #AS59930 TELEGRAM_MESSENGER, VG
185.34.202.0/24 #AS60239 FIRMTRADE-AS, VG
91.108.16.0/22 #AS62014 TELEGRAM, VG
91.108.56.0/23 #AS62014 TELEGRAM, VG
149.154.168.0/22 #AS62014 TELEGRAM, VG
91.108.4.0/22 #AS62041 TELEGRAM, VG
91.108.8.0/22 #AS62041 TELEGRAM, VG
91.108.56.0/22 #AS62041 TELEGRAM, VG
95.161.64.0/20 #AS62041 TELEGRAM, VG
149.154.160.0/21 #AS62041 TELEGRAM, VG
