194.214.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.254.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.83.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.98.224.0/19 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.220.0.0/15 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
161.105.128.0/17 #AS2278 ORANGELABS Orange Labs OLPS, FR
161.106.0.0/16 #AS2278 ORANGELABS Orange Labs OLPS, FR
192.144.77.0/24 #AS2278 ORANGELABS Orange Labs OLPS, FR
192.175.48.1/32 #AS2279 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
90.84.11.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.14.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.16.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.39.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.40.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.154.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.168.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.176.0/20 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.192.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.240.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.251.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.252.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
192.175.48.1/32 #AS2282 GILAS-DP PILM, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2283 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2284 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
90.84.160.0/24 #AS2285 OCB_HONEY_CDN_ASN OCB Orange Cloud Business CDN ASN, FR
90.84.164.0/24 #AS2285 OCB_HONEY_CDN_ASN OCB Orange Cloud Business CDN ASN, FR
193.251.192.0/22 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
193.251.196.0/23 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
193.251.224.0/22 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
90.84.138.0/23 #AS2287 IOT-CADV-OBS-AS, FR
90.84.157.0/24 #AS2287 IOT-CADV-OBS-AS, FR
90.84.158.0/24 #AS2287 IOT-CADV-OBS-AS, FR
