115.108.8.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.10.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.12.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.14.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.20.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.30.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.32.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.36.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.38.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.40.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.44.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.64.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.74.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.92.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.94.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.96.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.160.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.180.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.108.240.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.64.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.96.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.112.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.120.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.122.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.124.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.110.128.0/17 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.0.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.32.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.48.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.53.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.56.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.64.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.96.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.112.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.120.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.128.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.136.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.148.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.152.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.168.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.176.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.111.192.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.112.0.0/15 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.0.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.16.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.26.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.28.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.36.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.44.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.48.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.56.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.69.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.70.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.72.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.77.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.78.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.81.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.86.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.88.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.90.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.92.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.96.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.128.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.136.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.140.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.142.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.148.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.165.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.191.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.244.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.114.251.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.115.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.116.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.3.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.38.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.69.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.70.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.90.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.98.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.100.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.104.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.114.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.116.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.120.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.180.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.117.184.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.118.204.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
115.119.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.240.0.0/15 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.242.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.243.0.0/17 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.244.0.0/17 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
