221.134.236.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.134.244.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.134.252.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.10.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.20.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.24.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.28.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.30.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.32.0/21 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.40.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.42.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.44.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.48.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.50.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.52.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.56.0/21 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.65.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.66.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.73.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.75.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.77.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.78.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.80.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.84.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.89.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.94.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.96.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.101.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.102.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.104.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.110.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.113.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.114.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.117.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.119.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.120.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.125.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.126.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.130.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.132.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.136.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.143.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.144.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.148.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.153.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.154.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.156.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.158.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.160.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.166.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.170.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.176.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.180.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.184.0/21 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.192.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.200.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.202.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.204.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.208.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.212.0/23 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.216.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.218.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.220.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.224.0/21 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.232.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.236.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.243.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.244.0/22 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.251.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
221.135.254.0/24 #AS9583 SIFY-AS-IN Sify Limited, IN
223.30.0.0/15 #AS9583 SIFY-AS-IN Sify Limited, IN
202.3.64.0/24 #AS9653 SUNPHARMA59-IN Acme Plaza, IN
192.175.48.1/32 #AS9666 ASAPL-AS-AP AUTONOMY SOFTWARE ASIA PRIVATE LIMITED, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
59.144.97.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
59.145.72.0/23 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
61.246.50.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
125.22.113.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
152.52.9.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
152.52.48.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
182.95.251.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
203.101.99.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
203.193.178.0/24 #AS9730 BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
103.4.253.0/24 #AS9752 FKNET-IN Flipkart Internet Pvt Ltd, IN
103.4.255.0/24 #AS9752 FKNET-IN Flipkart Internet Pvt Ltd, IN
103.243.32.0/23 #AS9752 FKNET-IN Flipkart Internet Pvt Ltd, IN
163.53.76.0/23 #AS9752 FKNET-IN Flipkart Internet Pvt Ltd, IN
202.177.128.0/22 #AS9796 WIPRO Internet Service Providers, IN
202.177.132.0/24 #AS9796 WIPRO Internet Service Providers, IN
202.177.136.0/22 #AS9796 WIPRO Internet Service Providers, IN
23.34.252.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
23.47.126.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
23.48.225.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
23.60.169.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
23.212.5.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
43.242.104.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
59.88.0.0/15 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.0.0/17 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.128.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.144.0/21 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.152.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.156.0/23 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.158.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.160.0/19 #AS9829 BSNL-NIB National Internet Backbone, IN
59.90.192.0/18 #AS9829 BSNL-NIB National Internet Backbone, IN
59.91.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
59.92.0.0/14 #AS9829 BSNL-NIB National Internet Backbone, IN
59.96.0.0/14 #AS9829 BSNL-NIB National Internet Backbone, IN
59.176.0.0/17 #AS9829 BSNL-NIB National Internet Backbone, IN
59.177.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
59.178.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
59.180.0.0/19 #AS9829 BSNL-NIB National Internet Backbone, IN
59.180.64.0/19 #AS9829 BSNL-NIB National Internet Backbone, IN
59.182.0.0/15 #AS9829 BSNL-NIB National Internet Backbone, IN
59.184.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
61.0.0.0/14 #AS9829 BSNL-NIB National Internet Backbone, IN
72.246.76.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
103.225.12.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
104.95.97.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
104.95.190.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
104.118.7.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
117.192.0.0/11 #AS9829 BSNL-NIB National Internet Backbone, IN
117.224.0.0/13 #AS9829 BSNL-NIB National Internet Backbone, IN
117.232.0.0/14 #AS9829 BSNL-NIB National Internet Backbone, IN
117.236.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
117.237.0.0/17 #AS9829 BSNL-NIB National Internet Backbone, IN
117.237.160.0/19 #AS9829 BSNL-NIB National Internet Backbone, IN
117.237.192.0/18 #AS9829 BSNL-NIB National Internet Backbone, IN
117.238.0.0/15 #AS9829 BSNL-NIB National Internet Backbone, IN
117.240.0.0/12 #AS9829 BSNL-NIB National Internet Backbone, IN
120.56.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
120.59.128.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
120.59.192.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
120.60.0.0/15 #AS9829 BSNL-NIB National Internet Backbone, IN
120.62.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
120.63.0.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
160.30.8.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
182.57.64.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
182.59.64.0/19 #AS9829 BSNL-NIB National Internet Backbone, IN
182.59.96.0/20 #AS9829 BSNL-NIB National Internet Backbone, IN
182.59.192.0/18 #AS9829 BSNL-NIB National Internet Backbone, IN
182.60.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
184.25.108.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
184.26.184.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
184.51.92.0/22 #AS9829 BSNL-NIB National Internet Backbone, IN
184.84.167.0/24 #AS9829 BSNL-NIB National Internet Backbone, IN
210.212.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
218.248.0.0/16 #AS9829 BSNL-NIB National Internet Backbone, IN
103.239.64.0/23 #AS9830 SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS, IN
160.20.4.0/23 #AS9830 SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS, IN
163.227.198.0/23 #AS9830 SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS, IN
202.91.64.0/19 #AS9830 SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS, IN
203.175.185.0/24 #AS9836 HPCLMUMBAI-IN-AS-AP Hindustan Petroleum Corporation Limited, IN
23.32.176.0/22 #AS9885 NKN-INTERNET-GW NKN INTERNET GATEWAY NETWORK, IN
27.0.252.0/24 #AS9885 NKN-INTERNET-GW NKN INTERNET GATEWAY NETWORK, IN
202.62.116.0/23 #AS9941 RANBAXY-IN-AS Ranbaxy Laboratories Limited, IN
119.82.64.0/18 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
125.63.64.0/18 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.0.0/17 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.128.0/18 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.192.0/21 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.200.0/22 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.204.0/23 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.207.0/24 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.208.0/20 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
180.151.224.0/19 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.92.32.0/19 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.122.0.0/18 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.123.32.0/22 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.123.36.0/24 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.123.38.0/23 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
203.123.40.0/21 #AS10029 SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD, IN
192.175.48.1/32 #AS10077 TIKONAIN-AS Tikona Infinet Ltd., IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.139.6.0/24 #AS10123 FLYTXT-AS-AP Flytxt Mobile Solutions Pvt Ltd, IN
202.168.94.0/24 #AS10125 IGT-AS-AP IGT SOLUTIONS PRIVATE LIMITED, IN
14.141.140.0/24 #AS10199 TATA-AS Tata Communications Ltd, IN
59.161.0.0/16 #AS10199 TATA-AS Tata Communications Ltd, IN
115.117.0.0/16 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.10.0/23 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.39.0/24 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.67.0/24 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.79.0/24 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.101.0/24 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.102.0/23 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.112.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.140.0/22 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.172.0/22 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.200.0/22 #AS10199 TATA-AS Tata Communications Ltd, IN
115.118.240.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
121.244.10.0/23 #AS10199 TATA-AS Tata Communications Ltd, IN
121.244.12.0/22 #AS10199 TATA-AS Tata Communications Ltd, IN
121.244.16.0/22 #AS10199 TATA-AS Tata Communications Ltd, IN
121.244.20.0/23 #AS10199 TATA-AS Tata Communications Ltd, IN
121.245.32.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
121.245.64.0/19 #AS10199 TATA-AS Tata Communications Ltd, IN
121.245.96.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
121.245.144.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
121.245.160.0/19 #AS10199 TATA-AS Tata Communications Ltd, IN
219.64.160.0/20 #AS10199 TATA-AS Tata Communications Ltd, IN
103.104.70.0/23 #AS10215 MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India, IN
203.17.31.0/24 #AS10215 MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India, IN
203.31.8.0/23 #AS10215 MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India, IN
203.90.4.0/23 #AS10215 MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India, IN
202.41.0.0/23 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.64.0/22 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.68.0/23 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.71.0/24 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.72.0/21 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.80.0/23 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.82.0/24 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.84.0/22 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
202.53.88.0/21 #AS10225 NETTLINX-IN-AP Nettlinx Limited, IN
192.175.48.1/32 #AS10239 CMAX-AS Bharti Airtel Limited, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
38.9.60.0/23 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
38.9.62.0/24 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
38.10.108.0/22 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
38.134.140.0/23 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
38.188.108.0/24 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
38.188.110.0/23 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
45.112.52.0/22 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
103.51.116.0/22 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
103.91.88.0/22 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
103.97.196.0/24 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
110.173.176.0/20 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
203.115.96.0/19 #AS17426 PRIMENET-AS-AP Primesoftex Ltd, IN
103.60.4.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.83.12.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.87.40.0/22 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.147.155.0/24 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.166.216.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.167.202.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.168.48.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.169.234.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
103.217.73.0/24 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
203.27.235.0/24 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
203.171.210.0/23 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
203.189.92.0/24 #AS17436 ICICIBANK-AS ICICIBANK Ltd, Banking, Mumbai, IN
43.225.0.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
45.64.12.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
45.251.76.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
49.213.48.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.19.52.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.30.152.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.43.2.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.57.16.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.70.160.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.83.220.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.89.249.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.96.95.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.96.251.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.99.172.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.100.80.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.114.229.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.115.194.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.135.36.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.138.136.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.141.252.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.143.38.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.144.110.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.170.114.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.181.20.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.214.114.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.214.122.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.216.161.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.225.99.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.226.224.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.228.103.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.235.104.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
103.239.136.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
123.108.32.0/19 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
124.153.64.0/18 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
137.59.204.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
142.79.224.0/19 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
157.10.41.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
159.117.144.0/20 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
168.220.224.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
168.220.228.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
168.220.252.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
180.179.0.0/16 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
202.3.13.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
202.87.32.0/19 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.95.216.0/22 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.112.136.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.112.138.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.112.141.0/24 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.112.142.0/23 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
203.112.144.0/21 #AS17439 NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN
202.131.132.0/24 #AS17443 KARUTURI-IN Karuturi Telecom Pvt Ltd, IN
202.131.159.0/24 #AS17443 KARUTURI-IN Karuturi Telecom Pvt Ltd, IN
192.175.48.1/32 #AS17446 STI-IN Synchronoss Technologies India Private Limited, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.252.92.0/22 #AS17465 ASIANET Cable ISP in India, IN
103.233.64.0/22 #AS17465 ASIANET Cable ISP in India, IN
111.92.0.0/17 #AS17465 ASIANET Cable ISP in India, IN
116.68.64.0/18 #AS17465 ASIANET Cable ISP in India, IN
202.83.32.0/19 #AS17465 ASIANET Cable ISP in India, IN
202.88.224.0/19 #AS17465 ASIANET Cable ISP in India, IN
202.164.128.0/19 #AS17465 ASIANET Cable ISP in India, IN
8.19.113.0/24 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
58.2.16.0/20 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
58.2.128.0/19 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
124.4.44.0/24 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
124.4.120.0/22 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
124.4.200.0/22 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
124.4.248.0/22 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
182.94.236.0/22 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
182.94.240.0/24 #AS17466 GENPACT-AS-AP Genpact India Private Limited, IN
45.123.24.0/22 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
49.156.144.0/22 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
49.156.150.0/23 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
49.156.152.0/21 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
103.5.16.0/22 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
103.168.177.0/24 #AS17483 CITYON-AS-AP CityOnline Services Ltd, IN
