170.0.16.0/22 #AS27734 New Technologies Group N.V., SX
190.102.0.0/19 #AS27734 New Technologies Group N.V., SX
200.7.32.0/19 #AS27734 New Technologies Group N.V., SX
65.198.230.0/24 #AS27781 SMITCOMS N.V., SX
65.217.50.0/24 #AS27781 SMITCOMS N.V., SX
65.248.160.0/24 #AS27781 SMITCOMS N.V., SX
72.252.8.0/21 #AS27781 SMITCOMS N.V., SX
131.161.84.0/22 #AS27781 SMITCOMS N.V., SX
168.0.84.0/22 #AS27781 SMITCOMS N.V., SX
168.197.108.0/22 #AS27781 SMITCOMS N.V., SX
190.124.216.0/22 #AS27781 SMITCOMS N.V., SX
201.220.0.0/20 #AS27781 SMITCOMS N.V., SX
192.175.48.1/32 #AS27974 Association OCIX Open Caribbean Internet Exchange, SX - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
190.185.64.0/19 #AS262181 Coral Telecom N.V., SX
204.27.52.0/22 #AS262181 Coral Telecom N.V., SX
