81.18.224.0/20 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
88.85.32.0/19 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
178.19.192.0/20 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
185.74.208.0/22 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
193.34.104.0/22 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
198.137.136.0/22 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
212.55.32.0/19 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
217.172.80.0/20 #AS15389 FAROESE-TELECOM-AS P/F Telefonverkid, FO
185.171.172.0/22 #AS206928 PF-ELEKTRON P/F Elektron, FO
46.227.112.0/21 #AS20963 NEMA P/F 20.11.19, FO
80.77.128.0/20 #AS20963 NEMA P/F 20.11.19, FO
81.25.176.0/20 #AS20963 NEMA P/F 20.11.19, FO
185.88.228.0/22 #AS20963 NEMA P/F 20.11.19, FO
