210.110.198.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.110.205.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.110.206.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.110.224.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.110.232.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.110.235.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.110.236.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.110.254.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.114.104.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.114.108.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.192.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.117.194.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.198.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.208.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.117.212.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.214.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.117.216.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.117.224.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.117.228.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.117.230.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.236.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.117.240.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.117.248.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.117.252.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.20.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.36.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.40.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.119.48.0/20 #AS1237 KREONET-AS-KR KISTI, KR
210.119.64.0/19 #AS1237 KREONET-AS-KR KISTI, KR
210.119.96.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.119.100.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.114.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.122.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.124.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.119.126.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.125.0.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.125.32.0/20 #AS1237 KREONET-AS-KR KISTI, KR
210.125.56.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.125.64.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.125.84.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.218.192.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.218.201.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.218.202.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.218.204.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.218.208.0/21 #AS1237 KREONET-AS-KR KISTI, KR
210.218.216.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.219.32.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.34.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.219.36.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.219.40.0/23 #AS1237 KREONET-AS-KR KISTI, KR
210.219.42.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.45.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.47.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.48.0/22 #AS1237 KREONET-AS-KR KISTI, KR
210.219.52.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.55.0/24 #AS1237 KREONET-AS-KR KISTI, KR
210.219.56.0/21 #AS1237 KREONET-AS-KR KISTI, KR
211.213.190.0/24 #AS1237 KREONET-AS-KR KISTI, KR
218.233.7.0/24 #AS1237 KREONET-AS-KR KISTI, KR
218.234.156.0/24 #AS1237 KREONET-AS-KR KISTI, KR
137.68.64.0/18 #AS1704 KAIST-SEOUL-AS-KR Korea Advanced Institute of Science and Technology, KR
137.68.128.0/17 #AS1704 KAIST-SEOUL-AS-KR Korea Advanced Institute of Science and Technology, KR
210.107.145.0/24 #AS1704 KAIST-SEOUL-AS-KR Korea Advanced Institute of Science and Technology, KR
210.107.147.0/24 #AS1704 KAIST-SEOUL-AS-KR Korea Advanced Institute of Science and Technology, KR
137.68.0.0/18 #AS1781 KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR
143.248.0.0/16 #AS1781 KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR
192.249.16.0/20 #AS1781 KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR
210.107.128.0/20 #AS1781 KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR
202.30.36.0/23 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
203.253.132.0/23 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
203.253.134.0/24 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.218.193.0/24 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.218.198.0/23 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.218.200.0/24 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.218.220.0/22 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.219.43.0/24 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
210.219.44.0/24 #AS2385 KRIBB-AS-KR KRIBBKorea Research Institute of Bioscience Biotechnology, KR
114.70.156.0/23 #AS2563 SCU-AS-KR Seoul Christain University, KR
114.70.158.0/24 #AS2563 SCU-AS-KR Seoul Christain University, KR
192.175.48.1/32 #AS3357 VLAN24-AS-KR VLAN24, KR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
203.231.18.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
210.124.134.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.181.37.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.9.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.10.0/23 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.12.0/22 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.64.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.72.0/22 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.80.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
211.241.94.0/24 #AS3608 KRC-AS-KR Korea Rural Community Corporation, KR
192.175.48.1/32 #AS3757 TRAN-AS-KR Korea Telecom, KR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
141.223.0.0/16 #AS3784 POSTECH-AS-KR Pohang University of Science and Technology, KR
1.208.0.0/12 #AS3786 LGDACOM LG DACOM Corporation, KR
23.35.108.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
23.35.192.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
23.49.48.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
23.58.88.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
23.62.232.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
23.74.16.0/21 #AS3786 LGDACOM LG DACOM Corporation, KR
23.201.58.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
23.219.16.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.69.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.74.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.82.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.84.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.86.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
27.255.95.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
43.230.80.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
45.115.152.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
45.120.68.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
58.72.0.0/13 #AS3786 LGDACOM LG DACOM Corporation, KR
58.141.122.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
58.148.0.0/14 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.2.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
