197.159.26.0/23 #AS15964 CAMNET-AS CAMEROON TELECOMMUNICATIONS NETWORK, CM
197.159.29.0/24 #AS15964 CAMNET-AS CAMEROON TELECOMMUNICATIONS NETWORK, CM
197.159.30.0/23 #AS15964 CAMNET-AS CAMEROON TELECOMMUNICATIONS NETWORK, CM
102.132.16.0/22 #AS327820 SWECOM SWECOM PLC, CM
102.132.20.0/23 #AS327820 SWECOM SWECOM PLC, CM
102.132.24.0/21 #AS327820 SWECOM SWECOM PLC, CM
169.255.4.0/22 #AS327820 SWECOM SWECOM PLC, CM
196.216.212.0/24 #AS327820 SWECOM SWECOM PLC, CM
38.109.102.0/24 #AS328840 ST-DIGITAL-AS ST DIGITAL, CM
102.208.104.0/22 #AS328840 ST-DIGITAL-AS ST DIGITAL, CM
102.220.16.0/22 #AS328840 ST-DIGITAL-AS ST DIGITAL, CM
41.205.0.0/19 #AS30992 ORG-GNC2-RIPE-AS MTN Network Solutions (Cameroon), CM
129.0.0.0/16 #AS30992 ORG-GNC2-RIPE-AS MTN Network Solutions (Cameroon), CM
154.70.96.0/19 #AS30992 ORG-GNC2-RIPE-AS MTN Network Solutions (Cameroon), CM
196.202.232.0/21 #AS30992 ORG-GNC2-RIPE-AS MTN Network Solutions (Cameroon), CM
41.202.192.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.195.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.196.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.198.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.200.0/22 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.206.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.210.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.214.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
41.202.216.0/21 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.0.0/17 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.128.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.132.0/22 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.144.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.147.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.148.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.152.0/21 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.160.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.176.0/24 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.178.0/23 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.180.0/22 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.184.0/21 #AS36912 ORANGECM Orange Cameroun SA, CM
102.244.192.0/19 #AS36912 ORANGECM Orange Cameroun SA, CM
102.245.0.0/21 #AS36912 ORANGECM Orange Cameroun SA, CM
41.191.101.0/24 #AS37089 ALINK-CM-AS Sancfis Cameroun SA, CM
41.191.102.0/23 #AS37089 ALINK-CM-AS Sancfis Cameroun SA, CM
41.77.80.0/22 #AS327741 INFOGENIE-AS INFOGENIE Technologies, CM
41.77.84.0/24 #AS327741 INFOGENIE-AS INFOGENIE Technologies, CM
41.216.232.0/22 #AS37672 INQ-DIGITAL-CAMEROON INQ DIGITAL CAMEROON SA, CM
102.208.81.0/24 #AS37672 INQ-DIGITAL-CAMEROON INQ DIGITAL CAMEROON SA, CM
217.14.84.0/24 #AS37672 INQ-DIGITAL-CAMEROON INQ DIGITAL CAMEROON SA, CM
102.223.6.0/24 #AS328666 CAMPASS-PLC CAMPASS PLC, CM
