123.30.253.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.36.0/23 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.49.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.51.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.53.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.56.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.59.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.68.0/23 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.76.0/22 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.80.0/23 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.96.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.100.0/22 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.153.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.155.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
203.162.163.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.102.0/23 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.121.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.122.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.210.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.234.0/23 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.237.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
222.255.239.0/24 #AS7643 VNPT-AS-VN Vietnam Posts and Telecommunications VNPT, VN
1.52.0.0/14 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.32.74.0/24 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.173.8.0/23 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.193.188.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.196.68.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.202.89.0/24 #AS18403 FPT-AS-AP FPT Telecom Company, VN
23.208.160.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
42.112.0.0/13 #AS18403 FPT-AS-AP FPT Telecom Company, VN
43.239.148.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
58.186.0.0/15 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.35.64.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.39.92.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.156.10.0/23 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.156.12.0/23 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.156.30.0/23 #AS18403 FPT-AS-AP FPT Telecom Company, VN
103.156.32.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
113.22.0.0/16 #AS18403 FPT-AS-AP FPT Telecom Company, VN
113.23.0.0/17 #AS18403 FPT-AS-AP FPT Telecom Company, VN
118.68.0.0/14 #AS18403 FPT-AS-AP FPT Telecom Company, VN
144.48.20.0/22 #AS18403 FPT-AS-AP FPT Telecom Company, VN
151.242.217.0/24 #AS18403 FPT-AS-AP FPT Telecom Company, VN
183.80.0.0/16 #AS18403 FPT-AS-AP FPT Telecom Company, VN
183.81.0.0/17 #AS18403 FPT-AS-AP FPT Telecom Company, VN
203.191.8.0/21 #AS18403 FPT-AS-AP FPT Telecom Company, VN
210.245.0.0/17 #AS18403 FPT-AS-AP FPT Telecom Company, VN
218.100.60.0/24 #AS18403 FPT-AS-AP FPT Telecom Company, VN
192.175.48.1/32 #AS23707 ISC-HAN1 Internet Systems Consortium, VN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
117.122.120.0/22 #AS23899 VNIX-AS-VN Vietnam Internet network information center VNNIC, VN
203.119.8.0/22 #AS23902 VNNIC-AS-VN Vietnam Internet network information center VNNIC, VN
203.119.72.0/22 #AS23902 VNNIC-AS-VN Vietnam Internet network information center VNNIC, VN
192.175.48.1/32 #AS23914 OCIASVN OneConnection Internet Company, VN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
117.122.116.0/22 #AS23962 VNIX-AS-VN Vietnam Internet Network Information Center, VN
103.137.156.0/24 #AS23999 VNA-AS-VN Vietnam News Agency, VN
202.6.96.0/23 #AS23999 VNA-AS-VN Vietnam News Agency, VN
202.6.2.0/24 #AS24035 MOFA-AS-VN Ministry of Foreign Affairs of Vietnam - MOFA, VN
192.175.48.1/32 #AS24050 ISC-SGN1 Internet Systems Consortium, Inc., VN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
117.122.124.0/22 #AS24066 VNNIC-AS-VN Vietnam Internet Network Information Center, VN
203.119.36.0/22 #AS24066 VNNIC-AS-VN Vietnam Internet Network Information Center, VN
103.45.229.0/24 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
103.45.230.0/24 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
116.193.64.0/20 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
120.72.80.0/21 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
120.72.96.0/19 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
202.78.224.0/21 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
210.2.64.0/18 #AS24085 QTSC-AS-VN Quang Trung Software City Development Company, VN
103.84.76.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.97.24.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.97.56.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.97.96.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.97.208.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.97.224.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.4.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.8.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.16.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.96.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.116.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.136.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.144.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.160.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.98.214.0/23 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.8.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.24.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.128.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.152.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.168.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.184.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.192.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.99.224.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.3.0/24 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.4.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.8.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.16.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.32.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.64.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.80.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.96.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.132.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.136.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.144.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.160.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.192.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.224.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.232.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.100.240.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.101.48.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.101.65.0/24 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.101.66.0/23 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.101.248.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.0.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.64.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.96.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.128.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.168.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.176.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.192.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.102.208.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
