181.51.96.0/20 #AS10620 Telmex Colombia S.A., CO
181.51.112.0/23 #AS10620 Telmex Colombia S.A., CO
181.51.116.0/22 #AS10620 Telmex Colombia S.A., CO
181.51.120.0/21 #AS10620 Telmex Colombia S.A., CO
181.51.128.0/18 #AS10620 Telmex Colombia S.A., CO
181.51.192.0/22 #AS10620 Telmex Colombia S.A., CO
181.51.200.0/21 #AS10620 Telmex Colombia S.A., CO
181.51.208.0/20 #AS10620 Telmex Colombia S.A., CO
181.51.224.0/20 #AS10620 Telmex Colombia S.A., CO
181.51.240.0/22 #AS10620 Telmex Colombia S.A., CO
181.51.246.0/23 #AS10620 Telmex Colombia S.A., CO
181.51.248.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.52.16.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.24.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.34.0/23 #AS10620 Telmex Colombia S.A., CO
181.52.36.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.40.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.48.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.56.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.64.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.76.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.80.0/20 #AS10620 Telmex Colombia S.A., CO
181.52.96.0/20 #AS10620 Telmex Colombia S.A., CO
181.52.113.0/24 #AS10620 Telmex Colombia S.A., CO
181.52.114.0/23 #AS10620 Telmex Colombia S.A., CO
181.52.116.0/23 #AS10620 Telmex Colombia S.A., CO
181.52.118.0/24 #AS10620 Telmex Colombia S.A., CO
181.52.120.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.128.0/19 #AS10620 Telmex Colombia S.A., CO
181.52.160.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.168.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.172.0/23 #AS10620 Telmex Colombia S.A., CO
181.52.175.0/24 #AS10620 Telmex Colombia S.A., CO
181.52.176.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.184.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.52.209.0/24 #AS10620 Telmex Colombia S.A., CO
181.52.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.216.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.224.0/22 #AS10620 Telmex Colombia S.A., CO
181.52.232.0/21 #AS10620 Telmex Colombia S.A., CO
181.52.240.0/20 #AS10620 Telmex Colombia S.A., CO
181.53.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.53.16.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.18.0/23 #AS10620 Telmex Colombia S.A., CO
181.53.20.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.24.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.28.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.36.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.40.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.48.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.56.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.68.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.72.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.80.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.82.0/23 #AS10620 Telmex Colombia S.A., CO
181.53.84.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.92.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.96.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.99.0/24 #AS10620 Telmex Colombia S.A., CO
181.53.100.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.104.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.112.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.120.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.126.0/23 #AS10620 Telmex Colombia S.A., CO
181.53.128.0/21 #AS10620 Telmex Colombia S.A., CO
181.53.136.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.148.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.156.0/22 #AS10620 Telmex Colombia S.A., CO
181.53.160.0/19 #AS10620 Telmex Colombia S.A., CO
181.53.192.0/18 #AS10620 Telmex Colombia S.A., CO
181.54.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.54.16.0/21 #AS10620 Telmex Colombia S.A., CO
181.54.28.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.32.0/19 #AS10620 Telmex Colombia S.A., CO
181.54.64.0/19 #AS10620 Telmex Colombia S.A., CO
181.54.96.0/20 #AS10620 Telmex Colombia S.A., CO
181.54.112.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.120.0/21 #AS10620 Telmex Colombia S.A., CO
181.54.128.0/20 #AS10620 Telmex Colombia S.A., CO
181.54.144.0/21 #AS10620 Telmex Colombia S.A., CO
181.54.152.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.164.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.168.0/21 #AS10620 Telmex Colombia S.A., CO
181.54.176.0/20 #AS10620 Telmex Colombia S.A., CO
181.54.192.0/21 #AS10620 Telmex Colombia S.A., CO
181.54.201.0/24 #AS10620 Telmex Colombia S.A., CO
181.54.202.0/23 #AS10620 Telmex Colombia S.A., CO
181.54.204.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.220.0/22 #AS10620 Telmex Colombia S.A., CO
181.54.224.0/19 #AS10620 Telmex Colombia S.A., CO
181.55.4.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.12.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.16.0/20 #AS10620 Telmex Colombia S.A., CO
181.55.32.0/19 #AS10620 Telmex Colombia S.A., CO
181.55.64.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.72.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.80.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.88.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.92.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.94.0/23 #AS10620 Telmex Colombia S.A., CO
181.55.96.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.101.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.103.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.104.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.112.0/20 #AS10620 Telmex Colombia S.A., CO
181.55.128.0/20 #AS10620 Telmex Colombia S.A., CO
181.55.144.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.149.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.152.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.160.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.176.0/20 #AS10620 Telmex Colombia S.A., CO
181.55.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.55.208.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.220.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.224.0/21 #AS10620 Telmex Colombia S.A., CO
181.55.232.0/23 #AS10620 Telmex Colombia S.A., CO
181.55.235.0/24 #AS10620 Telmex Colombia S.A., CO
181.55.236.0/22 #AS10620 Telmex Colombia S.A., CO
181.55.240.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.16.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.22.0/23 #AS10620 Telmex Colombia S.A., CO
181.56.24.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.32.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.38.0/23 #AS10620 Telmex Colombia S.A., CO
181.56.40.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.52.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.56.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.64.0/19 #AS10620 Telmex Colombia S.A., CO
181.56.96.0/23 #AS10620 Telmex Colombia S.A., CO
181.56.98.0/24 #AS10620 Telmex Colombia S.A., CO
181.56.100.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.104.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.112.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.128.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.140.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.144.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.160.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.165.0/24 #AS10620 Telmex Colombia S.A., CO
181.56.166.0/23 #AS10620 Telmex Colombia S.A., CO
181.56.168.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.176.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.56.208.0/23 #AS10620 Telmex Colombia S.A., CO
181.56.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.56.216.0/21 #AS10620 Telmex Colombia S.A., CO
181.56.224.0/19 #AS10620 Telmex Colombia S.A., CO
181.57.0.0/24 #AS10620 Telmex Colombia S.A., CO
181.57.2.0/23 #AS10620 Telmex Colombia S.A., CO
181.57.4.0/22 #AS10620 Telmex Colombia S.A., CO
181.57.8.0/22 #AS10620 Telmex Colombia S.A., CO
181.57.16.0/24 #AS10620 Telmex Colombia S.A., CO
181.57.18.0/23 #AS10620 Telmex Colombia S.A., CO
181.57.20.0/22 #AS10620 Telmex Colombia S.A., CO
181.57.24.0/21 #AS10620 Telmex Colombia S.A., CO
181.57.32.0/21 #AS10620 Telmex Colombia S.A., CO
181.57.41.0/24 #AS10620 Telmex Colombia S.A., CO
181.57.48.0/21 #AS10620 Telmex Colombia S.A., CO
181.57.56.0/22 #AS10620 Telmex Colombia S.A., CO
181.57.64.0/20 #AS10620 Telmex Colombia S.A., CO
181.57.83.0/24 #AS10620 Telmex Colombia S.A., CO
181.57.84.0/22 #AS10620 Telmex Colombia S.A., CO
181.57.88.0/21 #AS10620 Telmex Colombia S.A., CO
181.57.96.0/21 #AS10620 Telmex Colombia S.A., CO
181.57.112.0/20 #AS10620 Telmex Colombia S.A., CO
181.57.248.0/21 #AS10620 Telmex Colombia S.A., CO
181.58.0.0/21 #AS10620 Telmex Colombia S.A., CO
181.58.10.0/23 #AS10620 Telmex Colombia S.A., CO
181.58.12.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.16.0/20 #AS10620 Telmex Colombia S.A., CO
181.58.32.0/19 #AS10620 Telmex Colombia S.A., CO
181.58.64.0/19 #AS10620 Telmex Colombia S.A., CO
181.58.96.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.104.0/21 #AS10620 Telmex Colombia S.A., CO
181.58.112.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.118.0/23 #AS10620 Telmex Colombia S.A., CO
181.58.120.0/23 #AS10620 Telmex Colombia S.A., CO
181.58.123.0/24 #AS10620 Telmex Colombia S.A., CO
181.58.124.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.128.0/19 #AS10620 Telmex Colombia S.A., CO
181.58.160.0/21 #AS10620 Telmex Colombia S.A., CO
181.58.172.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.176.0/21 #AS10620 Telmex Colombia S.A., CO
181.58.184.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.188.0/23 #AS10620 Telmex Colombia S.A., CO
181.58.191.0/24 #AS10620 Telmex Colombia S.A., CO
181.58.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.58.208.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.212.0/24 #AS10620 Telmex Colombia S.A., CO
181.58.214.0/23 #AS10620 Telmex Colombia S.A., CO
181.58.216.0/22 #AS10620 Telmex Colombia S.A., CO
181.58.224.0/19 #AS10620 Telmex Colombia S.A., CO
181.59.0.0/20 #AS10620 Telmex Colombia S.A., CO
181.59.16.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.24.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.29.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.30.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.32.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.48.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.56.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.60.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.62.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.64.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.76.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.80.0/20 #AS10620 Telmex Colombia S.A., CO
181.59.96.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.103.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.104.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.112.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.114.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.116.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.120.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.124.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.126.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.128.0/20 #AS10620 Telmex Colombia S.A., CO
181.59.144.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.148.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.151.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.152.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.160.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.168.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.176.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.184.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.186.0/24 #AS10620 Telmex Colombia S.A., CO
181.59.188.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.192.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.200.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.208.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.212.0/23 #AS10620 Telmex Colombia S.A., CO
181.59.216.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.224.0/22 #AS10620 Telmex Colombia S.A., CO
181.59.232.0/21 #AS10620 Telmex Colombia S.A., CO
181.59.240.0/20 #AS10620 Telmex Colombia S.A., CO
181.60.0.0/19 #AS10620 Telmex Colombia S.A., CO
181.60.33.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.34.0/23 #AS10620 Telmex Colombia S.A., CO
181.60.36.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.40.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.48.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.57.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.58.0/23 #AS10620 Telmex Colombia S.A., CO
181.60.60.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.62.0/23 #AS10620 Telmex Colombia S.A., CO
181.60.64.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.68.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.72.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.80.0/20 #AS10620 Telmex Colombia S.A., CO
181.60.96.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.104.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.112.0/20 #AS10620 Telmex Colombia S.A., CO
181.60.128.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.132.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.136.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.144.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.156.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.160.0/19 #AS10620 Telmex Colombia S.A., CO
181.60.192.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.196.0/23 #AS10620 Telmex Colombia S.A., CO
181.60.200.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.208.0/21 #AS10620 Telmex Colombia S.A., CO
181.60.224.0/24 #AS10620 Telmex Colombia S.A., CO
181.60.228.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.232.0/22 #AS10620 Telmex Colombia S.A., CO
181.60.240.0/20 #AS10620 Telmex Colombia S.A., CO
181.61.0.0/18 #AS10620 Telmex Colombia S.A., CO
181.61.64.0/19 #AS10620 Telmex Colombia S.A., CO
181.61.96.0/20 #AS10620 Telmex Colombia S.A., CO
181.61.112.0/21 #AS10620 Telmex Colombia S.A., CO
181.61.124.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.128.0/20 #AS10620 Telmex Colombia S.A., CO
181.61.144.0/21 #AS10620 Telmex Colombia S.A., CO
181.61.152.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.160.0/23 #AS10620 Telmex Colombia S.A., CO
181.61.168.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.176.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.180.0/24 #AS10620 Telmex Colombia S.A., CO
181.61.186.0/23 #AS10620 Telmex Colombia S.A., CO
181.61.188.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.61.208.0/21 #AS10620 Telmex Colombia S.A., CO
181.61.220.0/23 #AS10620 Telmex Colombia S.A., CO
181.61.222.0/24 #AS10620 Telmex Colombia S.A., CO
181.61.224.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.236.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.240.0/22 #AS10620 Telmex Colombia S.A., CO
181.61.245.0/24 #AS10620 Telmex Colombia S.A., CO
181.61.246.0/23 #AS10620 Telmex Colombia S.A., CO
181.61.248.0/24 #AS10620 Telmex Colombia S.A., CO
181.61.250.0/23 #AS10620 Telmex Colombia S.A., CO
181.61.252.0/24 #AS10620 Telmex Colombia S.A., CO
181.61.254.0/23 #AS10620 Telmex Colombia S.A., CO
181.62.0.0/19 #AS10620 Telmex Colombia S.A., CO
181.62.32.0/20 #AS10620 Telmex Colombia S.A., CO
181.62.48.0/24 #AS10620 Telmex Colombia S.A., CO
181.62.50.0/23 #AS10620 Telmex Colombia S.A., CO
181.62.52.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.56.0/21 #AS10620 Telmex Colombia S.A., CO
181.62.128.0/19 #AS10620 Telmex Colombia S.A., CO
181.62.161.0/24 #AS10620 Telmex Colombia S.A., CO
181.62.162.0/23 #AS10620 Telmex Colombia S.A., CO
181.62.164.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.168.0/21 #AS10620 Telmex Colombia S.A., CO
181.62.176.0/20 #AS10620 Telmex Colombia S.A., CO
181.62.192.0/20 #AS10620 Telmex Colombia S.A., CO
181.62.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.216.0/21 #AS10620 Telmex Colombia S.A., CO
181.62.224.0/23 #AS10620 Telmex Colombia S.A., CO
181.62.228.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.236.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.244.0/22 #AS10620 Telmex Colombia S.A., CO
181.62.248.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.0.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.12.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.20.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.24.0/23 #AS10620 Telmex Colombia S.A., CO
181.63.26.0/24 #AS10620 Telmex Colombia S.A., CO
181.63.28.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.44.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.48.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.56.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.64.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.72.0/23 #AS10620 Telmex Colombia S.A., CO
181.63.74.0/24 #AS10620 Telmex Colombia S.A., CO
181.63.76.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.80.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.88.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.96.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.108.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.112.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.120.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.128.0/20 #AS10620 Telmex Colombia S.A., CO
181.63.144.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.152.0/24 #AS10620 Telmex Colombia S.A., CO
181.63.164.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.168.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.176.0/20 #AS10620 Telmex Colombia S.A., CO
181.63.192.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.200.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.212.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.218.0/23 #AS10620 Telmex Colombia S.A., CO
181.63.228.0/22 #AS10620 Telmex Colombia S.A., CO
181.63.232.0/21 #AS10620 Telmex Colombia S.A., CO
181.63.240.0/20 #AS10620 Telmex Colombia S.A., CO
186.80.4.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.16.0/24 #AS10620 Telmex Colombia S.A., CO
186.80.20.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.25.0/24 #AS10620 Telmex Colombia S.A., CO
186.80.26.0/23 #AS10620 Telmex Colombia S.A., CO
186.80.28.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.32.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.40.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.48.0/20 #AS10620 Telmex Colombia S.A., CO
186.80.64.0/20 #AS10620 Telmex Colombia S.A., CO
186.80.80.0/23 #AS10620 Telmex Colombia S.A., CO
186.80.83.0/24 #AS10620 Telmex Colombia S.A., CO
186.80.84.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.88.0/23 #AS10620 Telmex Colombia S.A., CO
186.80.91.0/24 #AS10620 Telmex Colombia S.A., CO
186.80.100.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.104.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.112.0/20 #AS10620 Telmex Colombia S.A., CO
186.80.132.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.136.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.144.0/20 #AS10620 Telmex Colombia S.A., CO
186.80.160.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.168.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.180.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.184.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.192.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.200.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.208.0/23 #AS10620 Telmex Colombia S.A., CO
186.80.211.0/24 #AS10620 Telmex Colombia S.A., CO
186.80.212.0/22 #AS10620 Telmex Colombia S.A., CO
186.80.216.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.230.0/23 #AS10620 Telmex Colombia S.A., CO
186.80.232.0/21 #AS10620 Telmex Colombia S.A., CO
186.80.240.0/20 #AS10620 Telmex Colombia S.A., CO
186.81.0.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.24.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.32.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.36.0/23 #AS10620 Telmex Colombia S.A., CO
186.81.38.0/24 #AS10620 Telmex Colombia S.A., CO
186.81.40.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.48.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.52.0/23 #AS10620 Telmex Colombia S.A., CO
186.81.54.0/24 #AS10620 Telmex Colombia S.A., CO
186.81.56.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.66.0/23 #AS10620 Telmex Colombia S.A., CO
186.81.68.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.72.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.80.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.88.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.96.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.100.0/23 #AS10620 Telmex Colombia S.A., CO
186.81.104.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.112.0/20 #AS10620 Telmex Colombia S.A., CO
186.81.128.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.136.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.144.0/20 #AS10620 Telmex Colombia S.A., CO
186.81.160.0/20 #AS10620 Telmex Colombia S.A., CO
186.81.176.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.184.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.192.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.200.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.208.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.216.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.224.0/21 #AS10620 Telmex Colombia S.A., CO
186.81.236.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.240.0/22 #AS10620 Telmex Colombia S.A., CO
186.81.248.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.0.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.8.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.16.0/20 #AS10620 Telmex Colombia S.A., CO
186.82.32.0/20 #AS10620 Telmex Colombia S.A., CO
186.82.48.0/23 #AS10620 Telmex Colombia S.A., CO
186.82.51.0/24 #AS10620 Telmex Colombia S.A., CO
186.82.52.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.56.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.64.0/19 #AS10620 Telmex Colombia S.A., CO
186.82.96.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.100.0/23 #AS10620 Telmex Colombia S.A., CO
186.82.102.0/24 #AS10620 Telmex Colombia S.A., CO
186.82.104.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.112.0/20 #AS10620 Telmex Colombia S.A., CO
186.82.128.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.140.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.148.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.152.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.160.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.168.0/22 #AS10620 Telmex Colombia S.A., CO
186.82.176.0/20 #AS10620 Telmex Colombia S.A., CO
186.82.192.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.216.0/23 #AS10620 Telmex Colombia S.A., CO
186.82.218.0/24 #AS10620 Telmex Colombia S.A., CO
186.82.232.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.240.0/21 #AS10620 Telmex Colombia S.A., CO
186.82.248.0/22 #AS10620 Telmex Colombia S.A., CO
186.83.0.0/21 #AS10620 Telmex Colombia S.A., CO
186.83.8.0/23 #AS10620 Telmex Colombia S.A., CO
186.83.18.0/23 #AS10620 Telmex Colombia S.A., CO
186.83.20.0/22 #AS10620 Telmex Colombia S.A., CO
186.83.32.0/22 #AS10620 Telmex Colombia S.A., CO
186.83.40.0/21 #AS10620 Telmex Colombia S.A., CO
186.83.48.0/20 #AS10620 Telmex Colombia S.A., CO
186.83.64.0/23 #AS10620 Telmex Colombia S.A., CO
186.83.66.0/24 #AS10620 Telmex Colombia S.A., CO
186.83.72.0/21 #AS10620 Telmex Colombia S.A., CO
186.83.80.0/20 #AS10620 Telmex Colombia S.A., CO
