179.33.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.32.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.33.0.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.33.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.33.192.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.8.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.12.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.18.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.20.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.24.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.28.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.35.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.36.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.174.48.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.192.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.234.0.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.234.64.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.234.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.234.192.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.235.0.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.235.64.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
