62.212.232.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.239.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.240.0/23 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.249.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.251.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.252.0/23 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
62.212.254.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.2.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.6.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.20.0/22 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.60.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.74.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.77.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.80.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.82.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.90.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.112.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.125.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
85.132.126.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.10.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.17.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.50.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.91.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.152.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.154.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.158.0/23 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.163.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.177.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.184.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.200.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.222.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.241.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.250.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
94.20.252.0/24 #AS29049 DELTA-TELECOM-AS Delta Telecom Ltd, AZ
109.237.124.0/22 #AS203680 ARAZTECH Araz Tech LLC, AZ
130.0.12.0/22 #AS203680 ARAZTECH Araz Tech LLC, AZ
185.47.4.0/23 #AS203680 ARAZTECH Araz Tech LLC, AZ
185.47.6.0/24 #AS203680 ARAZTECH Araz Tech LLC, AZ
185.77.248.0/24 #AS203680 ARAZTECH Araz Tech LLC, AZ
193.143.231.0/24 #AS203680 ARAZTECH Araz Tech LLC, AZ
194.39.184.0/24 #AS203680 ARAZTECH Araz Tech LLC, AZ
194.39.243.0/24 #AS203680 ARAZTECH Araz Tech LLC, AZ
188.65.162.0/24 #AS215328 FASTNET Fast Net Technology LLC, AZ
5.197.0.0/16 #AS57293 AG-TELECOM-KATV1 AG Telekom MMC., AZ
149.255.144.0/20 #AS57293 AG-TELECOM-KATV1 AG Telekom MMC., AZ
185.146.112.0/22 #AS57293 AG-TELECOM-KATV1 AG Telekom MMC., AZ
89.37.16.0/21 #AS215858 DELTA-TELECOM-DC Delta Telecom Ltd, AZ
185.118.48.0/22 #AS203971 AZFIBERNET-ASN AzFiberNet LLC, AZ
185.222.92.0/22 #AS203971 AZFIBERNET-ASN AzFiberNet LLC, AZ
217.179.126.0/24 #AS203971 AZFIBERNET-ASN AzFiberNet LLC, AZ
193.41.128.0/24 #AS213379 AS-XB Xalq Bank OJSC, AZ
94.20.83.0/24 #AS209089 AZAL Azerbaijan Airlines Closed Joint Stock Company, AZ
94.20.92.0/24 #AS209089 AZAL Azerbaijan Airlines Closed Joint Stock Company, AZ
46.22.225.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
46.22.226.0/23 #AS211995 A2Z A2Z Technologies CJSC, AZ
46.22.228.0/22 #AS211995 A2Z A2Z Technologies CJSC, AZ
46.22.232.0/21 #AS211995 A2Z A2Z Technologies CJSC, AZ
46.28.237.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
91.191.194.0/23 #AS211995 A2Z A2Z Technologies CJSC, AZ
91.191.196.0/22 #AS211995 A2Z A2Z Technologies CJSC, AZ
91.191.200.0/22 #AS211995 A2Z A2Z Technologies CJSC, AZ
91.191.204.0/23 #AS211995 A2Z A2Z Technologies CJSC, AZ
109.237.112.0/23 #AS211995 A2Z A2Z Technologies CJSC, AZ
109.237.115.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
109.237.116.0/22 #AS211995 A2Z A2Z Technologies CJSC, AZ
109.237.120.0/23 #AS211995 A2Z A2Z Technologies CJSC, AZ
109.237.123.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
130.0.11.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
185.55.36.0/22 #AS211995 A2Z A2Z Technologies CJSC, AZ
185.77.3.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
185.136.207.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
185.233.35.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
194.164.222.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
195.26.9.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
213.142.158.0/24 #AS211995 A2Z A2Z Technologies CJSC, AZ
46.32.175.0/24 #AS216259 BLINE-AS BLINE LLC, AZ
37.32.64.0/22 #AS57675 SEANET Seabak LLC, AZ
37.32.68.0/23 #AS57675 SEANET Seabak LLC, AZ
37.32.70.0/24 #AS57675 SEANET Seabak LLC, AZ
37.18.58.0/24 #AS203622 GSP GSP LLC, AZ
37.32.72.0/24 #AS203622 GSP GSP LLC, AZ
46.32.160.0/23 #AS203622 GSP GSP LLC, AZ
46.32.164.0/22 #AS203622 GSP GSP LLC, AZ
46.32.170.0/23 #AS203622 GSP GSP LLC, AZ
46.32.172.0/24 #AS203622 GSP GSP LLC, AZ
46.32.189.0/24 #AS203622 GSP GSP LLC, AZ
46.32.190.0/23 #AS203622 GSP GSP LLC, AZ
185.26.184.0/22 #AS203622 GSP GSP LLC, AZ
185.129.0.0/22 #AS203622 GSP GSP LLC, AZ
31.171.39.0/24 #AS200196 AZERLINK Azerlink LLC, AZ
5.178.1.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
5.178.4.0/22 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
5.178.9.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
5.178.10.0/23 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
5.178.12.0/22 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
46.23.100.0/22 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
46.23.111.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
62.217.128.0/22 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
62.217.132.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
62.217.134.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
62.217.138.0/24 #AS15723 AZERONLINE AZERONLINE LTD JOINT ENTERPRISE, AZ
