148.64.60.0/23 #AS395916 THDTEL - THDTEL, MF
158.222.40.0/24 #AS395916 THDTEL - THDTEL, MF
192.139.192.0/24 #AS393894 MSR-CABLE-TV - MSR PRIVATE CABLE TV, MF
192.175.48.1/32 #AS1007 SMART-IX-ROUTE-SERVERS - Collectivite-de-Saint-Martin, MF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS40573 SBT - FLASHNET, MF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS985 SMART-IX-SERVICES - Collectivite-de-Saint-Martin, MF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS988 COMPUTECH-ASN - Computer Technologies, MF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.145.144.0/22 #AS393894 MSR-CABLE-TV - MSR PRIVATE CABLE TV, MF
45.15.196.0/22 #AS393894 MSR-CABLE-TV - MSR PRIVATE CABLE TV, MF
45.80.100.0/22 #AS393894 MSR-CABLE-TV - MSR PRIVATE CABLE TV, MF
