45.159.72.0/24 #AS50250 ASAEB ARMECONOMBANK OJSC, AM
82.39.190.0/24 #AS213134 DIGITAIN DIGITAIN LLC, AM
91.201.196.0/24 #AS213134 DIGITAIN DIGITAIN LLC, AM
154.51.2.0/23 #AS213134 DIGITAIN DIGITAIN LLC, AM
45.143.206.0/24 #AS205293 RAYONLINE RAYONLINE LLC, AM
109.75.32.0/23 #AS197834 INTERACTIVE Ucom CJSC, AM
176.32.192.0/21 #AS197834 INTERACTIVE Ucom CJSC, AM
91.239.85.0/24 #AS34492 MEDIALIFE-AS MEDIA LIFE LLC, AM
176.113.118.0/24 #AS34492 MEDIALIFE-AS MEDIA LIFE LLC, AM
185.92.84.0/22 #AS200896 ARMINCO-AS Arpinet LLC, AM
185.69.221.0/24 #AS205261 STARROKETS-AS STARROKETS LLC, AM
38.191.248.0/22 #AS215421 LIKENET LikeNet LLC, AM
46.36.123.0/24 #AS215421 LIKENET LikeNet LLC, AM
193.177.240.0/24 #AS215421 LIKENET LikeNet LLC, AM
5.39.204.0/22 #AS56561 AS-CBA Central Bank of the Republic of Armenia, AM
37.26.168.0/21 #AS47623 IIAP-ASNET-AS Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of Armenia, AM
93.187.160.0/21 #AS47623 IIAP-ASNET-AS Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of Armenia, AM
185.127.64.0/22 #AS47623 IIAP-ASNET-AS Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of Armenia, AM
195.225.234.0/23 #AS47623 IIAP-ASNET-AS Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of Armenia, AM
89.106.95.0/24 #AS201039 HOSTER Manushak Galoyan, AM
94.249.175.0/24 #AS201039 HOSTER Manushak Galoyan, AM
5.77.192.0/18 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.209.0/24 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.210.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.212.0/22 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.216.0/22 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.220.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.157.223.0/24 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
37.252.64.0/19 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.36.112.0/21 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.36.120.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.192.0/21 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.200.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.203.0/24 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.204.0/22 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.209.0/24 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.162.224.0/19 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
46.241.128.0/17 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
81.16.0.0/20 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
82.199.192.0/21 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
92.43.136.0/21 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
109.75.34.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
109.75.36.0/22 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
109.75.40.0/21 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
141.136.64.0/19 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
178.78.128.0/18 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
185.59.68.0/22 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
185.86.195.0/24 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
188.115.192.0/19 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
188.115.224.0/23 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
212.34.224.0/19 #AS44395 ORG-UL31-RIPE Ucom CJSC, AM
83.139.3.0/24 #AS209176 EKENG EKENG CJSC, AM
2.56.204.0/22 #AS216058 PROITLAB-AS Proitlab LLC, AM
91.195.254.0/23 #AS216058 PROITLAB-AS Proitlab LLC, AM
91.198.108.0/23 #AS216058 PROITLAB-AS Proitlab LLC, AM
91.217.157.0/24 #AS51493 E-HEALTH National Ehealth Operator CJSC, AM
217.113.28.0/24 #AS210677 AM-ISPSUPPORT ISP SUPPORT LLC, AM
83.139.46.0/23 #AS197497 RA-GOV OFFICE OF THE PRIME-MINISTER OF THE REPUBLIC OF ARMENIA STATE BODY, AM
91.221.228.0/23 #AS197497 RA-GOV OFFICE OF THE PRIME-MINISTER OF THE REPUBLIC OF ARMENIA STATE BODY, AM
81.89.221.0/24 #AS215644 ITG Crossnet LLC, AM
45.133.104.0/24 #AS214869 YOTTA-NETWORK Yotta Network LLC, AM
5.101.36.0/22 #AS201589 EDGEAMLLC EDGEAM LLC, AM
5.101.71.0/24 #AS201589 EDGEAMLLC EDGEAM LLC, AM
31.184.232.0/23 #AS201589 EDGEAMLLC EDGEAM LLC, AM
31.184.235.0/24 #AS201589 EDGEAMLLC EDGEAM LLC, AM
91.108.187.0/24 #AS201589 EDGEAMLLC EDGEAM LLC, AM
185.238.152.0/24 #AS201589 EDGEAMLLC EDGEAM LLC, AM
217.113.17.0/24 #AS201363 YOURNET YOURnet LLC, AM
45.133.107.0/24 #AS216086 ARTNET ART-NET LLC, AM
185.247.0.0/23 #AS207081 INTERNET Bargavachokh Tsantser LLC, AM
185.247.2.0/24 #AS207081 INTERNET Bargavachokh Tsantser LLC, AM
91.196.36.0/22 #AS42991 HNET-AS BioNet LLC, AM
91.204.188.0/22 #AS42991 HNET-AS BioNet LLC, AM
195.28.188.0/24 #AS42991 HNET-AS BioNet LLC, AM
217.113.30.0/24 #AS42991 HNET-AS BioNet LLC, AM
91.205.196.0/23 #AS39344 AM-SS-AS SMAYL SISTEMS LLC, AM
185.3.190.0/24 #AS204241 BYBLOS-AS Byblos Armenian Bank CJSC, AM
80.86.238.0/24 #AS199620 ASN-A-NET-PROVIDING Regionnet LLC, AM
91.228.249.0/24 #AS214977 AB-AS Artsakhbank CJSC, AM
194.11.239.0/24 #AS214977 AB-AS Artsakhbank CJSC, AM
45.15.148.0/22 #AS48675 DELTATELECOM Diananet LLC, AM
185.177.104.0/22 #AS48675 DELTATELECOM Diananet LLC, AM
195.8.50.0/23 #AS48675 DELTATELECOM Diananet LLC, AM
46.182.175.0/24 #AS48861 APAGA Fnet LLC, AM
195.88.66.0/23 #AS48861 APAGA Fnet LLC, AM
217.113.20.0/23 #AS209262 GSLINE GSLINE LLC, AM
91.218.4.0/22 #AS51225 ARMIX Armenian internet traffic exchange 'Armix' foundation, AM
217.113.24.0/24 #AS209778 ARMCOM Armcom LLC, AM
83.139.22.0/24 #AS200205 MTS-ARMENIA-AS-5 Viva Armenia CJSC, AM
5.175.194.0/24 #AS198767 NET-BIND-AM Antranik Wartanian, AM
37.186.80.0/22 #AS6682 GNC-ALFA GNC-Alfa CJSC, AM
195.91.142.0/23 #AS42031 PLUSTELECOM-AS GLOBALTECH LLC, AM
217.113.25.0/24 #AS198265 I-NET I-NET LLC, AM
89.106.206.0/24 #AS202269 BITCOMMAND BitCommand LLC, AM
185.110.188.0/23 #AS202269 BITCOMMAND BitCommand LLC, AM
185.110.190.0/24 #AS202269 BITCOMMAND BitCommand LLC, AM
185.208.172.0/23 #AS202269 BITCOMMAND BitCommand LLC, AM
185.239.1.0/24 #AS202269 BITCOMMAND BitCommand LLC, AM
194.26.195.0/24 #AS202269 BITCOMMAND BitCommand LLC, AM
195.248.240.0/22 #AS202269 BITCOMMAND BitCommand LLC, AM
31.47.197.0/24 #AS57849 FLEXTECH Flex Tech LLC, AM
185.149.140.0/24 #AS44778 EIF Enterprise Incubator Foundation, AM
185.149.143.0/24 #AS44778 EIF Enterprise Incubator Foundation, AM
195.191.154.0/23 #AS50623 INFOTECH Infotech LLC, AM
91.103.58.0/24 #AS199062 AS-SOFT-CONSTRUCT-CJSC SOFT CONSTRUCT CJSC, AM
195.43.75.0/24 #AS51354 AM-TLD-ANYCAST-AS Internet Society Public Organisation, AM
185.44.230.0/23 #AS206543 CAB-AS Cabarco LLC, AM
91.205.198.0/24 #AS204267 HOMENET-LLC Homenet LLC, AM
195.191.186.0/23 #AS50635 SKYNETTELECOMLLC Skynet Telecom LLC, AM
217.113.10.0/23 #AS50635 SKYNETTELECOMLLC Skynet Telecom LLC, AM
81.89.208.0/20 #AS39863 CROSSNET Crossnet LLC, AM
185.44.228.0/23 #AS56974 SRC-OF-RA-AS State Revenue Committee of the Republic of Armenia, AM
83.139.21.0/24 #AS204620 EVOCABANK EVOCABANK CJSC, AM
45.133.106.0/24 #AS216400 NETX FOR UNITY LLC, AM
46.70.192.0/20 #AS51693 FIREBIRD-AS-51693 Supercom LLC, AM
178.213.128.0/21 #AS51693 FIREBIRD-AS-51693 Supercom LLC, AM
91.223.82.0/24 #AS199968 IWSNET IWS NETWORKS LLC, AM
185.7.33.0/24 #AS199968 IWSNET IWS NETWORKS LLC, AM
91.205.199.0/24 #AS212898 MEGANETHD Meganet HD LLC, AM
91.231.200.0/24 #AS210315 REALTIMEAS Arpinet LLC, AM
91.231.202.0/23 #AS210315 REALTIMEAS Arpinet LLC, AM
195.88.254.0/24 #AS210315 REALTIMEAS Arpinet LLC, AM
45.143.204.0/22 #AS208339 UTC-LLC UTC LLC, AM
82.199.201.0/24 #AS205605 ID-PROCESSING ID Processing LLC, AM
46.70.255.0/24 #AS201063 AMERIA-AS Ameriabank CJSC, AM
