63.174.212.0/24 #AS27470 AS27470 Unknown AS 27470, XX
192.188.121.0/24 #AS1115 AUSTRIAN-ACADEMY-OF-SCIENCES Austrian Academy of Sciences, XX
185.253.150.0/24 #AS210242 YRA-NN Game Insight UAB, XX
138.232.0.0/16 #AS1110 UNIVERSITY-OF-INNSBRUCK University of Innsbruck, XX
193.227.234.0/23 #AS250 SACREDCHAO-AS AS250.net Foundation, XX
194.150.168.0/23 #AS250 SACREDCHAO-AS AS250.net Foundation, XX
195.85.254.0/24 #AS250 SACREDCHAO-AS AS250.net Foundation, XX
195.245.114.0/23 #AS250 SACREDCHAO-AS AS250.net Foundation, XX
192.83.68.0/24 #AS1732 MIKROK-AS Mikrokonsultit Oy, XX
132.165.0.0/16 #AS777 CEA-SACLAY CEA-Saclay, XX
132.168.0.0/15 #AS777 CEA-SACLAY CEA-Saclay, XX
192.33.158.0/24 #AS777 CEA-SACLAY CEA-Saclay, XX
192.54.143.0/24 #AS777 CEA-SACLAY CEA-Saclay, XX
192.54.205.0/24 #AS777 CEA-SACLAY CEA-Saclay, XX
192.54.206.0/23 #AS777 CEA-SACLAY CEA-Saclay, XX
192.54.208.0/23 #AS777 CEA-SACLAY CEA-Saclay, XX
192.93.124.0/24 #AS777 CEA-SACLAY CEA-Saclay, XX
8.44.177.0/24 #AS40276 RISKMGMT-NJ Risk Management Solutions, Inc., XX
185.156.165.0/24 #AS40276 RISKMGMT-NJ Risk Management Solutions, Inc., XX
163.5.198.0/24 #AS395517 REDTEAM Red Team LTD, XX
162.222.68.0/22 #AS398869 ALLIANCE-COMMUNICATIONS Alliance Communications, XX
103.119.184.0/23 #AS150015 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
103.121.66.0/23 #AS150015 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
192.227.0.0/24 #AS394818 Y-E-C-1 YRCI, XX
103.142.20.0/24 #AS151574 IDNIC-KDI-CORENET-ID PT Korina Data Indonesia, XX
66.43.24.0/23 #AS36175 MYFAM-DC1 Myfamily.com, Inc., XX
66.43.27.0/24 #AS36175 MYFAM-DC1 Myfamily.com, Inc., XX
66.43.29.0/24 #AS36175 MYFAM-DC1 Myfamily.com, Inc., XX
209.37.214.0/24 #AS40171 SUNPOWERCORP SunPower Corporation, XX
208.80.184.0/21 #AS40125 CYBERNET-ENTERTAINMENT Cybernet Entertainment, LLC, XX
37.60.192.0/21 #AS1126 VANCIS Vancis Advanced ICT Services, XX
85.90.64.0/19 #AS1126 VANCIS Vancis Advanced ICT Services, XX
185.33.68.0/22 #AS1126 VANCIS Vancis Advanced ICT Services, XX
