41.76.16.0/21 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
41.191.200.0/21 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
156.0.0.0/18 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
197.189.128.0/18 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
197.231.32.0/19 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
197.254.128.0/18 #AS37057 VODACOM-LESOTHO Vodacom Lesotho (Pty) Ltd, LS
64.57.112.0/20 #AS25695 LEO Leo (PTY) LTD, LS
41.203.176.0/20 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
129.232.0.0/17 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
196.4.255.0/24 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
196.202.240.0/21 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
197.155.192.0/20 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
197.220.128.0/19 #AS33567 TELECOM-LESOTHO TELECOM-LESOTHO, LS
154.66.108.0/22 #AS37642 COMNET-LESOTHO-AS Comnet Pty Ltd, LS
102.36.240.0/22 #AS328567 LEC-COMMUNICATIONS LEC Communications (Pty) Ltd, LS
