45.116.179.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.117.230.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.120.28.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.120.31.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.120.52.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.121.144.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.204.17.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.204.20.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
45.207.32.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
59.153.148.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.97.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.98.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.100.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.104.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.109.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.110.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.112.0/21 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.120.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.122.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.124.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
61.4.126.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
63.135.160.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
82.163.22.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
89.116.140.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
93.186.68.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
98.159.106.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
102.211.234.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.4.28.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.9.51.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.9.148.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.15.104.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.15.107.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.20.240.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.21.88.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.23.46.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.27.74.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.35.116.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.35.118.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.35.148.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.60.108.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.71.176.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.75.188.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.81.162.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.85.108.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.85.110.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.86.122.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.91.64.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.92.144.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.100.152.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.106.249.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.106.250.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.113.8.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.117.141.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.144.139.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.154.232.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.159.132.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.166.118.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.169.90.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.175.16.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.187.26.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.190.124.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.195.143.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.204.4.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.205.208.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.212.68.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.228.52.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.229.64.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.230.144.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.230.147.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.232.84.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.232.136.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.243.212.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.244.0.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.246.112.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.246.114.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
