192.175.48.1/32 #AS711 SB-COMM-AS - Torrejon Air Base, ES - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
89.29.230.0/24 #AS3339 FIBRAWORLD-AS, ES
89.29.240.0/22 #AS3339 FIBRAWORLD-AS, ES
91.200.244.0/22 #AS3339 FIBRAWORLD-AS, ES
176.57.100.0/22 #AS3339 FIBRAWORLD-AS, ES
176.97.224.0/22 #AS3339 FIBRAWORLD-AS, ES
185.64.241.0/24 #AS3339 FIBRAWORLD-AS, ES
185.72.12.0/22 #AS3339 FIBRAWORLD-AS, ES
185.73.188.0/22 #AS3339 FIBRAWORLD-AS, ES
185.95.56.0/22 #AS3339 FIBRAWORLD-AS, ES
185.177.168.0/22 #AS3339 FIBRAWORLD-AS, ES
185.209.120.0/22 #AS3339 FIBRAWORLD-AS, ES
185.233.76.0/22 #AS3339 FIBRAWORLD-AS, ES
185.255.104.0/22 #AS3339 FIBRAWORLD-AS, ES
192.145.40.0/22 #AS3339 FIBRAWORLD-AS, ES
193.26.148.0/22 #AS3339 FIBRAWORLD-AS, ES
213.181.64.0/24 #AS3339 FIBRAWORLD-AS, ES
213.181.66.0/23 #AS3339 FIBRAWORLD-AS, ES
213.181.68.0/23 #AS3339 FIBRAWORLD-AS, ES
213.181.82.0/23 #AS3339 FIBRAWORLD-AS, ES
213.181.95.0/24 #AS3339 FIBRAWORLD-AS, ES
2.136.0.0/13 #AS3352 TELEFONICA_DE_ESPANA, ES
5.45.8.0/21 #AS3352 TELEFONICA_DE_ESPANA, ES
5.205.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
37.10.128.0/17 #AS3352 TELEFONICA_DE_ESPANA, ES
37.12.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
37.158.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
45.148.220.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
79.144.0.0/12 #AS3352 TELEFONICA_DE_ESPANA, ES
80.24.0.0/13 #AS3352 TELEFONICA_DE_ESPANA, ES
80.32.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
80.34.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
80.36.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
80.38.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
80.58.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
81.32.0.0/12 #AS3352 TELEFONICA_DE_ESPANA, ES
81.90.104.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
81.90.110.0/23 #AS3352 TELEFONICA_DE_ESPANA, ES
82.198.96.0/19 #AS3352 TELEFONICA_DE_ESPANA, ES
83.32.0.0/11 #AS3352 TELEFONICA_DE_ESPANA, ES
83.230.128.0/17 #AS3352 TELEFONICA_DE_ESPANA, ES
85.91.64.0/19 #AS3352 TELEFONICA_DE_ESPANA, ES
88.0.0.0/11 #AS3352 TELEFONICA_DE_ESPANA, ES
95.120.0.0/13 #AS3352 TELEFONICA_DE_ESPANA, ES
129.192.16.0/23 #AS3352 TELEFONICA_DE_ESPANA, ES
176.80.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
176.82.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
176.84.0.0/14 #AS3352 TELEFONICA_DE_ESPANA, ES
178.255.108.0/23 #AS3352 TELEFONICA_DE_ESPANA, ES
178.255.110.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
185.51.46.0/23 #AS3352 TELEFONICA_DE_ESPANA, ES
185.52.17.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
185.197.64.0/22 #AS3352 TELEFONICA_DE_ESPANA, ES
185.203.65.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
188.95.216.0/21 #AS3352 TELEFONICA_DE_ESPANA, ES
192.101.1.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
193.23.135.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
193.148.144.0/20 #AS3352 TELEFONICA_DE_ESPANA, ES
