114.6.148.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.151.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.176.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.182.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.192.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.196.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.224.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.239.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.6.240.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.7.0.0/16 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.13.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.128.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.144.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.192.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.196.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.199.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.200.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.208.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.224.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.8.232.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.0.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.2.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.4.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.8.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.16.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.22.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.24.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.32.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.48.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.56.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.58.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.60.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.64.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.80.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.85.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.86.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.96.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.112.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.9.128.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.0.0/19 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.34.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.36.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.39.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.40.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.52.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.64.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.80.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.94.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.98.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.100.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.104.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.112.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.128.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.132.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.136.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.142.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.144.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.177.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.178.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.180.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.184.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.224.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.241.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.242.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.245.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.246.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.249.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.250.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.10.252.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.142.168.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
114.142.174.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
116.206.8.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
116.206.30.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
116.206.32.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
116.206.36.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
116.206.40.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.2.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.5.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.6.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.8.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.12.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.16.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.18.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.26.0/23 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.28.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.34.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
