170.82.244.0/23 #AS264858 SERVICIO-IMPUESTOS-NACIONALES Servicio de Impuestos Nacionales, BO
200.105.200.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.205.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.206.0/23 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.208.0/22 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.212.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.215.0/24 #AS26210 AXS-BLV Divinetworks for BLV, BO
200.105.216.0/21 #AS26210 AXS-BLV Divinetworks for BLV, BO
190.111.152.0/22 #AS270038 ITC-SERVICIOS ITC SERVICIOS S.R.L., BO
170.245.35.0/24 #AS265647 BANCO-CREDITO-BOLIVIA BANCO DE CREDITO DE BOLIVIA S.A., BO
45.225.75.0/24 #AS266671 CONFIARED CONFIARED S.R.L., BO
131.0.0.0/22 #AS61458 GOBIERNO-AUTONOMO-MUNICIPAL GOBIERNO AUTÓNOMO MUNICIPAL DE LA PAZ, BO
181.114.160.0/19 #AS267765 COTAP COTAP LTDA, BO
190.3.184.0/21 #AS267765 COTAP COTAP LTDA, BO
166.114.1.0/24 #AS52250 AG-PARA-EL Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB, BO
166.114.2.0/24 #AS52250 AG-PARA-EL Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB, BO
201.131.41.0/24 #AS61475 UNIVERSIDAD-CATOLICA-BOLIVIANA UNIVERSIDAD CATÓLICA BOLIVIANA SAN PABLO, BO
181.191.68.0/22 #AS265779 AUTORIDAD-SUPERVISION-SISTEMA AUTORIDAD DE SUPERVISIÓN DEL SISTEMA FINANCIERO (ASFI), BO
161.22.128.0/17 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
161.56.0.0/16 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
161.138.0.0/16 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
179.58.0.0/15 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
181.227.0.0/16 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
186.2.0.0/17 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
186.27.0.0/17 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
200.85.144.0/21 #AS28024 NUEVATEL-PCS-BOLIVIA Nuevatel PCS de Bolivia S.A., BO
190.99.92.0/22 #AS264855 COTERI COTERI LTDA (Cooperativa de telefonos Riberalta Ltda), BO
45.229.195.0/24 #AS266723 BANCO-PARA-EL BANCO PARA EL FOMENTO A INICIATIVAS ECONOMICAS S.A., BO
45.229.244.0/23 #AS266723 BANCO-PARA-EL BANCO PARA EL FOMENTO A INICIATIVAS ECONOMICAS S.A., BO
186.0.156.0/24 #AS273161 TELARIUS TELARIUS S.R.L., BO
45.4.98.0/23 #AS265756 BANCO-PRODEM BANCO PRODEM SA, BO
186.195.247.0/24 #AS270080 INTERCORP INTERCORP S.R.L., BO
179.42.80.0/22 #AS270090 FUNDACION-UNIVERSIDAD-PRIVADA FUNDACIÓN UNIVERSIDAD PRIVADA DE SANTA CRUZ DE LA SIERRA - UPSA, BO
49.0.184.0/23 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
49.0.188.0/23 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
49.0.190.0/24 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
131.0.196.0/22 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
143.137.228.0/22 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
158.172.152.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
158.172.224.0/20 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
158.172.242.0/23 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
158.172.248.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
177.222.32.0/19 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
177.222.96.0/19 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
181.114.96.0/19 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
181.188.128.0/18 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
189.28.64.0/19 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
190.104.0.0/19 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
192.223.101.0/24 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
192.223.102.0/23 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
192.223.104.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
192.223.112.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
192.245.121.0/24 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
200.73.96.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
200.90.144.0/21 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
200.106.244.0/23 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
200.110.48.0/20 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
203.88.99.0/24 #AS27882 TELEFONICA-CELULAR-BOLIVIA Telefónica Celular de Bolivia S.A., BO
200.12.249.0/24 #AS272036 ADMINISTRADORA-CAMARAS-COMPENSACION ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A., BO
200.12.253.0/24 #AS272036 ADMINISTRADORA-CAMARAS-COMPENSACION ADMINISTRADORA DE CAMARAS DE COMPENSACION Y LIQUIDACION S.A. ACCL S.A., BO
190.14.101.0/24 #AS272913 MEGALINK MEGALINK S.R.L., BO
45.183.184.0/22 #AS269797 LOCH-TEL LOCH TEL SRL (GOLOCHTEL), BO
45.226.32.0/22 #AS265880 CORPORACION-VISTA-COBIJA CORPORACION VISTA COBIJA S.R.L., BO
45.194.52.0/24 #AS274273 DATEC DATEC LTDA, BO
143.0.101.0/24 #AS264612 BANCO-MERCANTIL-SANTA-CRUZ BANCO MERCANTIL SANTA CRUZ S.A., BO
190.14.103.0/24 #AS204655 BOLIVIA MegaLink SRL, BO
200.85.141.0/24 #AS204655 BOLIVIA MegaLink SRL, BO
45.236.192.0/23 #AS266804 BANCO-UNION BANCO UNIÓN S.A., BO
45.236.194.0/24 #AS266804 BANCO-UNION BANCO UNIÓN S.A., BO
45.232.46.0/23 #AS266745 INVERSIONES-CREDICORP-BOLIVIA INVERSIONES CREDICORP BOLIVIA S.A., BO
45.70.180.0/22 #AS265814 CIDIS-CAMIRI CIDIS CAMIRI, BO
38.246.58.0/23 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
38.246.61.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
38.246.63.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
45.192.133.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
45.196.164.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
149.12.245.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
154.9.180.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
200.12.248.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
200.12.251.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
200.12.252.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
