193.138.9.0/24 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
193.189.160.0/19 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
194.165.96.0/19 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
195.5.164.0/24 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
195.88.82.0/23 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
195.210.192.0/18 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
195.250.192.0/20 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
195.250.208.0/21 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
212.30.64.0/19 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
213.229.192.0/18 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
213.250.0.0/18 #AS5603 SIOL-NET Telekom Slovenije d.d., SI
193.28.14.0/24 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
193.28.43.0/24 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
193.28.51.0/24 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
193.28.54.0/24 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
195.246.0.0/19 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
212.118.64.0/19 #AS6764 PERFTECH-SLOVENIA-AS PERFTECHSI-AS, SI
91.209.18.0/24 #AS8558 HTTPOOL-NET-AS, SI
192.175.48.1/32 #AS8591 A1SLOVENIJA www.A1.si, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
195.190.129.0/24 #AS8727 ADACTA-AS, SI
192.175.48.1/32 #AS9001 A1-SI-AS, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
2.58.48.0/22 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
45.8.0.0/22 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
45.15.44.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
45.15.46.0/24 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
45.156.140.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
46.54.240.0/20 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
46.163.0.0/18 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
80.65.160.0/20 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.0.0/18 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.64.0/19 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.96.0/20 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.112.0/21 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.120.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
84.41.124.0/22 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
85.208.172.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
91.132.74.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
147.78.218.0/24 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
185.54.128.0/24 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
185.54.130.0/23 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
185.175.0.0/22 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
212.13.224.0/19 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
212.103.128.0/19 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
213.253.64.0/18 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
217.199.128.0/20 #AS9119 SOFTNET-AS Internet Service Provider in Slovenia and South Europe region, SI
192.175.48.1/32 #AS12644 TELEMACH-PARKED Ljubljana, Slovenia, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
5.32.136.0/21 #AS12778 SGN, SI
77.234.128.0/19 #AS12778 SGN, SI
91.199.161.0/24 #AS12778 SGN, SI
185.205.116.0/22 #AS12778 SGN, SI
194.247.162.0/23 #AS12778 SGN, SI
212.72.96.0/19 #AS12778 SGN, SI
91.223.230.0/24 #AS12785 SI-ZVD, SI
192.175.48.1/32 #AS15393 VELCOM-AS1 Vojkova cesta 58, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
91.213.89.0/24 #AS15664 SI-BUSINESS, SI
194.176.112.0/24 #AS15822 AGEN-AS Agencija RS za energijo AS, SI
91.208.125.0/24 #AS15889 SRC-SI-AS, SI
193.23.137.0/24 #AS15889 SRC-SI-AS, SI
193.41.35.0/24 #AS15946 BANKA-INTESA-SANPAOLO-AS Banka Intesa Sanpaolo d.d., SI
192.175.48.1/32 #AS16016 EX-VOLJATEL-AS, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.41.89.0/24 #AS16104 SKB-AS Ajdovscina 4, SI
193.109.124.0/24 #AS16184 LUKAKP-AS, SI
194.242.36.0/24 #AS20526 INTEREUROPA-AS, SI
91.209.188.0/24 #AS20691 GLS-SLO-AS, SI
91.198.214.0/24 #AS20892 ACTIVA-SI-AS, SI
46.122.0.0/15 #AS21283 A1SI-AS A1 Slovenija, SI
46.164.0.0/18 #AS21283 A1SI-AS A1 Slovenija, SI
62.84.224.0/20 #AS21283 A1SI-AS A1 Slovenija, SI
80.95.224.0/20 #AS21283 A1SI-AS A1 Slovenija, SI
85.10.0.0/19 #AS21283 A1SI-AS A1 Slovenija, SI
85.10.32.0/20 #AS21283 A1SI-AS A1 Slovenija, SI
90.157.128.0/17 #AS21283 A1SI-AS A1 Slovenija, SI
92.37.0.0/17 #AS21283 A1SI-AS A1 Slovenija, SI
94.127.24.0/21 #AS21283 A1SI-AS A1 Slovenija, SI
109.239.176.0/20 #AS21283 A1SI-AS A1 Slovenija, SI
146.212.0.0/16 #AS21283 A1SI-AS A1 Slovenija, SI
185.28.8.0/22 #AS21283 A1SI-AS A1 Slovenija, SI
185.173.52.0/22 #AS21283 A1SI-AS A1 Slovenija, SI
188.64.24.0/21 #AS21283 A1SI-AS A1 Slovenija, SI
212.18.32.0/19 #AS21283 A1SI-AS A1 Slovenija, SI
213.157.224.0/19 #AS21283 A1SI-AS A1 Slovenija, SI
193.110.14.0/23 #AS21401 BORZEN-AS, SI
193.109.227.0/24 #AS21441 LJSE-AS, SI
193.110.145.0/24 #AS24629 NIL-AS, SI
194.50.136.0/23 #AS24629 NIL-AS, SI
194.50.138.0/24 #AS24629 NIL-AS, SI
193.105.67.0/24 #AS24728 SI-REDOX, SI
192.175.48.1/32 #AS24908 LEK-AS, SI - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.201.212.0/22 #AS25059 NLB-SI-AS, SI
193.201.109.0/24 #AS25066 NKBM-AS, SI
193.178.188.0/24 #AS25149 DROGA-AS Industrijska cesta 21, SI
193.201.45.0/24 #AS25173 ISKRATR-AS, SI
193.0.244.0/24 #AS25303 KDD, SI
45.153.126.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
46.183.184.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
62.77.137.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
62.77.138.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
62.77.140.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
81.17.224.0/21 #AS25467 AKTON-AS Akton Autonomous System, SI
81.17.232.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
81.17.234.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
81.17.236.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
81.17.238.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.64.0/19 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.96.0/21 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.104.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.107.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.108.0/22 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.112.0/21 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.120.0/23 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.122.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
82.214.124.0/22 #AS25467 AKTON-AS Akton Autonomous System, SI
92.243.65.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
95.180.217.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
95.180.251.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
95.180.252.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
185.78.240.0/22 #AS25467 AKTON-AS Akton Autonomous System, SI
185.193.50.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
188.190.24.0/24 #AS25467 AKTON-AS Akton Autonomous System, SI
195.245.208.0/24 #AS25499 ASN-TRIGLAV, SI
195.245.216.0/24 #AS25541 MERKUR-SI-AS, SI
