195.3.168.0/22 #AS15962 OSK-DNI Orange Slovensko a.s., SK
195.78.44.0/23 #AS15962 OSK-DNI Orange Slovensko a.s., SK
213.151.192.0/18 #AS15962 OSK-DNI Orange Slovensko a.s., SK
164.40.170.0/24 #AS200860 NCZI1 Narodne Centrum Zdravotnickych Informacii (National Health Information Centre), SK
164.40.173.0/24 #AS200860 NCZI1 Narodne Centrum Zdravotnickych Informacii (National Health Information Centre), SK
145.236.24.0/24 #AS1902 PAN-NET Deutsche Telekom Cloud Services s.r.o., SK
185.156.128.0/22 #AS1902 PAN-NET Deutsche Telekom Cloud Services s.r.o., SK
188.125.16.0/20 #AS1902 PAN-NET Deutsche Telekom Cloud Services s.r.o., SK
5.42.150.0/24 #AS214446 LIVENET LiveNET services s. r. o., SK
185.74.196.0/22 #AS203933 SK-DC-AS DataCentrum, SK
91.230.44.0/23 #AS57051 ASITPRO IT Pro s.r.o., SK
88.80.224.0/19 #AS31127 SATRO SATRO s.r.o., SK
92.245.192.0/19 #AS31127 SATRO SATRO s.r.o., SK
185.22.176.0/22 #AS31127 SATRO SATRO s.r.o., SK
217.144.16.0/20 #AS31127 SATRO SATRO s.r.o., SK
91.223.69.0/24 #AS41591 ASWEBDOM EuroServer.sk s.r.o., SK
46.29.2.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
141.101.128.0/22 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
149.7.226.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
154.57.3.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
195.146.0.0/23 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
195.146.2.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
195.146.5.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
195.146.7.0/24 #AS201924 LERTAS-AS ENAHOST s.r.o., SK
31.28.160.0/19 #AS15497 COLOCALL 1 Cloud Lab s.r.o., SK
62.149.0.0/19 #AS15497 COLOCALL 1 Cloud Lab s.r.o., SK
193.35.25.0/24 #AS15497 COLOCALL 1 Cloud Lab s.r.o., SK
193.41.239.0/24 #AS15497 COLOCALL 1 Cloud Lab s.r.o., SK
178.23.88.0/21 #AS50953 KONFER David Kondicz trading as KONFER networks, SK
185.144.164.0/22 #AS50953 KONFER David Kondicz trading as KONFER networks, SK
80.94.48.0/20 #AS38949 TRESTEL-SK Trestel SK a.s., SK
185.43.112.0/22 #AS25496 ZT-AS ZSR - ZT Bratislava, SK
217.12.48.0/20 #AS25496 ZT-AS ZSR - ZT Bratislava, SK
188.190.100.0/22 #AS209100 TPNET TP NET Plus s.r.o, SK
45.81.40.0/24 #AS208882 AS-COOLNET1-SK Automation & Business s.r.o., SK
92.249.26.0/24 #AS208882 AS-COOLNET1-SK Automation & Business s.r.o., SK
91.243.122.0/24 #AS59548 AXASOFT AXASOFT a.s., SK
62.65.160.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
62.152.224.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
62.168.64.0/18 #AS5578 AS-BENESTRA SWAN a.s., SK
62.197.192.0/18 #AS5578 AS-BENESTRA SWAN a.s., SK
80.250.240.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
81.88.128.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
82.119.224.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
83.168.128.0/18 #AS5578 AS-BENESTRA SWAN a.s., SK
84.245.64.0/18 #AS5578 AS-BENESTRA SWAN a.s., SK
85.248.0.0/16 #AS5578 AS-BENESTRA SWAN a.s., SK
94.124.144.0/21 #AS5578 AS-BENESTRA SWAN a.s., SK
185.130.220.0/22 #AS5578 AS-BENESTRA SWAN a.s., SK
185.161.174.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
185.220.120.0/22 #AS5578 AS-BENESTRA SWAN a.s., SK
193.58.192.0/22 #AS5578 AS-BENESTRA SWAN a.s., SK
193.58.196.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
193.108.132.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
193.110.186.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
194.1.172.0/22 #AS5578 AS-BENESTRA SWAN a.s., SK
194.1.224.0/21 #AS5578 AS-BENESTRA SWAN a.s., SK
195.12.128.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
195.46.64.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
195.62.16.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
195.72.0.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
195.98.0.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
195.98.134.0/24 #AS5578 AS-BENESTRA SWAN a.s., SK
195.168.0.0/16 #AS5578 AS-BENESTRA SWAN a.s., SK
195.245.78.0/23 #AS5578 AS-BENESTRA SWAN a.s., SK
212.26.160.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
212.81.0.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
213.215.64.0/18 #AS5578 AS-BENESTRA SWAN a.s., SK
217.67.16.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
217.75.64.0/19 #AS5578 AS-BENESTRA SWAN a.s., SK
217.118.96.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
217.172.144.0/20 #AS5578 AS-BENESTRA SWAN a.s., SK
91.148.61.0/24 #AS204749 MARTICO-AS MARTICO s.r.o., SK
5.252.32.0/22 #AS59796 STORMWALL-AS StormWall s.r.o., SK
103.134.155.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
160.25.253.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
160.79.120.0/23 #AS59796 STORMWALL-AS StormWall s.r.o., SK
160.79.122.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
185.121.240.0/22 #AS59796 STORMWALL-AS StormWall s.r.o., SK
193.84.85.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
193.84.88.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
193.104.120.0/24 #AS59796 STORMWALL-AS StormWall s.r.o., SK
91.229.36.0/22 #AS44001 ASANTAREE Antaree Solutions plus s.r.o, SK
80.86.240.0/20 #AS57475 LIGHTSTORM-SERVICES-SK-AS LightStorm Services s.r.o., SK
185.155.48.0/24 #AS57475 LIGHTSTORM-SERVICES-SK-AS LightStorm Services s.r.o., SK
91.199.164.0/24 #AS21942 ON-SEMICONDUCTOR-INC ON Semiconductor AS, SK
91.232.218.0/23 #AS57547 ASALTERNET WIRIX s.r.o., SK
91.232.222.0/23 #AS57547 ASALTERNET WIRIX s.r.o., SK
176.102.96.0/20 #AS57547 ASALTERNET WIRIX s.r.o., SK
176.102.112.0/21 #AS57547 ASALTERNET WIRIX s.r.o., SK
