103.65.220.0/23 #AS150710 CWNETPTYLTD-AS-AP CWNet Pty Ltd, AU
103.83.126.0/24 #AS135275 EVERLIGHTRADIOLOGY-AS-AP EVERLIGHT RADIOLOGY LIMITED, AU
103.211.238.0/24 #AS135275 EVERLIGHTRADIOLOGY-AS-AP EVERLIGHT RADIOLOGY LIMITED, AU
163.61.123.0/24 #AS153597 OMNITITANPTYLTD-AS-AP Townsville Internet, AU
202.52.142.0/24 #AS55848 AI-MEDIA-AS-AP Access innovation Media, AU
110.238.0.0/23 #AS17667 DIGICOMPTYLTD-AS-AP Digicom Pty Ltd, AU
103.60.200.0/22 #AS7546 DREAMTILT-AP Dreamtilt, AU
122.99.120.0/22 #AS7546 DREAMTILT-AP Dreamtilt, AU
203.7.196.0/23 #AS7546 DREAMTILT-AP Dreamtilt, AU
203.30.60.0/24 #AS7546 DREAMTILT-AP Dreamtilt, AU
103.81.217.0/24 #AS138525 MINIPORTPTYLTD-AS-AP Miniport Pty Ltd, AU
103.127.244.0/22 #AS138525 MINIPORTPTYLTD-AS-AP Miniport Pty Ltd, AU
14.1.16.0/22 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
45.116.108.0/22 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.16.96.0/22 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.57.3.0/24 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.210.76.0/22 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
114.141.96.0/21 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
114.141.104.0/22 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
114.141.109.0/24 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
114.141.110.0/23 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
203.170.88.0/23 #AS45437 RWTS-AS-AP Real World Technology Solutions Pty Ltd, AU
103.103.238.0/24 #AS137073 TTOTSGS-AS-AP THE TRUSTEES OF THE SYDNEY GRAMMAR SCHOOL, AU
27.124.96.0/20 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
45.113.196.0/22 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.53.116.0/24 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.74.168.0/24 #AS55811 ANYCASTHOLDINGS-AS-AP Anycast Holdings Pty Ltd, AU
103.36.4.0/22 #AS133930 TESSERENT-AS-AP TESSERENT AUSTRALIA PTY LTD, AU
103.205.228.0/23 #AS133930 TESSERENT-AS-AP TESSERENT AUSTRALIA PTY LTD, AU
202.14.166.0/24 #AS133930 TESSERENT-AS-AP TESSERENT AUSTRALIA PTY LTD, AU
203.28.191.0/24 #AS133930 TESSERENT-AS-AP TESSERENT AUSTRALIA PTY LTD, AU
137.154.0.0/16 #AS10079 UNIWESTSYD-AS-AP University of Western Sydney, AU
43.245.160.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
45.125.125.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.76.164.0/23 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.77.232.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.108.92.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.137.56.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.137.119.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.140.134.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.192.173.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.194.4.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
103.231.88.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
116.206.228.0/22 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
202.50.84.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
203.18.16.0/23 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
203.209.209.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
203.209.212.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
203.209.217.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
203.209.219.0/24 #AS133480 INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU
164.80.0.0/19 #AS134984 NEXTGEN-AS-AP NextGen.Net Pty Ltd, AU
203.13.236.0/24 #AS134984 NEXTGEN-AS-AP NextGen.Net Pty Ltd, AU
203.18.146.0/24 #AS134984 NEXTGEN-AS-AP NextGen.Net Pty Ltd, AU
43.224.180.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
43.229.60.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
44.31.48.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
45.124.52.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
66.226.144.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.1.184.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.4.234.0/23 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.16.128.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.17.56.0/23 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.18.57.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.100.36.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.230.156.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.236.162.0/23 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.249.236.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
110.232.112.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
112.213.32.0/21 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
119.42.52.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
150.107.72.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
175.45.180.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.18.30.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.25.132.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.25.238.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.29.240.0/22 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.56.35.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.56.205.0/24 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.57.50.0/23 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
203.57.114.0/23 #AS133159 MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
202.69.134.0/24 #AS141043 PHS-AS-AP The Royal Womens Hospital, AU
203.25.165.0/24 #AS137998 TGAP-AS-AP TRAPEZE GROUP ASIA PACIFIC PTY LTD, AU
103.130.154.0/23 #AS18030 PERTH-AS-AP Perth Airport PTY Ltd, AU
103.186.242.0/23 #AS149811 FSPL-AS-AP FTP Solutions Pty Ltd, AU
203.23.105.0/24 #AS137864 RCPA-AS-AP Royal College of Pathologists of Australasia, AU
202.129.255.0/24 #AS55914 CANON-AS-AP Canon Australia Pty. Ltd., AU
203.12.174.0/23 #AS55914 CANON-AS-AP Canon Australia Pty. Ltd., AU
203.191.6.0/24 #AS55914 CANON-AS-AP Canon Australia Pty. Ltd., AU
103.167.138.0/23 #AS142293 KVBNPL-AS-AP Kangaroo Valley Broadband Network Pty Ltd, AU
163.227.140.0/23 #AS153809 WISKY-AS-AP Wi-Sky (NSW) Pty Ltd, AU
103.166.135.0/24 #AS142114 ALEXANDRINACOUNCIL-AS-AP Alexandrina Council, AU
138.252.138.0/24 #AS142114 ALEXANDRINACOUNCIL-AS-AP Alexandrina Council, AU
103.55.162.0/23 #AS134147 TEAMWORKTECHNOLOGY-AS-AP TEAMWORK TECHNOLOGY PTY LTD, AU
203.170.57.0/24 #AS45626 CURRENCYSELECT-AS-AP CURRENCY SELECT PTY LTD, AU
203.23.57.0/24 #AS137411 DAWGY-IX Office Of Public Prosecutions (VIC), AU
103.160.110.0/23 #AS134459 INFOTECH-AS-AP Infotech Solutions Pty Ltd, AU
161.248.8.0/24 #AS135609 RBPL-AS-AP Robert Bosch (Australia) Proprietary Limited, AU
103.163.94.0/24 #AS141743 STRIPEHOSTING-AS-AP Stripe Hosting, AU
103.167.10.0/24 #AS141743 STRIPEHOSTING-AS-AP Stripe Hosting, AU
14.102.136.0/21 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
43.247.116.0/22 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
103.27.174.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
103.92.140.0/23 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
103.92.142.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
103.237.160.0/22 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
115.42.0.0/19 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
122.129.221.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
122.129.222.0/23 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
123.136.32.0/19 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
123.253.84.0/22 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.5.13.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.18.23.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.20.226.0/23 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.20.247.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.25.185.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
203.57.0.0/23 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
210.8.69.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
210.8.168.0/24 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
210.56.80.0/20 #AS7600 ESCAPE-NET-AS AAPT Limited, AU
202.164.16.0/21 #AS58740 HOSTAWAYPTYLTD-AS-AP HostAway Pty Ltd, AU
27.111.0.0/21 #AS24092 MOORECOLLEGE-AS-AP Moore Theological College, AU
203.5.63.0/24 #AS24476 RPL-CANBERRA-AS-AU Fairfax Media Limited, AU
203.6.251.0/24 #AS24476 RPL-CANBERRA-AS-AU Fairfax Media Limited, AU
