192.175.48.1/32 #AS6945 SVNet, SV - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
179.51.50.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
179.51.52.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
179.51.57.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
179.51.58.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
179.51.60.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.64.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.66.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.68.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.72.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.80.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.84.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.86.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.88.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.104.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.108.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.111.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.112.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.114.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.116.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.118.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.120.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.122.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.124.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
