193.108.185.0/24 #AS12993 DEAC-AS Sabiedriba ar ierobezotu atbildibu DELSKA Latvia, LV
194.9.175.0/24 #AS12993 DEAC-AS Sabiedriba ar ierobezotu atbildibu DELSKA Latvia, LV
194.152.32.0/23 #AS12993 DEAC-AS Sabiedriba ar ierobezotu atbildibu DELSKA Latvia, LV
195.216.236.0/24 #AS12993 DEAC-AS Sabiedriba ar ierobezotu atbildibu DELSKA Latvia, LV
213.110.66.0/23 #AS12993 DEAC-AS Sabiedriba ar ierobezotu atbildibu DELSKA Latvia, LV
85.254.148.0/24 #AS201673 PTSLV-AS Verifone Baltic SIA, LV
185.213.200.0/24 #AS205568 DIGITALBRIDGE NBI SIA, LV
185.213.202.0/23 #AS205568 DIGITALBRIDGE NBI SIA, LV
82.193.86.0/24 #AS208938 RPK RIGAS PIENA KOMBINATS AS, LV
18.18.6.0/24 #AS5518 TET-LV SIA Tet, LV
62.63.128.0/21 #AS5518 TET-LV SIA Tet, LV
62.63.136.0/22 #AS5518 TET-LV SIA Tet, LV
62.63.144.0/20 #AS5518 TET-LV SIA Tet, LV
62.63.160.0/19 #AS5518 TET-LV SIA Tet, LV
78.28.192.0/18 #AS5518 TET-LV SIA Tet, LV
78.154.128.0/19 #AS5518 TET-LV SIA Tet, LV
80.233.128.0/17 #AS5518 TET-LV SIA Tet, LV
91.231.68.0/24 #AS5518 TET-LV SIA Tet, LV
185.87.204.0/22 #AS5518 TET-LV SIA Tet, LV
194.19.224.0/19 #AS5518 TET-LV SIA Tet, LV
195.10.216.0/24 #AS5518 TET-LV SIA Tet, LV
213.175.64.0/18 #AS5518 TET-LV SIA Tet, LV
94.24.108.0/24 #AS200676 SVENS-JANSONS Svens Jansons, LV
85.255.64.0/20 #AS34620 MIKRONET-LTD-AS Mikronet SIA, LV
45.80.52.0/24 #AS207377 EG-AS Evolution Latvia SIA, LV
91.105.200.0/22 #AS199103 MAKLAUT-AS SIA Maklaut, LV
185.220.92.0/23 #AS199103 MAKLAUT-AS SIA Maklaut, LV
84.38.131.0/24 #AS202920 DATACLUBV2 SIA RixHost, LV
194.125.240.0/24 #AS12847 LMT-NET Latvijas Mobilais Telefons SIA, LV
212.93.96.0/19 #AS12847 LMT-NET Latvijas Mobilais Telefons SIA, LV
2.56.112.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
2.56.243.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
2.58.99.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.45.64.0/20 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.45.84.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.45.88.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.61.48.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.61.56.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.182.117.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
5.183.128.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
23.247.244.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
31.40.250.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
37.1.200.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
37.1.216.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
37.252.3.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
37.252.13.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
37.252.14.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.36.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.57.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.68.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.90.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.96.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.104.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.112.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.116.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.120.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.124.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.131.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.132.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.134.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.136.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.145.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.146.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.155.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.156.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.160.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.167.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.168.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.172.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.174.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.176.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.179.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.180.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.182.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.185.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.186.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.206.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.208.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.213.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.220.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.231.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.232.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.234.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.242.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.244.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.251.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.180.254.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.134.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.136.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.158.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.160.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.174.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.178.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.189.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.193.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.194.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.199.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.200.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.205.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.206.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.208.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.213.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.214.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
38.244.217.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.8.89.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.11.213.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.15.75.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.88.14.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.129.197.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
